Agency,City,State,County,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
Lehigh and Northampton Transportation Authority,Allentown,PA,Lehigh,322360,0,0,475045,0,0,0,0,1569523,0,0,1603714,0,0,0
Lehigh and Northampton Transportation Authority,Allentown,PA,Lehigh,1994,0,0,0,0,0,0,0,28064,0,0,0,0,0,0
Greater Hartford Transit District,Hartford,CT,Capitol,75279,510929,0,0,0,0,0,0,801774,3340321,0,0,0,0,0
"City of Fresno, dba: Fresno Area Express",Fresno,CA,Fresno,0,187704,0,12616,0,0,0,0,0,1220246,0,148114,0,0,0
"City of Fresno, dba: Fresno Area Express",Fresno,CA,Fresno,0,1616,0,1643473,0,0,0,0,0,4309,0,5179800,0,0,0
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,San Francisco,0,0,0,0,1856186,0,0,0,164023,0,0,0,0,0,0
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,San Francisco,0,49352,0,0,0,0,0,0,0,299999,0,0,0,0,0
"Golden Gate Bridge, Highway and Transportation District",San Francisco,CA,San Francisco,971341,0,0,0,0,0,0,0,4874368,0,0,0,0,0,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,765843,0,0,142746,0,0,0,147473,1721571,0,0,189782,0,0,139507
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,0,44221,0,0,0,0,0,0,0,0,0,0,0,0,0
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,Shelby,131953,108883,0,0,0,0,0,0,245928,820223,0,0,0,0,0
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,Shelby,0,0,0,0,0,0,739700,0,0,0,0,0,0,55163,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,0,4546,0,58114,0,0,0,0,0,92122,0,307776,0,0,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"City of Tallahassee, dba: StarMetro",Tallahassee,FL,Leon,8561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,Shelby,1211721,8449,0,0,0,0,0,0,4946200,111894,0,0,0,0,0
City of Alexandria ,Alexandria,VA,Alexandria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Alexandria ,Alexandria,VA,Alexandria,527426,0,0,0,0,0,0,0,2233149,0,0,0,0,0,0
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,Contra Costa,610413,0,0,0,0,0,0,227250,3083141,0,0,0,0,0,83037
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,Contra Costa,0,139035,0,0,0,0,0,0,0,905816,0,0,0,0,0
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",Concord,CA,Contra Costa,0,9923,0,0,0,0,0,0,0,73784,0,0,0,0,0
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,San Mateo,9429,91237,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,San Mateo,3805923,0,0,0,0,0,0,0,1179829,0,0,0,0,0,0
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,0,1223,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,18505,0,0,15413,0,0,0,0,0,0,0,0,0,0
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,549469,0,0,0,0,0,0,0,2042835,0,0,0,0,0,0
Green Mountain Transit Authority,Burlington,VT,Chittenden,298636,39249,0,0,0,0,0,20169,1311697,0,0,0,0,0,0
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,0,0,340009,189120,0,0,0,872593,0,0,595958,0,0,0
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,100878,0,0,1161,0,0,0,258148,1218090,0,0,0,0,0
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,0,26337,0,0,0,0,0,0,0,235735,0,0,0,0,0
Green Mountain Transit Authority,Burlington,VT,Chittenden,3590,45270,0,0,0,0,0,0,740,92619,0,0,0,0,0
Green Mountain Transit Authority,Burlington,VT,Chittenden,0,56640,0,0,0,0,0,0,0,394048,0,0,0,0,0
"Salem Area Mass Transit District, dba: Cherriots",Salem,OR,Marion,0,24240,0,0,0,0,0,0,0,254648,0,0,0,0,0
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,0,69981,0,0,0,0,0,0,0,598168,0,0,0,0,0
Green Mountain Transit Authority,Burlington,VT,Chittenden,92300,22186,0,0,0,0,0,0,2160580,3306,0,0,0,0,0
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",Durham,NC,Durham,53468,0,0,0,0,0,0,0,277499,0,0,0,0,0,0
Madison County Transit District,Granite City,IL,Madison,734789,70911,0,0,0,0,0,0,1666536,427707,0,0,0,0,0
Madison County Transit District,Granite City,IL,Madison,0,37149,0,0,0,0,0,0,0,617318,0,0,0,0,0
Madison County Transit District,Granite City,IL,Madison,30524,46825,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota Valley Transit Authority,Burnsville,MN,Dakota,0,27458,0,0,533371,0,0,0,3155376,181575,0,0,0,0,0
San Joaquin Council,Stockton,CA,San Joaquin,0,140183,0,0,0,0,0,0,0,891458,0,0,0,0,0
Denton County Transportation Authority,Lewisville,TX,Denton,194477,0,0,0,0,0,0,0,660297,0,0,0,0,0,0
Denton County Transportation Authority,Lewisville,TX,Denton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denton County Transportation Authority,Lewisville,TX,Denton,0,58284,0,0,0,0,0,0,0,607270,0,0,0,0,0
Denton County Transportation Authority,Lewisville,TX,Denton,141861,52053,0,22296,0,0,0,0,544919,390488,0,106436,0,0,0
Denton County Transportation Authority,Lewisville,TX,Denton,0,35944,0,0,0,0,0,0,0,293932,0,0,0,0,0
Champaign-Urbana Mass Transit District,Urbana,IL,Champaign,0,0,0,0,629740,0,0,0,3345301,0,0,0,0,0,0
Champaign-Urbana Mass Transit District,Urbana,IL,Champaign,0,23077,0,0,0,0,0,0,0,276923,0,0,0,0,0
Champaign-Urbana Mass Transit District,Urbana,IL,Champaign,2293,38284,0,0,0,0,0,0,0,0,0,0,0,0,0
Rides Mass Transit District,Harrisburg,IL,Saline,170786,325839,0,0,21108,36204,0,0,1196352,2532630,0,0,324801,0,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,147367,0,0,539007,0,0,0,0,579405,0,0,1985421,0,0,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,0,0,0,174085,0,0,0,0,0,0,0,1142890,0,0,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,0,20327,0,0,0,0,0,0,0,187241,0,0,0,0,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,0,0,0,100507,0,0,0,0,0,0,0,745546,0,0,0
"Corpus Christi Regional Transportation Authority, dba: The B",Corpus Christi,TX,Nueces,574,8337,0,0,0,0,0,0,3893,63112,0,0,0,0,0
Transit Authority of Northern Kentucky,Covington,KY,Kenton,684515,0,0,0,0,0,0,0,2673950,0,0,0,0,0,0
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,472810,0,0,0,0,0,0,0,2445458,0,0,0,0,0,0
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,0,65221,0,0,0,0,0,0,0,557724,0,0,0,0,0
Transit Authority of Northern Kentucky,Covington,KY,Kenton,51344,56000,0,0,0,0,0,0,460281,430171,0,0,0,0,0
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,0,9829,0,0,0,0,0,0,0,239740,0,0,0,0,0
"City of Colorado Springs, dba: Mountain Metropolitan Transit",Colorado Springs,CO,El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transit Authority of Omaha,Omaha,NE,Douglas,588017,0,0,133302,0,0,0,0,2753899,0,0,355805,0,0,0
"Paratransit, Inc.",Sacramento,CA,Sacramento,0,327583,0,107256,0,0,0,0,0,2972556,0,954578,0,0,0
Transit Authority of Omaha,Omaha,NE,Douglas,0,1753,0,62023,0,0,0,0,0,214576,0,238358,0,0,0
"Paratransit, Inc.",Sacramento,CA,Sacramento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paratransit, Inc.",Sacramento,CA,Sacramento,0,11133,0,9364,0,0,0,0,0,152471,0,43518,0,0,0
