Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
VIA Metropolitan Transit,San Antonio,TX,Bexar,1202975,640923,579952,5313273,0,0,0,0
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,Fulton,2288438,1463932,0,5725662,0,0,84261140,0
Port Authority of Allegheny County,Pittsburgh,PA,Allegheny,6328318,1027274,0,0,0,0,30751496,9366
San Diego Metropolitan Transit System,San Diego,CA,San Diego,138709,232864,733556,7391077,0,0,52502166,109357
"City and County of Honolulu, dba: Department of Transportation Services",Honolulu,HI,Honolulu,5201984,1217903,0,0,0,0,0,0
"Capital Metropolitan Transportation Authority, dba: Capital Metro",Austin,TX,Travis,4951005,579775,0,0,0,0,0,28923
"Metro Transit, dba: Metro Transit",Minneapolis,MN,Hennepin,213780,0,0,0,4926033,0,31871652,519156
"California Vanpool Authority, dba: CalVans",Hanford,CA,Kings,0,887455,0,0,0,0,0,0
"Alameda-Contra Costa Transit District, dba: AC Transit",Oakland,CA,Alameda,4834624,794574,0,0,0,47695,0,111427
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,Prince William,1291032,461146,0,0,0,0,0,0
Metropolitan Council,Minneapolis,MN,Hennepin,1999,3716151,0,0,447517,0,0,0
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,Clark,0,0,0,7992456,709409,0,0,0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,Snohomish,2301116,224826,1252,0,95313,0,0,0
Central Florida Regional Transportation Authority,Orlando,FL,Orange,0,1257105,0,1674607,2439315,0,0,0
San Diego Association of Governments,San Diego,CA,San Diego,0,743316,0,0,0,0,0,0
Santa Clara Valley Transportation Authority,San Jose,CA,Santa Clara,3333792,379552,59829,0,0,0,22062611,125435
San Francisco Bay Area Rapid Transit District,Oakland,CA,Alameda,0,0,0,0,335483,0,304524700,0
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,Broward,4563738,370755,943035,0,0,0,0,0
"City of Phoenix Public Transit Department, dba: Valley Metro",Phoenix,AZ,Maricopa,1856708,708616,0,4930654,0,463832,0,0
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit",Tacoma,WA,Pierce,126109,387390,0,1145653,0,0,0,529930
Delaware Transit Corporation,Dover,DE,Kent,1875565,409802,1266760,0,0,0,0,269389
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: St. Louis Metro",Saint Louis,MO,,4590408,0,0,0,0,0,36496148,0
Montachusett Regional Transit Authority,Fitchburg,MA,Worcester,104402,246407,0,0,0,0,0,0
