Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
Rio Metro Regional Transit District,Albuquerque,NM,Bernalillo,43014,82867,0,0,792273,0,0,0
"City of Yakima, dba: Yakima Transit",Yakima,WA,Yakima,178977,28063,0,0,0,0,0,0
DeCamp Bus Lines,Montclair,NJ,,119707,0,0,0,0,0,0,0
Greater New Haven Transit District,Hamden,CT,,0,253845,0,0,0,0,0,0
"Trans-Bridge Lines, Inc. ",Bethlehem,PA,Northampton,234713,0,0,0,0,0,0,0
Western Reserve Transit Authority,Youngstown,OH,Mahoning,287458,56240,0,0,0,0,0,0
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,Broome,246230,53590,0,0,0,0,0,0
"Alamo Area Council of Governments, dba: Alamo Regional Transit - ART",San Antonio,TX,Bexar,481,174167,0,0,0,0,0,0
River Bend Transit,Davenport,IA,Scott,0,141782,0,0,0,0,0,0
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,Kenosha,178960,23635,0,0,0,0,171840,0
San Bernardino County Transportation Authority,San Bernardino,CA,San Bernardino,0,52294,0,0,0,0,0,0
"Wake County, dba: GoWake Access",Raleigh,NC,Wake,0,216671,0,0,0,0,0,0
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,,67539,0,0,344362,0,0,0,0
Alternativa de Transporte Integrado -ATI,San Juan,PR,San Juan,170711,0,0,0,0,0,4009792,0
"Greater Roanoke Transit Company, dba: Valley Metro",Roanoke,VA,Roanoke,374747,50612,0,0,0,0,0,0
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,Olmsted,0,13371,0,0,280000,0,0,0
Concho Valley Transit District,San Angelo,TX,Tom Green,6389,145814,0,0,0,0,0,0
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,Fort Bend,82453,122449,0,0,0,0,0,0
"West Virginia University - Morgantown Personal Rapid Transit, dba: Morgantown Personal Rapid Transit",Morgantown,WV,Monongalia,0,0,0,0,0,0,3103051,0
"Western Piedmont Regional Transit Authority, dba: Greenway Public Transportation",Conover,NC,Catawba,58519,90822,0,0,0,0,0,0
"City of Everett, dba: EVERETT TRANSIT SYSTEM",Everett,WA,Snohomish,185019,55784,0,0,0,0,0,617274
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",Merced,CA,Merced,230818,176117,0,0,0,0,0,0
Saginaw Transit Authority Regional Service,Saginaw,MI,Saginaw,191357,38459,0,0,0,0,0,0
"Cambria County Transit Authority, dba: CamTran",Johnstown,PA,Cambria,11978,63140,0,110774,0,0,69888,0
"City of Fort Collins, dba: Transfort",Fort Collins,CO,Larimer,3286,2167,0,401877,4564,0,0,0
"County of Rockland, dba: Public Transportation - Transport of Rockland",New City,NY,Rockland,436962,41617,0,0,0,0,0,0
"Bay Metropolitan Transit Authority, dba: Bay Metro",Bay City,MI,Bay,100371,0,475,0,0,0,0,0
"First Tennessee Human Resource Agency, dba: N.E.T. Trans",Johnson City,TN,Washington,0,156174,38962,0,0,0,0,0
"South Bend Public Transportation Corporation, dba: Transpo",South Bend,IN,St. Joseph,126450,39791,0,138903,0,0,0,0
"Yolo County Transportation District, dba: Yolobus",Woodland,CA,Yolo,69572,1712,0,503687,0,0,0,2481
"Collier County, dba: Collier Area Transit",Naples,FL,Collier,331968,56547,0,0,0,0,0,0
"County of Douglas, dba: Connect Douglas",Douglasville,GA,Douglas,0,81106,0,0,0,0,0,0
Rockford Mass Transit District,Rockford,IL,Winnebago,343010,89926,0,0,0,0,0,0
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,Montgomery,282188,12413,0,0,0,0,0,0
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,Eau Claire,124251,16260,0,0,0,0,0,0
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",Sarasota,FL,Sarasota,363170,22774,0,0,0,0,0,0
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,San Luis Obispo,235551,77914,0,0,0,0,0,0
"Transit Authority of Central Kentucky, dba: TACK Transportation",Elizabethtown,KY,Hardin,5240,176637,0,0,0,0,0,0
Lower Rio Grande Valley Development Council,Weslaco,TX,Hidalgo,120658,114440,0,0,0,0,0,0
Santee Wateree Regional Transportation Authority,Sumter,SC,Sumter,18425,65151,4340,0,0,0,0,0
"Fort Wayne Public Transportation Corporation, dba: Citilink",Fort Wayne,IN,Allen,298207,20802,0,0,0,0,0,0
"City of Gardena, dba: GTrans",Gardena,CA,Los Angeles,153,434334,0,0,0,0,0,144279
New Mexico Department of Transportation,Santa Fe,NM,Santa Fe,0,68375,0,0,0,0,0,0
"City of Elk Grove, dba: e-tran",Elk Grove,CA,Sacramento,0,508,0,265334,0,0,0,0
"City of Decatur, Il, dba: Decatur Public Transit System",Decatur,IL,Macon,600,17396,0,0,342610,0,0,0
Rogue Valley Transportation District,Medford,OR,Jackson,60700,35102,0,213904,0,0,0,0
Chelan Douglas PTBA ,Wenatchee,WA,Chelan,196634,95814,15730,0,0,0,0,397760
"Dutchess County, dba: Dutchess County Public Transit",Poughkeepsie,NY,Dutchess,224490,0,0,0,0,0,0,0
Napa Valley Transportation Authority,Napa,CA,Napa,255742,82231,0,54637,0,0,0,0
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo",Fort Collins,CO,Larimer,0,21415,0,0,0,0,0,0
"Laredo Transit Management, Inc., dba: El Metro",Laredo,TX,Webb,279880,54123,0,295880,0,0,0,0
"Audubon Area Community Services, Inc.",Owensboro,KY,Daviess,152,180540,0,0,0,0,0,0
"Jefferson Parish, dba: Jefferson Transit",Gretna,LA,Jefferson,0,169,105450,0,392695,0,0,0
University of Michigan Parking and Transportation Services,Ann Arbor,MI,Washtenaw,272994,0,0,0,0,0,0,0
"City of Culver City, dba: Culver City Municipal Bus Lines (CityBus)",Culver City,CA,Los Angeles,0,0,0,836048,0,0,0,0
Southwestern Pennsylvania Commission,Pittsburgh,PA,Allegheny,0,29511,0,0,0,0,0,0
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,New Hanover,68398,59493,0,224273,0,0,0,0
Regional Transportation Authority,Madison,TN,,319405,19159,0,0,0,0,0,0
Ventura County Transportation Commission,Camarillo,CA,Ventura,416353,38333,0,0,0,0,0,0
Portage Area Regional Transportation Authority,Kent,OH,Portage,118946,59471,0,31676,0,0,0,0
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM",Mobile,AL,Mobile,174986,155465,0,0,0,0,0,0
Butte County Association of Governments,Chico,CA,Butte,202812,70590,0,33644,0,0,0,0
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Staten Island,NY,Richmond,0,0,0,0,0,0,27982542,0
Northwest Alabama Council of Local Governments,Muscle Shoals,AL,Colbert,276,52172,0,0,0,0,0,0
"Housatonic Area Regional Transit, dba: HARTransit",Danbury,CT,Western Connecticut,155020,101387,0,0,0,0,0,0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,Deschutes,88431,63257,0,0,0,0,0,0
"Hampton Jitney, Inc.",Calverton,NY,Suffolk,290389,0,0,0,0,0,0,0
Connecticut Department of Transportation,Newington,CT,,1780907,0,0,0,0,0,0,0
Heart of Iowa Regional Transit Agency,Urbandale,IA,Polk,13676,114401,0,0,0,0,0,0
Kanawha Valley Regional Transportation Authority,Charleston,WV,Kanawha,331078,68980,0,0,0,0,0,0
"City of Harrisonburg, dba: Harrisonburg Transit",Harrisonburg,VA,Harrisonburg,173371,21524,0,0,0,0,0,0
"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",Crestview,FL,Okaloosa,1227,147269,0,0,0,0,0,0
STAR Transit,Terrell,TX,Kaufman,0,212091,0,0,0,0,0,0
Connecticut Department of Transportation - CTTRANSIT Stamford Division,Hartford,CT,Capitol,377622,0,0,0,0,0,0,0
"Western Maine Transportation Services, Inc.",Auburn,ME,Androscoggin,16465,50352,0,0,0,0,0,0
"Bloomington-Normal Public Transit System, dba: Connect Transit",Normal,IL,McLean,0,53908,19336,0,282297,0,0,0
Texas State University,San Marcos,TX,Hays,193296,0,0,0,0,0,0,0
"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,Union,268458,0,0,0,0,0,0,0
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",New Port Richey,FL,Pasco,349718,63738,0,0,0,0,0,0
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,Winnebago,94300,0,0,0,0,0,0,0
"City of Visalia, dba: Visalia Transit",Visalia,CA,Tulare,0,0,0,580167,0,0,0,0
City of Lawrence,Lawrence,KS,Douglas,129293,124360,0,0,0,0,0,0
"Golden Crescent Regional Planning Commission, dba: Victoria Transit",Victoria,TX,Victoria,19396,127787,0,0,0,0,0,0
"City of Waukesha, dba: Waukesha Metro Transit",Waukesha,WI,Waukesha,216901,3044,0,0,0,0,0,0
"County of Placer, dba: Placer County Department of Public Works",Auburn,CA,Placer,57621,54732,0,367041,0,0,0,0
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,Racine,270661,18001,0,0,0,0,0,0
"Frederick County, Maryland, dba: TransIT Services of Frederick County",Frederick,MD,Frederick,102036,64032,0,0,0,0,0,148170
"City of Fairfield, California, dba: Fairfield and Suisun Transit",Fairfield,CA,Solano,335230,23472,0,0,0,0,0,0
The Transportation Management Association Group,Franklin,TN,Williamson,0,41284,0,0,0,0,0,0
"North Central Alabama Regional Council of Governments, dba: NARCOG Regional Transit Agency",Decatur,AL,Morgan,0,46877,0,0,0,0,0,0
Monroe County Transportation  Authority,Swiftwater,PA,,84789,129954,0,0,0,0,0,0
Bloomington Public Transportation Corporation,Bloomington,IN,Monroe,191369,20899,0,0,0,0,0,0
Solano County Transit,Vallejo,CA,Solano,123755,25576,0,335189,0,0,0,18249
"Valley Metro Rail, Inc.",Phoenix,AZ,Maricopa,0,0,0,0,0,0,23474521,0
North Carolina State University,Raleigh,NC,Wake,176753,0,0,0,0,0,0,0
"Lake County Board of County Commissioners, dba: LakeXpress",Tavares,FL,Lake,125584,166552,0,0,0,0,0,0
The Woodlands Township,The Woodlands,TX,Montgomery,159058,0,24534,0,0,0,0,0
Regional Planning Commission of Greater Birmingham,Birmingham,AL,Jefferson,0,37880,0,0,0,0,0,0
"The Tri-County Council for the Lower Eastern Shore of Maryland, dba: Shore Transit",Salisbury,MD,Wicomico,31541,73794,180700,0,0,0,0,0
"Council on Aging of St. Lucie, Inc., dba: Community Transit",Fort Pierce,FL,St. Lucie,181811,4073,0,0,0,0,0,0
"City of Plymouth, dba: Plymouth Metrolink",Plymouth,MN,Hennepin,109053,28991,0,0,0,0,0,0
Pomona Valley Transportation Authority,La Verne,CA,Los Angeles,0,53549,0,0,0,0,0,0
"University of California, Davis, dba: Unitrans",Davis,CA,Yolo,0,1364,0,207574,21192,0,0,0
Anne Arundel County,Annapolis,MD,Anne Arundel,0,201674,0,0,0,0,0,0
"City of Iowa City, dba: Iowa City Transit",Iowa City,IA,Johnson,166348,32814,0,0,0,0,0,0
City of Santa Rosa,Santa Rosa,CA,Sonoma,191763,30569,0,0,0,0,0,0
"City of Cedar Rapids, dba: Cedar Rapids Transit",Cedar Rapids,IA,Linn,208142,24401,0,0,0,0,0,0
"City of Williamsport, dba: River Valley Transit",Williamsport,PA,Lycoming,54976,8760,0,202796,0,0,0,0
"City of Fayetteville, dba: Fayetteville Area System of Transit",Fayetteville,NC,Cumberland,257652,70719,43674,0,0,0,0,0
"City of Fargo, dba: Metropolitan Area Transit",Fargo,ND,Cass,217202,43782,0,0,0,0,0,0
Muncie Indiana Transit System,Muncie,IN,Delaware,0,0,39356,0,145520,0,0,0
Topeka Metropolitan Transit Authority,Topeka,KS,Shawnee,183010,24429,0,0,0,0,0,0
Butler County Regional Transit Authority,Hamilton,OH,Butler,42716,98540,0,0,0,0,0,0
"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Bay Minette,AL,Baldwin,0,78784,0,0,0,0,0,0
County of Atlantic,Atlantic City,NJ,Atlantic,3036,73552,0,0,0,0,0,0
"Su Tran LLC dba: Sioux Area Metro, dba: Sioux Area Metro",Sioux Falls,SD,Minnehaha,168437,0,0,0,0,0,0,0
"Buncombe County, dba: Mountain Mobility",Asheville,NC,Buncombe,0,94520,20898,17646,0,0,0,0
Board of  Clermont County Commissioners,Batavia,OH,Clermont,4934,69281,0,0,0,0,0,0
Yuba-Sutter Transit Authority,Marysville,CA,Yuba,206466,32653,0,0,0,0,0,0
Metropolitan Evansville Transit System,Evansville,IN,Vanderburgh,209550,0,0,449,0,0,0,0
Altamont Corridor Express,Stockton,CA,San Joaquin,514210,0,0,0,0,0,0,0
"County of Washington, dba: Washington County Transit",West Bend,WI,Washington,63591,93048,0,0,0,0,0,0
Central Indiana Regional Transportation Authority ,Indianapolis,IN,Marion,25129,6967,0,0,0,0,0,0
City of Kokomo,Kokomo,IN,Howard,29673,62156,0,0,0,0,0,0
Via Mobility Services,Boulder,CO,Boulder,0,64833,0,439,0,0,0,19820
Greater Portland Transit District,Portland,ME,Cumberland,182552,0,0,87742,0,0,0,0
City of Glendale,Glendale,CA,Los Angeles,0,17360,0,288956,0,0,0,0
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,Blair,12164,8943,0,155442,0,0,0,0
Beaver County Transit Authority,Rochester,PA,Beaver,55279,68402,0,161611,0,0,0,0
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Woods Hole,MA,Barnstable,2901675,0,0,619,0,0,0,0
"Knoxville-Knox County Community Action Committee, dba: Knox County CAC Transit",Knoxville,TN,Knox,0,169448,0,0,0,0,0,0
Bay County Transportation Planning Organization,Pensacola,FL,Escambia,81539,62570,0,0,0,0,0,0
"City of Pasadena, dba: Pasadena Transit",Pasadena,CA,Los Angeles,0,45980,0,239446,0,0,0,0
"County Commissioners of Charles County, MD, dba: VanGO",La Plata,MD,Charles,0,277781,0,0,0,0,0,0
Alaska Railroad Corporation,Anchorage,AK,Anchorage,411818,0,0,0,0,0,0,0
"Ozaukee County, dba: Ozaukee County Transit Services ",Port Washington,WI,Ozaukee,10981,49911,0,0,0,0,0,0
The Tri-State Transit Authority,Huntington,WV,Cabell,193206,46347,0,0,0,0,0,0
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit",Huntsville,AL,Madison,146816,84112,0,0,0,0,0,0
Monsey New Square Trails Corporation,Spring Valley,NY,Rockland,214625,0,0,0,0,0,0,0
Delaware County Transit Board,Delaware,OH,Delaware,1857,49047,0,0,0,0,0,0
"County of Fayette, dba: Fayette Area Coordinated Transportation",Uniontown,PA,Fayette,54515,150144,0,11673,0,0,0,0
"Missoula Urban Transportation District, dba: Mountain Line",Missoula,MT,Missoula,141296,12897,0,0,0,0,0,232906
"LINK Hendricks County, dba: Sycamore Svcs, Morgan County Connect, Senior Svcs",Danville,IN,Hendricks,0,38923,0,0,0,0,0,0
"City of Waco, dba: Waco Transit System",Waco,TX,McLennan,189872,19157,0,0,0,0,0,0
"City of Norwalk, dba: Norwalk Transit System ",Norwalk,CA,Los Angeles,0,72068,0,283974,0,0,0,0
"City of Sioux City, dba: Sioux City Transit System",Sioux City,IA,Woodbury,132902,26215,0,0,0,0,0,0
Mid-Ohio Regional Planning Commission,Columbus,OH,Franklin,0,18777,0,0,0,0,0,0
"Spartanburg Regional Health Services, Inc.",Spartanburg,SC,Spartanburg,0,156182,5351,0,0,0,0,0
Ulster County ,Kingston,NY,Ulster,101813,47218,0,0,0,0,0,0
"City of La Crosse, dba: Municipal Transit",La Crosse,WI,La Crosse,144028,3838,0,0,0,0,0,0
Northern Arizona Intergovernmental Public Transportation Authority,Flagstaff,AZ,Coconino,187692,16095,0,0,0,0,0,0
"City of Billings, dba: Metropolitan Transit System (Billings MET)",Billings,MT,Yellowstone,128260,25286,0,0,0,0,0,0
Indian River County,Vero Beach,FL,Indian River,95196,79193,0,0,0,0,0,0
"City of Green Bay, dba: Green Bay Metro",Green Bay,WI,Brown,143543,20679,0,0,0,0,0,0
New York City Economic Development Corporation,New York,NY,Queens,3151574,0,0,0,0,0,0,0
Cooperative Alliance for Seacoast Transportation,Dover,NH,Strafford,60208,30215,0,0,70211,0,0,0
Cache Valley Transit District,Logan,UT,Cache,208514,14125,0,0,0,0,0,0
Berkshire Regional Transit Authority,Pittsfield,MA,Berkshire,69587,103362,0,0,0,0,0,0
Imperial County Transportation Commission,El Centro,CA,Imperial,129093,92948,0,0,0,0,0,0
"University of Iowa, dba: CAMBUS",Iowa City,IA,Johnson,178024,0,0,0,0,0,0,0
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,Santa Barbara,179392,27934,0,0,0,0,0,0
"City of Jackson, MS, dba: JATRAN",Jackson,MS,Hinds,283990,49684,0,0,0,0,0,0
Redding Area Bus Authority,Redding,CA,Shasta,132372,50430,0,0,0,0,0,6131
University of Minnesota Transit,Minneapolis,MN,Hennepin,117798,15110,0,0,0,0,0,0
"Adirondack Transit Lines, Inc,, dba: Adirondack Trailways",Hurley,NY,,158986,0,0,0,0,0,0,0
"County of Lebanon Transit Authority, dba: Lebanon Transit",Lebanon,PA,Lebanon,57923,36353,0,40511,0,0,0,0
"Lake Erie Transportation Commission, dba: Lake Erie Transit",Monroe,MI,Monroe,97894,0,0,0,0,0,0,0
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,Clarke,221075,12061,0,0,0,0,0,0
"Central Florida Commuter Rail, dba: SunRail",Tallahassee,FL,Leon,810032,0,0,0,0,0,0,0
Greater Lynchburg Transit Company,Lynchburg,VA,Lynchburg,216242,30000,0,0,0,0,0,0
"City of Columbia, dba: Go COMO",Columbia,MO,Boone,0,24680,0,33438,84651,0,0,44815
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO",New Britain,CT,Capitol,261665,0,0,0,0,0,0,0
"City of Montgomery, dba: Montgomery Transit - The M ",Montgomery,AL,Montgomery,69423,182426,0,0,0,0,0,0
Macatawa Area Express Transportation Authority,Holland,MI,Ottawa,24528,73878,0,0,0,0,0,0
"Licking County, Ohio, dba: Licking County Transit Board",Newark,OH,Licking,14,99788,0,0,0,0,0,0
"Charlotte County Government, dba: Charlotte County Transit Division",Port Charlotte,FL,Charlotte,26751,34216,0,0,0,0,0,0
RiverCities Transit,Longview,WA,Cowlitz,0,11094,15857,0,57617,0,0,0
"City of Brownsville, dba: Brownsville Metro (BMetro)",Brownsville,TX,Cameron,183074,28410,0,0,0,0,0,0
"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,Pueblo,125316,26959,0,0,0,0,0,0
New York City Department of Transportation,New York,NY,Queens,4683877,0,0,0,0,0,0,0
Williamsburg Area Transit Authority,Williamsburg,VA,Williamsburg,163761,25320,0,0,0,0,0,0
City of Riverside,Riverside,CA,Riverside,0,249,0,79649,0,0,0,0
Great Falls Transit District,Great Falls,MT,Cascade,76327,13780,0,0,0,0,0,0
Pima Association of Governments,Tucson,AZ,Pima,0,18729,0,0,0,0,0,0
Greenville Transit Authority,Greenville,SC,Greenville,141071,37513,0,0,0,0,0,332760
Southeast Area Transit District,Preston,CT,,192740,19202,0,0,0,0,0,0
"City of Springfield, dba: CU Transit",Springfield,MO,Greene,204255,17420,0,0,0,0,0,0
Cities Area Transit,Grand Forks,ND,Grand Forks,58861,32588,0,0,5825,0,0,0
Kings County Area Public Transit Agency,Hanford,CA,Kings,0,18994,0,189976,0,0,0,0
City of Baltimore,Baltimore,MD,Baltimore,112527,0,0,0,0,0,0,0
Flagler County Public Transportation,Bunnell,FL,Flagler,0,82731,0,0,0,0,0,0
Northern New England Passenger Rail Authority,Portland,ME,Cumberland,628302,0,0,0,0,0,0,0
Medina County Public Transit,Medina,OH,Medina,6624,36519,0,0,0,0,0,0
Gary Public Transportation Corporation,Gary,IN,Lake,162930,30031,0,0,0,0,0,0
Mid Mon Valley Transit Authority,Charleroi,PA,Washington,57743,0,0,155177,0,0,0,0
"Town of Huntington, dba: Hunting Area Rapid Transit",Huntington,NY,,27639,50102,0,0,0,0,0,0
Pennsylvania Department of Transportation,Harrisburg,PA,Dauphin,0,0,0,0,0,0,27325354,0
"University of Kansas, dba: KU Parking & Transit",Lawrence,KS,Douglas,70849,0,0,0,54866,0,0,0
City of DeKalb,Dekalb,IL,,141290,13935,0,0,0,0,0,0
"Greene County Transit Board, dba: Greene CATS Public Transit",Xenia,OH,Greene,0,112124,0,0,0,0,0,0
"City of Wilsonville, dba: South Metro Area Regional Transit",Wilsonville,OR,Clackamas,41392,41326,0,10592,0,0,0,96360
Cape Ann Transportation Authority,Gloucester,MA,Essex,36604,30448,0,0,0,0,0,0
Washington State Ferries,Olympia,WA,Thurston,15606455,0,0,0,1528162,0,0,0
Augusta Richmond County Transit Department,Augusta,GA,Richmond,163110,0,0,0,0,0,0,0
"City of Asheville, dba: ART (Asheville Redefines Transit)",Asheville,NC,Buncombe,218878,0,0,0,0,0,0,428649
Michiana Area Council of Governments,South Bend,IN,St. Joseph,114340,16969,0,0,0,0,0,0
"City of Scottsdale, dba: Scottsdale Trolley",Scottsdale,AZ,Maricopa,100926,0,0,90685,0,0,0,0
City of Glendale ,Glendale,AZ,Maricopa,7979,57119,5417,0,0,0,0,0
"City of Albany, dba: Albany Transit System",Albany,GA,Dougherty,39176,1760,0,147318,0,0,0,0
"Miami County, Ohio, dba: Miami County Public Transit ",Troy,OH,Miami,0,50563,0,0,0,0,0,0
"City of Beaumont, dba: Beaumont Municipal Transit System",Beaumont,TX,Jefferson,21789,0,0,255286,0,0,0,0
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System",Lafayette,LA,Lafayette,77171,18697,0,121526,0,0,0,0
"Texoma Area Paratransit System, Inc",Sherman,TX,Grayson,0,62557,0,0,0,0,0,0
Jackson Transit Authority,Jackson,TN,Madison,100934,47422,0,0,0,0,0,0
River Valley Metro Mass Transit District,Bourbonnais,IL,Kankakee,78347,232917,0,0,0,0,0,0
"City of Nashua, dba: Nashua Transit System",Nashua,NH,Hillsborough,0,23720,0,71820,17476,0,0,0
Ohio Valley Regional Transportation Authority,Wheeling,WV,Ohio,114593,36495,0,0,0,0,0,0
Jackson County Mass Transit District,Carbondale,IL,Jackson,1065,47847,0,0,0,0,0,0
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority",Jackson,MI,Jackson,86913,13889,0,0,0,0,0,0
"City of Clemson, dba: Clemson Area Transit",Clemson,SC,Pickens,55200,0,0,0,0,0,0,842049
"Putnam County, dba: Putnam Area Rapid Transit ",Carmel,NY,,0,55451,0,0,0,0,0,0
City of Portland,Portland,OR,Multnomah,0,0,0,0,0,0,2803087,0
"City of San Luis Obispo, dba: SLO Transit",San Luis Obispo,CA,San Luis Obispo,91095,2514,0,0,0,0,0,0
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,Sonoma,52729,11438,0,0,0,0,0,0
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,Los Angeles,0,0,0,145107,0,0,0,0
Tahoe Transportation District,Zephyr Cove,NV,Douglas,75020,3558,0,0,0,0,0,0
Martin County,Stuart,FL,Martin,89610,12810,0,0,0,0,0,0
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,Los Angeles,0,0,0,132111,0,0,0,0
Connecticut Department of Transportation -CTTRANSIT New Britain ,Berlin,CT,,208754,0,0,0,0,0,0,0
Milford Transit District,Milford,CT,,0,28436,0,0,56319,0,0,0
City of Fort Lauderdale,Fort Lauderdale,FL,Broward,27597,10619,14616,0,0,0,0,0
Valley Transit District,Derby,CT,Naugatuck Valley,0,36976,0,0,0,0,0,0
City of Rome ,Rome,GA,Floyd,28327,33703,0,0,0,0,0,0
Sonoma-Marin Area Rail Transit District,Petaluma,CA,Sonoma,286520,0,0,0,0,0,0,0
"City of Terre Haute, dba: Terre Haute Transit Utility",Terre Haute,IN,Vigo,27344,44515,0,0,0,0,0,0
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry",San Francisco,CA,San Francisco,2649830,0,0,0,0,0,0,0
"City of Coralville, dba: Coralville Transit System",Iowa City,IA,Johnson,48972,7188,0,0,0,0,0,0
"City of Turlock, dba: Turlock Transit",Turlock,CA,Stanislaus,0,26164,0,35074,0,0,0,0
"City of Tulare, dba: Tulare Intermodal Express",Tulare,CA,Tulare,0,12241,0,69637,0,0,0,0
"City of Loveland, Colorado, dba: Loveland Transit",Loveland,CO,Larimer,22808,21679,0,0,0,0,0,0
"City of Fairfax, dba: CUE Bus",Fairfax,VA,Fairfax,94852,0,0,0,0,0,0,0
City of Maple Grove,Osseo,MN,Hennepin,92992,20036,0,0,0,0,0,0
"Detroit Transportation Corporation, dba: Detroit People Mover",Detroit,MI,Wayne,0,0,0,0,0,0,2996400,0
"City of Long Beach, dba: Long Beach Bus",Long Beach,NY,Nassau,54012,3207,0,0,0,0,0,0
"City of Seattle, dba: Seattle Center Monorail",Seattle,WA,King,0,0,0,0,0,0,312557,0
"City of La Mirada, dba: La Mirada Transit ",La Mirada,CA,Los Angeles,0,6759,0,8835,0,0,0,0
Puerto Rico Maritime Transport Authority ,,PR,,1049993,0,0,0,0,0,0,0
Private Transportation Corporation,Brooklyn,NY,Kings,36096,0,0,0,0,0,0,0
Plaquemines Parish Government,Belle Chasse,LA,Plaquemines,244500,8948,0,0,0,0,0,0
"City of Peoria, dba: Peoria Transit",Peoria,AZ,Maricopa,0,17368,0,0,0,0,0,0
"Borough of Pottstown, dba: Pottstown Area Rapid Transit ",Pottstown,PA,Montgomery,68880,3144,0,0,0,0,0,0
"SeaStreak, LLC",,NJ,,1423585,0,0,0,0,0,0,0
"M-1 Rail, dba: QLINE Detroit",Detroit,MI,Wayne,0,0,0,0,0,0,1768151,0
"Hyannis Harbor Tours, Inc. ",Hyannis,MA,,1412997,0,0,0,0,0,0,0
Casco Bay Island Transit District,Portland,ME,Cumberland,211587,0,0,0,29318,0,0,0
"University of Montana, dba: UDASH",Missoula,MT,Missoula,10918,0,0,0,0,0,0,82841
"Kansas City, City of Missouri, dba: Kansas City Streetcar",Kansas City,MO,Jackson,0,0,0,0,0,0,1080674,0
"City of Cincinnati, dba: Cincinnati Bell Connector",Cincinnati,OH,Hamilton,0,0,0,0,0,0,702568,0
City of Milwaukee,Milwaukee,WI,Milwaukee,0,0,0,0,0,0,796799,0
McKinney Avenue Transit Authority,Dallas,TX,Dallas,0,0,0,0,0,0,320120,0
Bay State Cruise Company,,MA,,155873,0,0,0,0,0,0,0
"County of Pierce, dba: Pierce County Ferry",Tacoma,WA,Pierce,184209,0,0,0,0,0,0,0
Rhode Island Department of Transportation,Providence,RI,Providence,121806,0,0,0,0,0,0,0
Chicago Water Taxi (Wendella),Chicago,IL,Cook,2166,0,0,0,0,0,0,0
