MSA,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,"Developed, High Intensity","Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Shrubland,Woody Wetlands
"South Bend-Mishawaka, IN-MI",5237.0,1400216.0,395133.0,40136.0,200057.0,108613.0,194252.0,22500.0,9688.0,12352.0,14784.0,48021.0,57819.0,2157.0,279465.0
"Spartanburg, SC",6011.0,7592.0,904575.0,44644.0,222342.0,89020.0,343674.0,5205.0,837379.0,120495.0,414506.0,37710.0,604246.0,113412.0,91176.0
"Spokane-Spokane Valley, WA",6544.0,1545119.0,15396.0,49750.0,358627.0,216876.0,306287.0,249987.0,9028427.0,1491365.0,12467.0,294360.0,140774.0,2666706.0,153537.0
"Springfield, IL",2947.0,2418294.0,215894.0,28166.0,182986.0,109760.0,89104.0,2482.0,242.0,4303.0,47792.0,36234.0,233707.0,1753.0,58095.0
"Springfield, MA",9953.0,61080.0,987334.0,55169.0,202897.0,158374.0,232359.0,16032.0,155795.0,24613.0,940870.0,90037.0,141528.0,16841.0,301482.0
"Springfield, MO",12725.0,57555.0,3015638.0,54585.0,345304.0,164727.0,304268.0,2053.0,111617.0,36346.0,304912.0,29529.0,4178218.0,57830.0,17678.0
"Springfield, OH",1485.0,698907.0,121040.0,12120.0,72983.0,36742.0,89040.0,4033.0,1364.0,8197.0,1945.0,17305.0,89434.0,183.0,4009.0
"St. Cloud, MN",8675.0,2895581.0,466813.0,38610.0,150659.0,106353.0,146710.0,431806.0,10228.0,27515.0,23988.0,148149.0,583418.0,2502.0,148037.0
"St. George, UT",34131.0,26190.0,164135.0,14783.0,67552.0,59417.0,82590.0,6649.0,2097835.0,398445.0,10829.0,11885.0,18847.0,3975145.0,25792.0
"St. Joseph, MO-KS",5587.0,2245983.0,750217.0,16967.0,128033.0,45569.0,165785.0,32432.0,1162.0,29166.0,20272.0,59458.0,1242326.0,6916.0,71643.0
"St. Louis, MO-IL",56485.0,7956536.0,5852332.0,342502.0,1565274.0,877931.0,1086705.0,146071.0,89348.0,101632.0,1126957.0,663451.0,2559060.0,36558.0,797537.0
