Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal),County Name,MSA
Ben Franklin Transit,Richland,WA,Benton,527914,304513,0,0,0,0,0,3038,Benton,"Kennewick-Richland, WA"
"San Mateo County Transit District, dba: SamTrans",San Carlos,CA,San Mateo,2163604,85322,0,0,6442,0,0,30,San Mateo,"San Francisco-Oakland-Berkeley, CA"
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",Seattle,WA,King,3279119,0,0,412903,0,0,20749583,0,King,"Seattle-Tacoma-Bellevue, WA"
"Westchester County, dba: The Bee-Line System",White Plains,NY,Westchester,2242545,169150,0,0,0,0,0,0,Westchester,"New York-Newark-Jersey City, NY-NJ-PA"
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,Milwaukee,3113134,206259,0,0,0,0,0,0,Milwaukee,"Milwaukee-Waukesha, WI"
"City of Los Angeles, dba: Los Angeles Department of Transportation",Los Angeles,CA,Los Angeles,0,341350,522834,2459638,0,0,0,117761,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
Niagara Frontier Transportation Authority,Buffalo,NY,Erie,1349982,241185,0,1019678,0,0,7920559,0,Erie,"Buffalo-Cheektowaga, NY"
Rhode Island Public Transit Authority,Providence,RI,Providence,2256120,37152,0,0,0,0,0,0,Providence,"Providence-Warwick, RI-MA"
Transit Authority of River City,Louisville,KY,Jefferson,1472204,347041,0,0,0,0,0,535223,Jefferson,"Louisville/Jefferson County, KY-IN"
Suburban Mobility Authority for Regional Transportation,Detroit,MI,Wayne,2292777,1749,557976,0,0,0,0,0,Wayne,"Detroit-Warren-Dearborn, MI"
Central Ohio Transit Authority,Columbus,OH,Franklin,1398958,33814,0,1975363,0,0,0,0,Franklin,"Columbus, OH"
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,Sacramento,29823,150779,0,2424367,0,0,30089655,75511,Sacramento,"Sacramento-Roseville-Folsom, CA"
Greater Richmond Transit Company,Richmond,VA,Richmond,346019,213340,0,1677436,0,0,0,0,Richmond,"Richmond, VA"
Southwest Ohio Regional Transit Authority,Cincinnati,OH,Hamilton,2212396,0,0,0,0,0,0,0,Hamilton,"Cincinnati, OH-KY-IN"
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,Pinellas,2118471,235430,0,0,0,0,0,58322,Pinellas,"Tampa-St. Petersburg-Clearwater, FL"
City of Tucson,Tucson   ,AZ,Pima,698,514068,0,902015,1671027,0,1833440,2845,Pima,"Tucson, AZ"
