Agency,City,State,County,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal),County Name,MSA
Regional Planning Commission of Greater Birmingham,Birmingham,AL,Jefferson,0,37880,0,0,0,0,0,0,Jefferson,"Birmingham-Hoover, AL"
"The Tri-County Council for the Lower Eastern Shore of Maryland, dba: Shore Transit",Salisbury,MD,Wicomico,31541,73794,180700,0,0,0,0,0,Wicomico,"Salisbury, MD-DE"
"Council on Aging of St. Lucie, Inc., dba: Community Transit",Fort Pierce,FL,St. Lucie,181811,4073,0,0,0,0,0,0,St. Lucie,"Port St. Lucie, FL"
"City of Plymouth, dba: Plymouth Metrolink",Plymouth,MN,Hennepin,109053,28991,0,0,0,0,0,0,Hennepin,"Minneapolis-St. Paul-Bloomington, MN-WI"
Pomona Valley Transportation Authority,La Verne,CA,Los Angeles,0,53549,0,0,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"University of California, Davis, dba: Unitrans",Davis,CA,Yolo,0,1364,0,207574,21192,0,0,0,Yolo,"Sacramento-Roseville-Folsom, CA"
Anne Arundel County,Annapolis,MD,Anne Arundel,0,201674,0,0,0,0,0,0,Anne Arundel,"Baltimore-Columbia-Towson, MD"
"City of Iowa City, dba: Iowa City Transit",Iowa City,IA,Johnson,166348,32814,0,0,0,0,0,0,Johnson,"Iowa City, IA"
City of Santa Rosa,Santa Rosa,CA,Sonoma,191763,30569,0,0,0,0,0,0,Sonoma,"Santa Rosa-Petaluma, CA"
"City of Cedar Rapids, dba: Cedar Rapids Transit",Cedar Rapids,IA,Linn,208142,24401,0,0,0,0,0,0,Linn,"Cedar Rapids, IA"
"City of Williamsport, dba: River Valley Transit",Williamsport,PA,Lycoming,54976,8760,0,202796,0,0,0,0,Lycoming,"Williamsport, PA"
"City of Fayetteville, dba: Fayetteville Area System of Transit",Fayetteville,NC,Cumberland,257652,70719,43674,0,0,0,0,0,Cumberland,"Fayetteville, NC"
"City of Fargo, dba: Metropolitan Area Transit",Fargo,ND,Cass,217202,43782,0,0,0,0,0,0,Cass,"Fargo, ND-MN"
Muncie Indiana Transit System,Muncie,IN,Delaware,0,0,39356,0,145520,0,0,0,Delaware,"Muncie, IN"
Topeka Metropolitan Transit Authority,Topeka,KS,Shawnee,183010,24429,0,0,0,0,0,0,Shawnee,"Topeka, KS"
Butler County Regional Transit Authority,Hamilton,OH,Butler,42716,98540,0,0,0,0,0,0,Butler,"Cincinnati, OH-KY-IN"
"Baldwin County Commission, dba: Baldwin Regional Area Transit System",Bay Minette,AL,Baldwin,0,78784,0,0,0,0,0,0,Baldwin,"Daphne-Fairhope-Foley, AL"
County of Atlantic,Atlantic City,NJ,Atlantic,3036,73552,0,0,0,0,0,0,Atlantic,"Atlantic City-Hammonton, NJ"
"Su Tran LLC dba: Sioux Area Metro, dba: Sioux Area Metro",Sioux Falls,SD,Minnehaha,168437,0,0,0,0,0,0,0,Minnehaha,"Sioux Falls, SD"
"Buncombe County, dba: Mountain Mobility",Asheville,NC,Buncombe,0,94520,20898,17646,0,0,0,0,Buncombe,"Asheville, NC"
Board of  Clermont County Commissioners,Batavia,OH,Clermont,4934,69281,0,0,0,0,0,0,Clermont,"Cincinnati, OH-KY-IN"
Yuba-Sutter Transit Authority,Marysville,CA,Yuba,206466,32653,0,0,0,0,0,0,Yuba,"Yuba City, CA"
Metropolitan Evansville Transit System,Evansville,IN,Vanderburgh,209550,0,0,449,0,0,0,0,Vanderburgh,"Evansville, IN-KY"
Altamont Corridor Express,Stockton,CA,San Joaquin,514210,0,0,0,0,0,0,0,San Joaquin,"Stockton, CA"
"County of Washington, dba: Washington County Transit",West Bend,WI,Washington,63591,93048,0,0,0,0,0,0,Washington,"Milwaukee-Waukesha, WI"
Central Indiana Regional Transportation Authority ,Indianapolis,IN,Marion,25129,6967,0,0,0,0,0,0,Marion,"Indianapolis-Carmel-Anderson, IN"
City of Kokomo,Kokomo,IN,Howard,29673,62156,0,0,0,0,0,0,Howard,"Kokomo, IN"
Via Mobility Services,Boulder,CO,Boulder,0,64833,0,439,0,0,0,19820,Boulder,"Boulder, CO"
Greater Portland Transit District,Portland,ME,Cumberland,182552,0,0,87742,0,0,0,0,Cumberland,"Portland-South Portland, ME"
City of Glendale,Glendale,CA,Los Angeles,0,17360,0,288956,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,Blair,12164,8943,0,155442,0,0,0,0,Blair,"Altoona, PA"
Beaver County Transit Authority,Rochester,PA,Beaver,55279,68402,0,161611,0,0,0,0,Beaver,"Pittsburgh, PA"
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Woods Hole,MA,Barnstable,2901675,0,0,619,0,0,0,0,Barnstable,"Barnstable Town, MA"
"Knoxville-Knox County Community Action Committee, dba: Knox County CAC Transit",Knoxville,TN,Knox,0,169448,0,0,0,0,0,0,Knox,"Knoxville, TN"
Bay County Transportation Planning Organization,Pensacola,FL,Escambia,81539,62570,0,0,0,0,0,0,Escambia,"Pensacola-Ferry Pass-Brent, FL"
"City of Pasadena, dba: Pasadena Transit",Pasadena,CA,Los Angeles,0,45980,0,239446,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"County Commissioners of Charles County, MD, dba: VanGO",La Plata,MD,Charles,0,277781,0,0,0,0,0,0,Charles,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Alaska Railroad Corporation,Anchorage,AK,Anchorage,411818,0,0,0,0,0,0,0,,
"Ozaukee County, dba: Ozaukee County Transit Services ",Port Washington,WI,Ozaukee,10981,49911,0,0,0,0,0,0,Ozaukee,"Milwaukee-Waukesha, WI"
The Tri-State Transit Authority,Huntington,WV,Cabell,193206,46347,0,0,0,0,0,0,Cabell,"Huntington-Ashland, WV-KY-OH"
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit",Huntsville,AL,Madison,146816,84112,0,0,0,0,0,0,Madison,"Huntsville, AL"
Monsey New Square Trails Corporation,Spring Valley,NY,Rockland,214625,0,0,0,0,0,0,0,Rockland,"New York-Newark-Jersey City, NY-NJ-PA"
Delaware County Transit Board,Delaware,OH,Delaware,1857,49047,0,0,0,0,0,0,Delaware,"Columbus, OH"
"County of Fayette, dba: Fayette Area Coordinated Transportation",Uniontown,PA,Fayette,54515,150144,0,11673,0,0,0,0,Fayette,"Pittsburgh, PA"
"Missoula Urban Transportation District, dba: Mountain Line",Missoula,MT,Missoula,141296,12897,0,0,0,0,0,232906,Missoula,"Missoula, MT"
"LINK Hendricks County, dba: Sycamore Svcs, Morgan County Connect, Senior Svcs",Danville,IN,Hendricks,0,38923,0,0,0,0,0,0,Hendricks,"Indianapolis-Carmel-Anderson, IN"
"City of Waco, dba: Waco Transit System",Waco,TX,McLennan,189872,19157,0,0,0,0,0,0,McLennan,"Waco, TX"
"City of Norwalk, dba: Norwalk Transit System ",Norwalk,CA,Los Angeles,0,72068,0,283974,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
"City of Sioux City, dba: Sioux City Transit System",Sioux City,IA,Woodbury,132902,26215,0,0,0,0,0,0,Woodbury,"Sioux City, IA-NE-SD"
Mid-Ohio Regional Planning Commission,Columbus,OH,Franklin,0,18777,0,0,0,0,0,0,Franklin,"Columbus, OH"
"Spartanburg Regional Health Services, Inc.",Spartanburg,SC,Spartanburg,0,156182,5351,0,0,0,0,0,Spartanburg,"Spartanburg, SC"
Ulster County ,Kingston,NY,Ulster,101813,47218,0,0,0,0,0,0,Ulster,"Kingston, NY"
"City of La Crosse, dba: Municipal Transit",La Crosse,WI,La Crosse,144028,3838,0,0,0,0,0,0,La Crosse,"La Crosse-Onalaska, WI-MN"
Northern Arizona Intergovernmental Public Transportation Authority,Flagstaff,AZ,Coconino,187692,16095,0,0,0,0,0,0,Coconino,"Flagstaff, AZ"
"City of Billings, dba: Metropolitan Transit System (Billings MET)",Billings,MT,Yellowstone,128260,25286,0,0,0,0,0,0,Yellowstone,"Billings, MT"
Indian River County,Vero Beach,FL,Indian River,95196,79193,0,0,0,0,0,0,Indian River,"Sebastian-Vero Beach, FL"
"City of Green Bay, dba: Green Bay Metro",Green Bay,WI,Brown,143543,20679,0,0,0,0,0,0,Brown,"Green Bay, WI"
New York City Economic Development Corporation,New York,NY,Queens,3151574,0,0,0,0,0,0,0,Queens,"New York-Newark-Jersey City, NY-NJ-PA"
Cooperative Alliance for Seacoast Transportation,Dover,NH,Strafford,60208,30215,0,0,70211,0,0,0,Strafford,"Boston-Cambridge-Newton, MA-NH"
Cache Valley Transit District,Logan,UT,Cache,208514,14125,0,0,0,0,0,0,Cache,"Logan, UT-ID"
Berkshire Regional Transit Authority,Pittsfield,MA,Berkshire,69587,103362,0,0,0,0,0,0,Berkshire,"Pittsfield, MA"
Imperial County Transportation Commission,El Centro,CA,Imperial,129093,92948,0,0,0,0,0,0,Imperial,"El Centro, CA"
"University of Iowa, dba: CAMBUS",Iowa City,IA,Johnson,178024,0,0,0,0,0,0,0,Johnson,"Iowa City, IA"
"City of Santa Maria, dba: Santa Maria Area Transit",Santa Maria,CA,Santa Barbara,179392,27934,0,0,0,0,0,0,Santa Barbara,"Santa Maria-Santa Barbara, CA"
"City of Jackson, MS, dba: JATRAN",Jackson,MS,Hinds,283990,49684,0,0,0,0,0,0,Hinds,"Jackson, MS"
Redding Area Bus Authority,Redding,CA,Shasta,132372,50430,0,0,0,0,0,6131,Shasta,"Redding, CA"
University of Minnesota Transit,Minneapolis,MN,Hennepin,117798,15110,0,0,0,0,0,0,Hennepin,"Minneapolis-St. Paul-Bloomington, MN-WI"
"Adirondack Transit Lines, Inc,, dba: Adirondack Trailways",Hurley,NY,Ulster,158986,0,0,0,0,0,0,0,Ulster,"Kingston, NY"
"County of Lebanon Transit Authority, dba: Lebanon Transit",Lebanon,PA,Lebanon,57923,36353,0,40511,0,0,0,0,Lebanon,"Lebanon, PA"
"Lake Erie Transportation Commission, dba: Lake Erie Transit",Monroe,MI,Monroe,97894,0,0,0,0,0,0,0,Monroe,"Monroe, MI"
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,Clarke,221075,12061,0,0,0,0,0,0,Clarke,"Athens-Clarke County, GA"
"Central Florida Commuter Rail, dba: SunRail",Tallahassee,FL,Leon,810032,0,0,0,0,0,0,0,Leon,"Tallahassee, FL"
Greater Lynchburg Transit Company,Lynchburg,VA,Lynchburg,216242,30000,0,0,0,0,0,0,Lynchburg,"Lynchburg, VA"
"City of Columbia, dba: Go COMO",Columbia,MO,Boone,0,24680,0,33438,84651,0,0,44815,Boone,"Columbia, MO"
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO",New Britain,CT,Capitol,261665,0,0,0,0,0,0,0,,
"City of Montgomery, dba: Montgomery Transit - The M ",Montgomery,AL,Montgomery,69423,182426,0,0,0,0,0,0,Montgomery,"Montgomery, AL"
Macatawa Area Express Transportation Authority,Holland,MI,Ottawa,24528,73878,0,0,0,0,0,0,Ottawa,"Grand Rapids-Kentwood, MI"
"Licking County, Ohio, dba: Licking County Transit Board",Newark,OH,Licking,14,99788,0,0,0,0,0,0,Licking,"Columbus, OH"
"Charlotte County Government, dba: Charlotte County Transit Division",Port Charlotte,FL,Charlotte,26751,34216,0,0,0,0,0,0,Charlotte,"Punta Gorda, FL"
RiverCities Transit,Longview,WA,Cowlitz,0,11094,15857,0,57617,0,0,0,Cowlitz,"Longview, WA"
"City of Brownsville, dba: Brownsville Metro (BMetro)",Brownsville,TX,Cameron,183074,28410,0,0,0,0,0,0,Cameron,"Brownsville-Harlingen, TX"
"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,Pueblo,125316,26959,0,0,0,0,0,0,Pueblo,"Pueblo, CO"
New York City Department of Transportation,New York,NY,Queens,4683877,0,0,0,0,0,0,0,Queens,"New York-Newark-Jersey City, NY-NJ-PA"
Williamsburg Area Transit Authority,Williamsburg,VA,Williamsburg,163761,25320,0,0,0,0,0,0,,
City of Riverside,Riverside,CA,Riverside,0,249,0,79649,0,0,0,0,Riverside,"Riverside-San Bernardino-Ontario, CA"
Great Falls Transit District,Great Falls,MT,Cascade,76327,13780,0,0,0,0,0,0,Cascade,"Great Falls, MT"
Pima Association of Governments,Tucson,AZ,Pima,0,18729,0,0,0,0,0,0,Pima,"Tucson, AZ"
Greenville Transit Authority,Greenville,SC,Greenville,141071,37513,0,0,0,0,0,332760,Greenville,"Greenville-Anderson, SC"
Southeast Area Transit District,Preston,CT,New London,192740,19202,0,0,0,0,0,0,New London,"Norwich-New London, CT"
"City of Springfield, dba: CU Transit",Springfield,MO,Greene,204255,17420,0,0,0,0,0,0,Greene,"Springfield, MO"
Cities Area Transit,Grand Forks,ND,Grand Forks,58861,32588,0,0,5825,0,0,0,Grand Forks,"Grand Forks, ND-MN"
Kings County Area Public Transit Agency,Hanford,CA,Kings,0,18994,0,189976,0,0,0,0,Kings,"Hanford-Corcoran, CA"
City of Baltimore,Baltimore,MD,Baltimore,112527,0,0,0,0,0,0,0,Baltimore,"Baltimore-Columbia-Towson, MD"
City of Baltimore,Baltimore,MD,Baltimore,112527,0,0,0,0,0,0,0,Baltimore,"Baltimore-Columbia-Towson, MD"
Flagler County Public Transportation,Bunnell,FL,Flagler,0,82731,0,0,0,0,0,0,Flagler,"Deltona-Daytona Beach-Ormond Beach, FL"
Northern New England Passenger Rail Authority,Portland,ME,Cumberland,628302,0,0,0,0,0,0,0,Cumberland,"Portland-South Portland, ME"
Medina County Public Transit,Medina,OH,Medina,6624,36519,0,0,0,0,0,0,Medina,"Cleveland-Elyria, OH"
Gary Public Transportation Corporation,Gary,IN,Lake,162930,30031,0,0,0,0,0,0,Lake,"Chicago-Naperville-Elgin, IL-IN-WI"
Mid Mon Valley Transit Authority,Charleroi,PA,Washington,57743,0,0,155177,0,0,0,0,Washington,"Pittsburgh, PA"
"Town of Huntington, dba: Hunting Area Rapid Transit",Huntington,NY,Suffolk,27639,50102,0,0,0,0,0,0,Suffolk,"New York-Newark-Jersey City, NY-NJ-PA"
Pennsylvania Department of Transportation,Harrisburg,PA,Dauphin,0,0,0,0,0,0,27325354,0,Dauphin,"Harrisburg-Carlisle, PA"
"University of Kansas, dba: KU Parking & Transit",Lawrence,KS,Douglas,70849,0,0,0,54866,0,0,0,Douglas,"Lawrence, KS"
City of DeKalb,Dekalb,IL,Dekalb,141290,13935,0,0,0,0,0,0,,
"Greene County Transit Board, dba: Greene CATS Public Transit",Xenia,OH,Greene,0,112124,0,0,0,0,0,0,Greene,"Dayton-Kettering, OH"
"City of Wilsonville, dba: South Metro Area Regional Transit",Wilsonville,OR,Clackamas,41392,41326,0,10592,0,0,0,96360,Clackamas,"Portland-Vancouver-Hillsboro, OR-WA"
Cape Ann Transportation Authority,Gloucester,MA,Essex,36604,30448,0,0,0,0,0,0,Essex,"Boston-Cambridge-Newton, MA-NH"
Washington State Ferries,Olympia,WA,Thurston,15606455,0,0,0,1528162,0,0,0,Thurston,"Olympia-Lacey-Tumwater, WA"
Augusta Richmond County Transit Department,Augusta,GA,Richmond,163110,0,0,0,0,0,0,0,Richmond,"Augusta-Richmond County, GA-SC"
"City of Asheville, dba: ART (Asheville Redefines Transit)",Asheville,NC,Buncombe,218878,0,0,0,0,0,0,428649,Buncombe,"Asheville, NC"
Michiana Area Council of Governments,South Bend,IN,St. Joseph,114340,16969,0,0,0,0,0,0,St. Joseph,"South Bend-Mishawaka, IN-MI"
"City of Scottsdale, dba: Scottsdale Trolley",Scottsdale,AZ,Maricopa,100926,0,0,90685,0,0,0,0,Maricopa,"Phoenix-Mesa-Chandler, AZ"
City of Glendale ,Glendale,AZ,Maricopa,7979,57119,5417,0,0,0,0,0,Maricopa,"Phoenix-Mesa-Chandler, AZ"
"City of Albany, dba: Albany Transit System",Albany,GA,Dougherty,39176,1760,0,147318,0,0,0,0,Dougherty,"Albany, GA"
"Miami County, Ohio, dba: Miami County Public Transit ",Troy,OH,Miami,0,50563,0,0,0,0,0,0,Miami,"Dayton-Kettering, OH"
"City of Beaumont, dba: Beaumont Municipal Transit System",Beaumont,TX,Jefferson,21789,0,0,255286,0,0,0,0,Jefferson,"Beaumont-Port Arthur, TX"
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System",Lafayette,LA,Lafayette,77171,18697,0,121526,0,0,0,0,Lafayette,"Lafayette, LA"
"Texoma Area Paratransit System, Inc",Sherman,TX,Grayson,0,62557,0,0,0,0,0,0,Grayson,"Sherman-Denison, TX"
Jackson Transit Authority,Jackson,TN,Madison,100934,47422,0,0,0,0,0,0,Madison,"Jackson, TN"
River Valley Metro Mass Transit District,Bourbonnais,IL,Kankakee,78347,232917,0,0,0,0,0,0,Kankakee,"Kankakee, IL"
"City of Nashua, dba: Nashua Transit System",Nashua,NH,Hillsborough,0,23720,0,71820,17476,0,0,0,Hillsborough,"Manchester-Nashua, NH"
Ohio Valley Regional Transportation Authority,Wheeling,WV,Ohio,114593,36495,0,0,0,0,0,0,Ohio,"Wheeling, WV-OH"
Jackson County Mass Transit District,Carbondale,IL,Jackson,1065,47847,0,0,0,0,0,0,Jackson,"Carbondale-Marion, IL"
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority",Jackson,MI,Jackson,86913,13889,0,0,0,0,0,0,Jackson,"Jackson, MI"
"City of Clemson, dba: Clemson Area Transit",Clemson,SC,Pickens,55200,0,0,0,0,0,0,842049,Pickens,"Greenville-Anderson, SC"
"Putnam County, dba: Putnam Area Rapid Transit ",Carmel,NY,Putnam,0,55451,0,0,0,0,0,0,Putnam,"New York-Newark-Jersey City, NY-NJ-PA"
City of Portland,Portland,OR,Multnomah,0,0,0,0,0,0,2803087,0,Multnomah,"Portland-Vancouver-Hillsboro, OR-WA"
"City of San Luis Obispo, dba: SLO Transit",San Luis Obispo,CA,San Luis Obispo,91095,2514,0,0,0,0,0,0,San Luis Obispo,"San Luis Obispo-Paso Robles, CA"
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,Sonoma,52729,11438,0,0,0,0,0,0,Sonoma,"Santa Rosa-Petaluma, CA"
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,Los Angeles,0,0,0,145107,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
Tahoe Transportation District,Zephyr Cove,NV,Douglas,75020,3558,0,0,0,0,0,0,,
Martin County,Stuart,FL,Martin,89610,12810,0,0,0,0,0,0,Martin,"Port St. Lucie, FL"
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,Los Angeles,0,0,0,132111,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
Connecticut Department of Transportation -CTTRANSIT New Britain ,Berlin,CT,Hartford,208754,0,0,0,0,0,0,0,Hartford,"Hartford-East Hartford-Middletown, CT"
Milford Transit District,Milford,CT,New Haven,0,28436,0,0,56319,0,0,0,New Haven,"New Haven-Milford, CT"
City of Fort Lauderdale,Fort Lauderdale,FL,Broward,27597,10619,14616,0,0,0,0,0,Broward,"Miami-Fort Lauderdale-Pompano Beach, FL"
Valley Transit District,Derby,CT,Naugatuck Valley,0,36976,0,0,0,0,0,0,,
City of Rome ,Rome,GA,Floyd,28327,33703,0,0,0,0,0,0,Floyd,"Rome, GA"
Sonoma-Marin Area Rail Transit District,Petaluma,CA,Sonoma,286520,0,0,0,0,0,0,0,Sonoma,"Santa Rosa-Petaluma, CA"
"City of Terre Haute, dba: Terre Haute Transit Utility",Terre Haute,IN,Vigo,27344,44515,0,0,0,0,0,0,Vigo,"Terre Haute, IN"
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry",San Francisco,CA,San Francisco,2649830,0,0,0,0,0,0,0,San Francisco,"San Francisco-Oakland-Berkeley, CA"
"City of Coralville, dba: Coralville Transit System",Iowa City,IA,Johnson,48972,7188,0,0,0,0,0,0,Johnson,"Iowa City, IA"
"City of Turlock, dba: Turlock Transit",Turlock,CA,Stanislaus,0,26164,0,35074,0,0,0,0,Stanislaus,"Modesto, CA"
"City of Tulare, dba: Tulare Intermodal Express",Tulare,CA,Tulare,0,12241,0,69637,0,0,0,0,Tulare,"Visalia, CA"
"City of Loveland, Colorado, dba: Loveland Transit",Loveland,CO,Larimer,22808,21679,0,0,0,0,0,0,Larimer,"Fort Collins, CO"
"City of Fairfax, dba: CUE Bus",Fairfax,VA,Fairfax,94852,0,0,0,0,0,0,0,Fairfax,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
"City of Fairfax, dba: CUE Bus",Fairfax,VA,Fairfax,94852,0,0,0,0,0,0,0,Fairfax,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
City of Maple Grove,Osseo,MN,Hennepin,92992,20036,0,0,0,0,0,0,Hennepin,"Minneapolis-St. Paul-Bloomington, MN-WI"
"Detroit Transportation Corporation, dba: Detroit People Mover",Detroit,MI,Wayne,0,0,0,0,0,0,2996400,0,Wayne,"Detroit-Warren-Dearborn, MI"
"City of Long Beach, dba: Long Beach Bus",Long Beach,NY,Nassau,54012,3207,0,0,0,0,0,0,Nassau,"New York-Newark-Jersey City, NY-NJ-PA"
"City of Seattle, dba: Seattle Center Monorail",Seattle,WA,King,0,0,0,0,0,0,312557,0,King,"Seattle-Tacoma-Bellevue, WA"
"City of La Mirada, dba: La Mirada Transit ",La Mirada,CA,Los Angeles,0,6759,0,8835,0,0,0,0,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
Puerto Rico Maritime Transport Authority ,,PR,,1049993,0,0,0,0,0,0,0,,
Private Transportation Corporation,Brooklyn,NY,Kings,36096,0,0,0,0,0,0,0,Kings,"New York-Newark-Jersey City, NY-NJ-PA"
Plaquemines Parish Government,Belle Chasse,LA,Plaquemines,244500,8948,0,0,0,0,0,0,Plaquemines,"New Orleans-Metairie, LA"
"City of Peoria, dba: Peoria Transit",Peoria,AZ,Maricopa,0,17368,0,0,0,0,0,0,Maricopa,"Phoenix-Mesa-Chandler, AZ"
"Borough of Pottstown, dba: Pottstown Area Rapid Transit ",Pottstown,PA,Montgomery,68880,3144,0,0,0,0,0,0,Montgomery,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"SeaStreak, LLC",,NJ,,1423585,0,0,0,0,0,0,0,,
"M-1 Rail, dba: QLINE Detroit",Detroit,MI,Wayne,0,0,0,0,0,0,1768151,0,Wayne,"Detroit-Warren-Dearborn, MI"
"Hyannis Harbor Tours, Inc. ",Hyannis,MA,Barnstable,1412997,0,0,0,0,0,0,0,Barnstable,"Barnstable Town, MA"
Casco Bay Island Transit District,Portland,ME,Cumberland,211587,0,0,0,29318,0,0,0,Cumberland,"Portland-South Portland, ME"
"University of Montana, dba: UDASH",Missoula,MT,Missoula,10918,0,0,0,0,0,0,82841,Missoula,"Missoula, MT"
"Kansas City, City of Missouri, dba: Kansas City Streetcar",Kansas City,MO,Jackson,0,0,0,0,0,0,1080674,0,Jackson,"Kansas City, MO-KS"
"City of Cincinnati, dba: Cincinnati Bell Connector",Cincinnati,OH,Hamilton,0,0,0,0,0,0,702568,0,Hamilton,"Cincinnati, OH-KY-IN"
City of Milwaukee,Milwaukee,WI,Milwaukee,0,0,0,0,0,0,796799,0,Milwaukee,"Milwaukee-Waukesha, WI"
McKinney Avenue Transit Authority,Dallas,TX,Dallas,0,0,0,0,0,0,320120,0,Dallas,"Dallas-Fort Worth-Arlington, TX"
Bay State Cruise Company,,MA,,155873,0,0,0,0,0,0,0,,
"County of Pierce, dba: Pierce County Ferry",Tacoma,WA,Pierce,184209,0,0,0,0,0,0,0,Pierce,"Seattle-Tacoma-Bellevue, WA"
Rhode Island Department of Transportation,Providence,RI,Providence,121806,0,0,0,0,0,0,0,Providence,"Providence-Warwick, RI-MA"
Chicago Water Taxi (Wendella),Chicago,IL,Cook,2166,0,0,0,0,0,0,0,Cook,"Chicago-Naperville-Elgin, IL-IN-WI"
