MSA,Cooling Degree Days
"Portland-South Portland, ME",1248
"Portland-Vancouver-Hillsboro, OR-WA",1421
"Poughkeepsie-Newburgh-Middletown, NY",1568
"Prescott Valley-Prescott, AZ",1890
"Providence-Warwick, RI-MA",4779
"Provo-Orem, UT",1599
"Pueblo, CO",1080
"Punta Gorda, FL",4310
"Racine, WI",717
"Raleigh-Cary, NC",4897
"Rapid City, SD",1481
"Reading, PA",991
"Redding, CA",1152
"Reno, NV",1424
"Richmond, VA",20290
"Riverside-San Bernardino-Ontario, CA",6639
"Roanoke, VA",4682
"Rochester, MN",2539
"Rochester, NY",3671
"Rockford, IL",1657
"Rocky Mount, NC",3264
"Rome, GA",1687
"Sacramento-Roseville-Folsom, CA",5551
"Saginaw, MI",755
"Salem, OR",435
"Salinas, CA",876
"Salisbury, MD-DE",5748
"Salt Lake City, UT",1937
"San Angelo, TX",8072
"San Antonio-New Braunfels, TX",25079
"San Diego-Chula Vista-Carlsbad, CA",1752
"San Francisco-Oakland-Berkeley, CA",3424
"San Jose-Sunnyvale-Santa Clara, CA",2214
"San Luis Obispo-Paso Robles, CA",1078
"Santa Cruz-Watsonville, CA",456
"Santa Fe, NM",579
"Santa Maria-Santa Barbara, CA",708
"Santa Rosa-Petaluma, CA",588
"Savannah, GA",8282
"Scranton--Wilkes-Barre, PA",1711
"Seattle-Tacoma-Bellevue, WA",189
"Sebastian-Vero Beach, FL",3989
"Sebring-Avon Park, FL",4056
"Sheboygan, WI",547
"Sherman-Denison, TX",2216
"Sierra Vista-Douglas, AZ",1990
"Sioux City, IA-NE-SD",4094
"Sioux Falls, SD",3606
"South Bend-Mishawaka, IN-MI",1585
"Spartanburg, SC",1572
"Spokane-Spokane Valley, WA",621
"Springfield, IL",2115
"Springfield, MA",1838
"Springfield, MO",6292
"Springfield, OH",927
"St. Cloud, MN",1187
"St. George, UT",1544
"St. Joseph, MO-KS",4775
"St. Louis, MO-IL",19306
"State College, PA",625
"Staunton, VA",731
"Stockton, CA",1872
"Sumter, SC",4112
"Syracuse, NY",1613
"Tallahassee, FL",11896
"Tampa-St. Petersburg-Clearwater, FL",16394
"Terre Haute, IN",5282
"Texarkana, TX-AR",6058
"The Villages, FL",3880
"Toledo, OH",4039
"Topeka, KS",6726
"Trenton-Princeton, NJ",1114
"Tucson, AZ",3436
"Tulsa, OK",12412
"Tuscaloosa, AL",8347
"Twin Falls, ID",1161
"Tyler, TX",2289
"Utica-Rome, NY",791
"Valdosta, GA",10443
"Vallejo, CA",1492
"Victoria, TX",7586
"Vineland-Bridgeton, NJ",1194
