msa,Auto + Scale,Transit Propensity,Density,Sustainable Transit,Warm Weather,Remote + Active,Network Connectivity,Network Sprawl,Cluster
"Des Moines-West Des Moines, IA",0.44636775598801665,-0.27146778089058243,-0.213281687833927,-0.3158204158388718,-0.8502583869212242,-0.20333833726057143,1.0969430768151165,-0.09082312671804323,4
"Detroit-Warren-Dearborn, MI",2.871866353920094,-0.6875183136648775,2.2770022831777212,-0.633288657490833,-1.4068361519427994,-0.4494001630585066,1.2539751761684519,-0.40584116566437606,4
"Dothan, AL",-0.18068837040172953,0.028158418651422542,-0.3028154497963954,-0.12703084222276723,1.2463476668428333,-1.290599245768892,0.47379132682410807,0.6245791827409031,3
"Dover, DE",-0.7608813328905514,0.21737471696782995,-0.20622628759582992,0.4896097399251347,0.1387651459972566,0.13488962843021535,-0.15854217624376876,-0.7440207051835521,4
"Dubuque, IA",-0.5924068658471993,0.08690841864751894,-0.19159905832309704,0.027487514335600545,-0.9430850783290402,-0.023532688348814723,-0.023730577179258437,-0.32681949521304154,5
"Duluth, MN-WI",0.7055146520573612,-0.3911246347650255,-1.36974759690667,-0.20506539160903833,-1.8787074053007167,-0.14501628245835574,-0.7487799249286532,1.2258694845813098,4
"Durham-Chapel Hill, NC",-0.05236760462238037,-0.10923226419752612,0.45170715633480496,-0.19546439799430507,0.4070085890799937,1.1105952539419202,-1.467876334005732,0.500696890830858,3
"East Stroudsburg, PA",-0.78387601985604,0.09014321676488717,1.3349023623873357,0.019378280571967152,-0.9581482652544414,-0.26315487589957093,-0.9383225420718054,-0.12363763887355775,5
"Eau Claire, WI",-0.23084204506627157,-0.0694542534788893,-0.37907424112161375,-0.09608773307696285,-1.30080923035802,0.04755824455053273,0.44641943244815885,0.4869892034480995,3
"El Centro, CA",-0.11216968550824939,-0.06088112458485002,-1.3188611010549327,-0.18608210643126027,2.6439786307999764,0.7258274839385499,2.0807220867879086,1.3860468750299062,3
"El Paso, TX",0.3973251593552791,-0.2373344094102472,-0.9674483130459618,0.23060338336836628,0.8541001684768117,-0.4821152209245198,0.9854686886081585,-0.8884090138222938,4
"Elizabethtown-Fort Knox, KY",-0.36694890781125844,0.11587789919832873,-0.2624018348518843,0.026564185424172722,-0.059401231755056606,-0.842920784254227,-1.3769768047344326,0.5667231711265468,5
"Elkhart-Goshen, IN",-0.7997914959504471,0.09773159317341111,1.2505370966747855,0.05096602708135149,-0.8243971858411784,-0.8134940209574298,0.6430575554970952,-0.625915526069451,5
"Elmira, NY",-0.6798344686764258,0.1426176826534681,0.0839784208661057,0.06319114612225245,-0.9182089235581505,-0.4169840617368784,0.4892377058987681,-0.1953706477211506,5
"Enid, OK",-0.32063782691714565,0.04118436959145205,-0.55602275441906,-0.032994378168234716,0.40990656874263065,-0.6489886014631085,2.203762029200298,1.4238136027255743,3
"Erie, PA",-0.3976908759362319,0.07747310522152272,-0.6965083477889182,0.02324709577262447,-0.8081815834180024,0.08730036942314032,1.6019582892222772,-1.2571677624985245,1
"Eugene-Springfield, OR",-0.07852124841577,-0.06969543189335548,-1.0060030514113858,-0.08223954483036122,-0.599100015042394,1.6283036280622554,-1.3918852977365317,0.34291051213567525,1
"Evansville, IN-KY",-0.24439336060187467,0.017512440421335797,0.21003893141408048,-0.10389176871840107,-0.1105743988173106,-1.0161623433826408,0.01036230174995259,-0.2801551433104216,3
"Fargo, ND-MN",0.07115953286431685,-0.15048935717372253,-0.7861795658577949,-0.1581607091354555,-1.548277716680387,-0.09564529769459396,2.042821551462493,1.2359016947977353,3
"Farmington, NM",0.2282961573085065,-0.07888551969091578,-1.2042382018022848,-0.1597927370448705,-0.3718806353803193,-0.9501369356605178,-1.2441516528781174,1.7723829591805746,3
"Fayetteville, NC",-0.20495033732907042,-0.022890707287206533,0.7276570519457611,-0.1295057422630747,0.6024170924151329,-0.5857861953296911,-1.2653045393505988,-0.04660047164633002,3
