Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,Loudoun,0,18563,0,285494
Antelope Valley Transit Authority,Lancaster,CA,Los Angeles,242225,0,973898,0
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,Loudoun,50547,138037,370071,1028778
Golden Empire Transit District,Bakersfield,CA,Kern,0,15557,0,0
Antelope Valley Transit Authority,Lancaster,CA,Los Angeles,0,37677,0,0
"City of Greensboro, dba: Greensboro Transit Authority",Greensboro,NC,Guilford,1941,304894,126022,1358240
"City of Greensboro, dba: Greensboro Transit Authority",Greensboro,NC,Guilford,373112,0,1282397,0
"Rock Region Metropolitan Transit Authority, dba: Rock Region Metro",North Little Rock,AR,Pulaski,0,22421,0,130336
"Rock Region Metropolitan Transit Authority, dba: Rock Region Metro",North Little Rock,AR,Pulaski,315451,0,1195756,0
"Rock Region Metropolitan Transit Authority, dba: Rock Region Metro",North Little Rock,AR,Pulaski,0,1866,0,0
"Rock Region Metropolitan Transit Authority, dba: Rock Region Metro",North Little Rock,AR,Pulaski,0,0,0,0
"Rock Region Metropolitan Transit Authority, dba: Rock Region Metro",North Little Rock,AR,Pulaski,0,101497,0,625714
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,Orange,430831,0,1910622,0
Skagit Transit,Burlington,WA,Skagit,40675,0,95823,0
Skagit Transit,Burlington,WA,Skagit,0,37641,0,691822
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,Los Angeles,287,0,1407,0
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,Los Angeles,77168,0,303988,0
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,Los Angeles,0,48644,0,173076
Skagit Transit,Burlington,WA,Skagit,4310,0,27486,0
Skagit Transit,Burlington,WA,Skagit,127834,0,630610,0
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,Orange,0,58641,0,181863
"Ride Connection, Inc.",Portland,OR,Multnomah,0,35689,0,199020
"City of Lubbock, dba: CITIBUS",Lubbock,TX,Lubbock,351588,0,1082582,0
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,Escambia,0,134047,0,876798
"Ride Connection, Inc.",Portland,OR,Multnomah,0,0,0,0
"Ride Connection, Inc.",Portland,OR,Multnomah,0,34119,0,382737
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,Escambia,347907,0,1150896,0
"City of Lubbock, dba: CITIBUS",Lubbock,TX,Lubbock,1186,106624,5562,700640
Marin County Transit District,San Rafael,CA,Marin,408339,134818,1607669,796196
Marin County Transit District,San Rafael,CA,Marin,0,96932,0,823600
Enterprise - Denver,Highlands Ranch,CO,Douglas,0,31554,0,354305
"City of Lincoln, dba: StarTran",Lincoln,NE,Lancaster,178069,0,882530,0
"City of Torrance, dba: Torrance Transit System ",Torrance,CA,Los Angeles,0,24588,0,53886
"City of Torrance, dba: Torrance Transit System ",Torrance,CA,Los Angeles,0,0,0,0
"City of Lincoln, dba: StarTran",Lincoln,NE,Lancaster,0,19792,0,97584
"City of Lincoln, dba: StarTran",Lincoln,NE,Lancaster,0,0,0,0
Charleston Area Regional Transportation Authority,North Charleston,SC,Charleston,38329,0,75454,0
Charleston Area Regional Transportation Authority,North Charleston,SC,Charleston,469843,25308,2994174,246081
Norwalk Transit District,Norwalk,CT,Western Connecticut,206088,38733,794867,592866
Norwalk Transit District,Norwalk,CT,Western Connecticut,12620,36572,0,115264
Charleston Area Regional Transportation Authority,North Charleston,SC,Charleston,0,54618,0,585122
Norwalk Transit District,Norwalk,CT,Western Connecticut,0,23808,0,242432
Capital Area Transit System,Baton Rouge,LA,East Baton Rouge,714468,0,3165066,0
Capital Area Transit System,Baton Rouge,LA,East Baton Rouge,0,92053,11905,541484
Riverside County Transportation Commission,Riverside,CA,Riverside,0,74517,0,165176
"JAUNT, Inc.",Charlottesville,VA,Charlottesville,0,179321,0,1036603
Piedmont Authority for Regional Transportation,Greensboro,NC,Guilford,0,70556,0,1189092
County of Lackawanna Transit System,Scranton,PA,Lackawanna,0,22832,0,79536
Brockton Area Transit Authority,Brockton,MA,Plymouth,272194,0,1254532,0
Brockton Area Transit Authority,Brockton,MA,Plymouth,434,81008,1737,635309
County of Lackawanna Transit System,Scranton,PA,Lackawanna,0,65377,0,339884
Piedmont Authority for Regional Transportation,Greensboro,NC,Guilford,235173,24979,1502954,179702
County of Lackawanna Transit System,Scranton,PA,Lackawanna,116482,0,556340,0
County of Lackawanna Transit System,Scranton,PA,Lackawanna,0,10808,0,0
"JAUNT, Inc.",Charlottesville,VA,Charlottesville,0,31802,0,225865
"Ada County Highway District, dba: ACHD Commuteride",Boise,ID,Ada,0,77996,0,858336
Southeastern Regional Transit Authority,New Bedford,MA,Bristol,333078,0,1487223,0
Southeastern Regional Transit Authority,New Bedford,MA,Bristol,0,92442,0,685418
Port Authority Transit Corporation,Lindenwold,NJ,Camden,0,0,0,0
"City of Knoxville, dba: Knoxville Area Transit",Knoxville,TN,Knox,647804,78137,2629654,401097
"Port Imperial Ferry Corporation, dba: NY Waterway",Weehawken,NJ,Hudson,57567,0,163069,0
"Port Imperial Ferry Corporation, dba: NY Waterway",Weehawken,NJ,Hudson,1142015,0,131062,0
"City of Knoxville, dba: Knoxville Area Transit",Knoxville,TN,Knox,0,88839,0,192656
Merrimack Valley Regional Transit Authority,Haverhill,MA,Essex,23690,0,121110,0
Chatham Area Transit Authority,Savannah,GA,Chatham,0,0,2067746,0
Merrimack Valley Regional Transit Authority,Haverhill,MA,Essex,332134,0,1767376,0
Chatham Area Transit Authority,Savannah,GA,Chatham,0,162431,0,1330578
Merrimack Valley Regional Transit Authority,Haverhill,MA,Essex,0,96795,0,678412
Chatham Area Transit Authority,Savannah,GA,Chatham,33395,0,12954,0
Anaheim Transportation Network,Anaheim,CA,Orange,0,0,0,0
"City of Appleton, dba: Valley Transit",Appleton,WI,Outagamie,0,89634,0,0
Anaheim Transportation Network,Anaheim,CA,Orange,0,0,0,0
"City of Appleton, dba: Valley Transit",Appleton,WI,Outagamie,158939,8599,809472,48032
"City of Appleton, dba: Valley Transit",Appleton,WI,Outagamie,3117,4361,0,0
"Rockland Coaches, Inc.",Paramus,NJ,Bergen,256059,0,3496808,0
County of Maui,Wailuku,HI,Maui,58555,0,0,0
County of Maui,Wailuku,HI,Maui,19498,141592,523252,967212
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,Oklahoma,0,0,0,0
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,Oklahoma,589013,0,1942384,0
"Central County Transportation Authority, dba: Metro Transit",Kalamazoo,MI,Kalamazoo,30600,86427,113175,932978
"Central County Transportation Authority, dba: Metro Transit",Kalamazoo,MI,Kalamazoo,301121,0,1333077,0
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,Oklahoma,2273,0,1556,0
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,Oklahoma,0,818,0,19466
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",Oklahoma City,OK,Oklahoma,75015,0,750007,0
County of Maui,Wailuku,HI,Maui,257679,17618,1178534,100263
"Lakeland Area Mass Transit District, dba: Citrus Connection",Lakeland,FL,Polk,0,39463,0,0
"Lakeland Area Mass Transit District, dba: Citrus Connection",Lakeland,FL,Polk,204659,25030,924615,70878
"Lakeland Area Mass Transit District, dba: Citrus Connection",Lakeland,FL,Polk,41,99516,0,994421
"Lakeland Area Mass Transit District, dba: Citrus Connection",Lakeland,FL,Polk,0,7704,0,0
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,Hamilton,416359,28736,1715361,109298
Valley Regional Transit,Meridian,ID,Ada,3338,10195,0,0
Valley Regional Transit,Meridian,ID,Ada,1598,7377,65846,186212
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,Hamilton,0,0,0,0
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,Hamilton,0,87828,0,455171
Gold Coast Transit District,Oxnard,CA,Ventura,0,0,0,0
"City of Winston Salem, dba: Winston-Salem Transit Authority",Winston Salem,NC,Forsyth,480075,3603,2219160,12002
"City of Winston Salem, dba: Winston-Salem Transit Authority",Winston Salem,NC,Forsyth,0,188054,0,1065297
Gold Coast Transit District,Oxnard,CA,Ventura,0,17768,0,187321
Northern Indiana Commuter Transportation District,Chesterton,IN,Porter,0,0,0,0
"Gwinnett County Board of Commissioners, dba: Gwinnett County Transit",Lawrenceville,GA,Gwinnett,0,41249,0,238297
"County of Sonoma, dba: Sonoma County Transit",Santa Rosa,CA,Sonoma,0,27147,0,208745
Lowell Regional Transit Authority,Lowell,MA,Middlesex,260876,11852,1123307,59526
Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,Litchfield,293718,0,1412233,0
Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,Litchfield,0,102393,0,711358
"Gwinnett County Board of Commissioners, dba: Gwinnett County Transit",Lawrenceville,GA,Gwinnett,296382,0,1562225,0
"Gwinnett County Board of Commissioners, dba: Gwinnett County Transit",Lawrenceville,GA,Gwinnett,212381,0,857767,0
"County of Sonoma, dba: Sonoma County Transit",Santa Rosa,CA,Sonoma,0,74134,0,688612
Lowell Regional Transit Authority,Lowell,MA,Middlesex,0,22729,0,166674
Lowell Regional Transit Authority,Lowell,MA,Middlesex,0,39193,0,332621
Livermore / Amador Valley Transit Authority,Livermore,CA,Alameda,314256,0,1799179,0
"City of Modesto, dba: Modesto Area Express",Modesto,CA,Stanislaus,0,0,0,0
"City of Modesto, dba: Modesto Area Express",Modesto,CA,Stanislaus,463980,0,2072726,0
Luzerne County Transportation Authority,Kingston,PA,Luzerne,0,114074,0,810037
Luzerne County Transportation Authority,Kingston,PA,Luzerne,244827,0,1037285,0
"City of Modesto, dba: Modesto Area Express",Modesto,CA,Stanislaus,44152,10716,375872,49965
Livermore / Amador Valley Transit Authority,Livermore,CA,Alameda,0,23557,0,0
"Ames Transit Agency, dba: CyRide",Ames,IA,Story,309731,16010,1318565,71276
"Hill Country Transit District, dba: The Hop",San Saba,TX,San Saba,107227,4,507635,73836
"Hill Country Transit District, dba: The Hop",San Saba,TX,San Saba,48066,101834,411408,684581
"Springfield Mass Transit District, dba: Sangamon Mass Transit District",Springfield,IL,Sangamon,0,13219,1040198,111715
"Ms Coast Transportation Authority, dba: Coast Transit Authority",Gulfport,MS,Harrison,0,25335,0,117055
County of Howard,Ellicott City,MD,Howard,267490,33062,1160787,410016
County of Howard,Ellicott City,MD,Howard,0,106176,0,828945
County of Howard,Ellicott City,MD,Howard,0,0,0,0
"Ms Coast Transportation Authority, dba: Coast Transit Authority",Gulfport,MS,Harrison,103060,0,747278,0
"Springfield Mass Transit District, dba: Sangamon Mass Transit District",Springfield,IL,Sangamon,0,77686,0,466197
"Ms Coast Transportation Authority, dba: Coast Transit Authority",Gulfport,MS,Harrison,27937,11860,191249,0
Kentuckiana Regional Planning and Development Agency,Louisville,KY,Jefferson,0,64152,0,645357
Stark Area Regional Transit Authority,Canton,OH,Stark,143584,0,2136294,0
Stark Area Regional Transit Authority,Canton,OH,Stark,68372,0,0,0
"Washington County Transportation Authority, dba: Freedom Transit",Washington,PA,Washington,47481,10991,271617,61070
"Washington County Transportation Authority, dba: Freedom Transit",Washington,PA,Washington,0,212488,0,1350416
"Somerset County, dba: Somerset County Transportation",Somerville,NJ,Somerset,2407,81110,0,0
"Brazos Transit District, dba: The District",Bryan,TX,Brazos,0,151318,0,916895
"South Florida Regional Transportation Authority, dba: TRI-Rail",Pompano Beach,FL,Broward,2838234,0,1018267,0
"City of Arlington, dba: Handitran",Arlington,TX,Tarrant,0,0,0,0
"South Florida Regional Transportation Authority, dba: TRI-Rail",Pompano Beach,FL,Broward,168417,0,840213,0
"Brazos Transit District, dba: The District",Bryan,TX,Brazos,94900,54775,0,367878
"City of Arlington, dba: Handitran",Arlington,TX,Tarrant,0,0,0,0
"City of Arlington, dba: Handitran",Arlington,TX,Tarrant,16953,21759,145314,184758
"Somerset County, dba: Somerset County Transportation",Somerville,NJ,Somerset,20051,20974,0,0
Duluth Transit Authority,Duluth,MN,St. Louis,0,23419,0,188468
DDOT - Progressive Transportation Services Administration,Washington,DC,District of Columbia,345567,0,1322604,0
"Bergen County, dba: Bergen County Community Transportation",Hackensack,NJ,Bergen,0,49749,0,302458
Duluth Transit Authority,Duluth,MN,St. Louis,354705,0,1607500,0
DDOT - Progressive Transportation Services Administration,Washington,DC,District of Columbia,0,0,0,0
"Bergen County, dba: Bergen County Community Transportation",Hackensack,NJ,Bergen,0,2899,0,20286
"Rock Island County Metropolitan Mass Transit District, dba: MetroLink",Moline,IL,Rock Island,0,25117,0,212770
"University of Georgia, dba: University of Georgia Transit System",Athens,GA,Clarke,0,4530,0,23523
"University of Georgia, dba: University of Georgia Transit System",Athens,GA,Clarke,253780,0,639697,0
"Rock Island County Metropolitan Mass Transit District, dba: MetroLink",Moline,IL,Rock Island,0,14546,0,156832
"Rock Island County Metropolitan Mass Transit District, dba: MetroLink",Moline,IL,Rock Island,47423,0,310014,0
"Rock Island County Metropolitan Mass Transit District, dba: MetroLink",Moline,IL,Rock Island,10163,0,14848,0
"Greater Lafayette Public Transportation Corporation, dba: CityBus",Lafayette,IN,Tippecanoe,89305,0,362444,0
"Greater Lafayette Public Transportation Corporation, dba: CityBus",Lafayette,IN,Tippecanoe,0,0,0,0
SouthWest Transit,Eden Prairie,MN,Hennepin,125863,0,644970,0
SouthWest Transit,Eden Prairie,MN,Hennepin,11189,31263,119015,275870
Tompkins Consolidated Area Transit,Ithaca,NY,Tompkins,305611,152,1273189,7845
"City of Shreveport, dba: Shreveport Area Transit System",Shreveport,LA,Caddo,0,87820,0,0
Greater Bridgeport Transit Authority,Bridgeport,CT,Greater Bridgeport,430691,0,1854227,0
Greater Bridgeport Transit Authority,Bridgeport,CT,Greater Bridgeport,45560,1275,493385,18652
"City of Shreveport, dba: Shreveport Area Transit System",Shreveport,LA,Caddo,0,58640,0,522869
Tompkins Consolidated Area Transit,Ithaca,NY,Tompkins,0,43718,0,327815
"Lakeland Bus Lines, Inc.",Dover,NJ,Morris,223164,0,1105508,0
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,Yuma,0,10965,0,0
"City of Wichita, dba: Wichita Transit",Wichita,KS,Sedgwick,281514,0,1520987,0
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,Yuma,0,22883,0,66173
"City of Wichita, dba: Wichita Transit",Wichita,KS,Sedgwick,0,87397,0,664122
Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,Yuma,1441,47416,654435,176088
Western Contra Costa Transit Authority,Pinole,CA,Contra Costa,107651,0,918844,0
Western Contra Costa Transit Authority,Pinole,CA,Contra Costa,0,31085,0,11679
Rio Metro Regional Transit District,Albuquerque,NM,Bernalillo,43014,0,342545,0
"Senior Citizens United Community Services of Camden County, Inc.",Audubon,NJ,Camden,4238,60494,114486,351991
Rio Metro Regional Transit District,Albuquerque,NM,Bernalillo,0,23893,0,1138804
Western Contra Costa Transit Authority,Pinole,CA,Contra Costa,286928,895,1201035,368274
Rio Metro Regional Transit District,Albuquerque,NM,Bernalillo,0,0,350453,0
"City of Yakima, dba: Yakima Transit",Yakima,WA,Yakima,0,23564,0,221477
Rio Metro Regional Transit District,Albuquerque,NM,Bernalillo,0,58974,0,52816
"City of Yakima, dba: Yakima Transit",Yakima,WA,Yakima,153644,0,730634,0
"City of Yakima, dba: Yakima Transit",Yakima,WA,Yakima,25333,0,0,0
"City of Yakima, dba: Yakima Transit",Yakima,WA,Yakima,0,4499,0,54050
Greater New Haven Transit District,Hamden,CT,New Haven,0,253845,0,1813123
DeCamp Bus Lines,Montclair,NJ,Essex,119707,0,534514,0
"Trans-Bridge Lines, Inc. ",Bethlehem,PA,Northampton,234713,0,1116126,0
Western Reserve Transit Authority,Youngstown,OH,Mahoning,279223,13864,1382677,91223
Western Reserve Transit Authority,Youngstown,OH,Mahoning,8235,42376,84856,395246
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,Broome,206,21975,0,247322
San Bernardino County Transportation Authority,San Bernardino,CA,San Bernardino,0,52294,0,519173
"Alamo Area Council of Governments, dba: Alamo Regional Transit - ART",San Antonio,TX,Bexar,481,174167,0,980323
River Bend Transit,Davenport,IA,Scott,0,82480,0,1068121
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,Kenosha,178960,0,933711,0
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,Broome,245968,0,1218272,0
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,Kenosha,0,23635,0,0
River Bend Transit,Davenport,IA,Scott,0,50590,0,140308
"Broome County, dba: Department of Transportation/BC Transit",Binghamton,NY,Broome,56,31615,0,386426
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,Kenosha,0,0,0,0
River Bend Transit,Davenport,IA,Scott,0,8712,0,0
"Wake County, dba: GoWake Access",Raleigh,NC,Wake,0,216671,0,2425593
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,Olmsted,0,9396,6148,15974
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,Olmsted,0,3975,826097,794438
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,Stearns,24432,0,118212,0
"Greater Roanoke Transit Company, dba: Valley Metro",Roanoke,VA,Roanoke,374747,14679,1617133,104046
Concho Valley Transit District,San Angelo,TX,Tom Green,36,96736,0,355073
Alternativa de Transporte Integrado -ATI,San Juan,PR,San Juan,0,0,0,0
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,Stearns,28585,0,176174,0
"St. Cloud Metropolitan Transit Commission, dba: Metro Bus",Saint Cloud,MN,Stearns,14522,0,117287,0
Alternativa de Transporte Integrado -ATI,San Juan,PR,San Juan,170185,0,757718,0
Concho Valley Transit District,San Angelo,TX,Tom Green,6353,49078,72927,1550648
"Greater Roanoke Transit Company, dba: Valley Metro",Roanoke,VA,Roanoke,0,35933,0,0
Alternativa de Transporte Integrado -ATI,San Juan,PR,San Juan,526,0,0,0
"City of Rochester, Minnesota, dba: Rochester Public Transit",Rochester,MN,Olmsted,0,0,0,0
"West Virginia University - Morgantown Personal Rapid Transit, dba: Morgantown Personal Rapid Transit",Morgantown,WV,Monongalia,0,0,0,0
"Western Piedmont Regional Transit Authority, dba: Greenway Public Transportation",Conover,NC,Catawba,8829,71293,84344,530784
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",Merced,CA,Merced,230818,99667,1189331,991752
"City of Everett, dba: EVERETT TRANSIT SYSTEM",Everett,WA,Snohomish,183204,0,880607,0
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,Fort Bend,66,4345,0,0
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,Fort Bend,1797,118104,4032,1826451
"City of Everett, dba: EVERETT TRANSIT SYSTEM",Everett,WA,Snohomish,1815,55784,0,96651
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",Richmond,TX,Fort Bend,80590,0,407502,0
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",Merced,CA,Merced,0,76450,0,524220
"Western Piedmont Regional Transit Authority, dba: Greenway Public Transportation",Conover,NC,Catawba,49690,19529,278667,283596
"City of Fort Collins, dba: Transfort",Fort Collins,CO,Larimer,0,0,0,0
"Bay Metropolitan Transit Authority, dba: Bay Metro",Bay City,MI,Bay,60829,0,283138,0
"County of Rockland, dba: Public Transportation - Transport of Rockland",New City,NY,Rockland,436962,0,2277946,0
"Cambria County Transit Authority, dba: CamTran",Johnstown,PA,Cambria,11978,28814,464190,77174
"City of Fort Collins, dba: Transfort",Fort Collins,CO,Larimer,0,0,16981,0
Saginaw Transit Authority Regional Service,Saginaw,MI,Saginaw,173357,0,480622,0
Saginaw Transit Authority Regional Service,Saginaw,MI,Saginaw,18000,38459,96907,171687
"City of Fort Collins, dba: Transfort",Fort Collins,CO,Larimer,0,2167,0,5969
"Cambria County Transit Authority, dba: CamTran",Johnstown,PA,Cambria,0,0,0,0
"City of Fort Collins, dba: Transfort",Fort Collins,CO,Larimer,3286,0,20902,0
"County of Rockland, dba: Public Transportation - Transport of Rockland",New City,NY,Rockland,0,41617,0,337996
"Cambria County Transit Authority, dba: CamTran",Johnstown,PA,Cambria,0,34326,0,298238
"Bay Metropolitan Transit Authority, dba: Bay Metro",Bay City,MI,Bay,39542,0,279567,0
"City of Fort Collins, dba: Transfort",Fort Collins,CO,Larimer,0,0,0,0
"First Tennessee Human Resource Agency, dba: N.E.T. Trans",Johnson City,TN,Washington,0,156174,0,1218605
"South Bend Public Transportation Corporation, dba: Transpo",South Bend,IN,St. Joseph,125771,0,634433,0
"South Bend Public Transportation Corporation, dba: Transpo",South Bend,IN,St. Joseph,679,39791,21573,267725
"Yolo County Transportation District, dba: Yolobus",Woodland,CA,Yolo,35587,1712,308336,0
"County of Douglas, dba: Connect Douglas",Douglasville,GA,Douglas,0,60935,0,364335
"County of Douglas, dba: Connect Douglas",Douglasville,GA,Douglas,0,6006,0,46763
"Yolo County Transportation District, dba: Yolobus",Woodland,CA,Yolo,33985,0,162462,0
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,Montgomery,269406,2626,1141889,55946
"County of Douglas, dba: Connect Douglas",Douglasville,GA,Douglas,0,7236,0,31880
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,Eau Claire,4861,16260,0,0
"County of Douglas, dba: Connect Douglas",Douglasville,GA,Douglas,0,6929,0,106104
"Collier County, dba: Collier Area Transit",Naples,FL,Collier,59720,56547,615360,251503
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",Sarasota,FL,Sarasota,43119,22774,491144,121764
Rockford Mass Transit District,Rockford,IL,Winnebago,40211,89926,304249,599772
Rockford Mass Transit District,Rockford,IL,Winnebago,302799,0,1081629,0
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",Sarasota,FL,Sarasota,320051,0,1526557,0
"Collier County, dba: Collier Area Transit",Naples,FL,Collier,272248,0,1093351,0
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,Eau Claire,119390,0,566513,0
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,Montgomery,12782,9787,42626,39824
Santee Wateree Regional Transportation Authority,Sumter,SC,Sumter,6870,0,42182,0
"City of Gardena, dba: GTrans",Gardena,CA,Los Angeles,0,8082,0,55050
Lower Rio Grande Valley Development Council,Weslaco,TX,Hidalgo,0,11658,0,0
Lower Rio Grande Valley Development Council,Weslaco,TX,Hidalgo,120658,102782,0,0
"City of Gardena, dba: GTrans",Gardena,CA,Los Angeles,153,426252,0,1722785
"Transit Authority of Central Kentucky, dba: TACK Transportation",Elizabethtown,KY,Hardin,5240,0,35311,0
Santee Wateree Regional Transportation Authority,Sumter,SC,Sumter,0,25488,0,323482
"Transit Authority of Central Kentucky, dba: TACK Transportation",Elizabethtown,KY,Hardin,0,162690,0,970714
"Fort Wayne Public Transportation Corporation, dba: Citilink",Fort Wayne,IN,Allen,256343,5533,1415326,0
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,San Luis Obispo,235551,18033,1341608,130665
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,San Luis Obispo,0,59881,0,557566
"Fort Wayne Public Transportation Corporation, dba: Citilink",Fort Wayne,IN,Allen,41864,15269,356708,89020
"Transit Authority of Central Kentucky, dba: TACK Transportation",Elizabethtown,KY,Hardin,0,13947,0,182043
Santee Wateree Regional Transportation Authority,Sumter,SC,Sumter,11555,39663,35846,513990
"City of Elk Grove, dba: e-tran",Elk Grove,CA,Sacramento,0,508,0,0
"City of Decatur, Il, dba: Decatur Public Transit System",Decatur,IL,Macon,300,10437,4716,149971
"City of Decatur, Il, dba: Decatur Public Transit System",Decatur,IL,Macon,300,6959,0,0
New Mexico Department of Transportation,Santa Fe,NM,Santa Fe,0,68375,0,372373
Chelan Douglas PTBA ,Wenatchee,WA,Chelan,196634,77770,1121699,502034
Rogue Valley Transportation District,Medford,OR,Jackson,60700,0,319944,0
"City of Elk Grove, dba: e-tran",Elk Grove,CA,Sacramento,0,0,0,0
Rogue Valley Transportation District,Medford,OR,Jackson,0,35102,0,413049
"City of Decatur, Il, dba: Decatur Public Transit System",Decatur,IL,Macon,0,0,1473794,0
"City of Decatur, Il, dba: Decatur Public Transit System",Decatur,IL,Macon,0,0,0,0
"City of Elk Grove, dba: e-tran",Elk Grove,CA,Sacramento,0,0,0,0
Chelan Douglas PTBA ,Wenatchee,WA,Chelan,0,17518,0,0
Chelan Douglas PTBA ,Wenatchee,WA,Chelan,0,526,0,0
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo",Fort Collins,CO,Larimer,0,21415,0,783925
"Laredo Transit Management, Inc., dba: El Metro",Laredo,TX,Webb,262426,27921,845912,0
"Dutchess County, dba: Dutchess County Public Transit",Poughkeepsie,NY,Dutchess,195045,0,1357170,0
Napa Valley Transportation Authority,Napa,CA,Napa,110099,13456,857999,75135
"Dutchess County, dba: Dutchess County Public Transit",Poughkeepsie,NY,Dutchess,29445,0,0,0
Napa Valley Transportation Authority,Napa,CA,Napa,7247,68775,701,376900
Napa Valley Transportation Authority,Napa,CA,Napa,138396,0,681898,0
"Laredo Transit Management, Inc., dba: El Metro",Laredo,TX,Webb,17454,26202,81163,153909
Regional Transportation Authority,Madison,TN,Davidson,195054,0,71832,0
University of Michigan Parking and Transportation Services,Ann Arbor,MI,Washtenaw,272994,0,1291230,0
Southwestern Pennsylvania Commission,Pittsburgh,PA,Allegheny,0,29511,0,161340
"Audubon Area Community Services, Inc.",Owensboro,KY,Daviess,152,180540,218,1540870
"City of Culver City, dba: Culver City Municipal Bus Lines (CityBus)",Culver City,CA,Los Angeles,0,0,0,0
"Jefferson Parish, dba: Jefferson Transit",Gretna,LA,Jefferson,0,0,1729356,0
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,New Hanover,68398,0,226948,0
"City of Culver City, dba: Culver City Municipal Bus Lines (CityBus)",Culver City,CA,Los Angeles,0,0,0,0
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,New Hanover,0,1203,0,22510
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,New Hanover,0,58290,0,467212
Regional Transportation Authority,Madison,TN,Davidson,0,19159,0,270436
Regional Transportation Authority,Madison,TN,Davidson,124351,0,0,0
"Jefferson Parish, dba: Jefferson Transit",Gretna,LA,Jefferson,0,169,0,1148
Ventura County Transportation Commission,Camarillo,CA,Ventura,0,15544,0,84548
Ventura County Transportation Commission,Camarillo,CA,Ventura,416353,0,1704510,0
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM",Mobile,AL,Mobile,0,112261,0,669950
Portage Area Regional Transportation Authority,Kent,OH,Portage,13532,46038,157959,195662
Portage Area Regional Transportation Authority,Kent,OH,Portage,105414,13433,470068,364908
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM",Mobile,AL,Mobile,174986,43204,707250,219108
Ventura County Transportation Commission,Camarillo,CA,Ventura,0,22789,0,190317
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Staten Island,NY,Richmond,0,0,0,0
Butte County Association of Governments,Chico,CA,Butte,202812,0,931527,0
Butte County Association of Governments,Chico,CA,Butte,0,70590,0,385465
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",Bend,OR,Deschutes,0,20624,0,148349
