Agency,City,State,County,Diesel (gal),Gasoline (gal),Diesel (miles),Gasoline (miles)
"Metro Transit, dba: Metro Transit",Minneapolis,MN,Hennepin,213780,0,63438,0
"California Vanpool Authority, dba: CalVans",Hanford,CA,Kings,0,887455,0,10887775
"Alameda-Contra Costa Transit District, dba: AC Transit",Oakland,CA,Alameda,4200622,0,18370673,58870
"Alameda-Contra Costa Transit District, dba: AC Transit",Oakland,CA,Alameda,0,13116,0,0
"Alameda-Contra Costa Transit District, dba: AC Transit",Oakland,CA,Alameda,4406,781458,30237,5652762
"Alameda-Contra Costa Transit District, dba: AC Transit",Oakland,CA,Alameda,88744,0,515209,0
"Alameda-Contra Costa Transit District, dba: AC Transit",Oakland,CA,Alameda,540852,0,2819280,0
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,Prince William,913795,0,5612135,0
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,Prince William,0,460395,0,2769282
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,Prince William,377237,0,1043139,0
Potomac and Rappahannock Transportation Commission,Woodbridge,VA,Prince William,0,751,0,0
Metropolitan Council,Minneapolis,MN,Hennepin,0,63202,1810362,868275
Metropolitan Council,Minneapolis,MN,Hennepin,0,30948,0,489304
Metropolitan Council,Minneapolis,MN,Hennepin,1999,3622001,21577,22733322
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,Clark,0,0,0,0
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,Clark,0,0,1691007,0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,Snohomish,490173,0,2347849,0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,Snohomish,279545,0,3834110,0
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,Snohomish,0,119301,0,940883
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,Snohomish,0,105525,0,2150605
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit",Everett,WA,Snohomish,1531398,0,6778589,0
Central Florida Regional Transportation Authority,Orlando,FL,Orange,0,6431,10353204,21736
Central Florida Regional Transportation Authority,Orlando,FL,Orange,0,87448,0,2120273
Central Florida Regional Transportation Authority,Orlando,FL,Orange,0,1071018,0,8038091
Central Florida Regional Transportation Authority,Orlando,FL,Orange,0,92208,0,747908
Central Florida Regional Transportation Authority,Orlando,FL,Orange,0,0,360954,0
San Diego Association of Governments,San Diego,CA,San Diego,0,743316,0,5111557
Santa Clara Valley Transportation Authority,San Jose,CA,Santa Clara,0,0,0,0
Santa Clara Valley Transportation Authority,San Jose,CA,Santa Clara,3333792,0,16383637,0
Santa Clara Valley Transportation Authority,San Jose,CA,Santa Clara,0,0,0,0
Santa Clara Valley Transportation Authority,San Jose,CA,Santa Clara,0,379552,0,4845479
Santa Clara Valley Transportation Authority,San Jose,CA,Santa Clara,0,0,0,0
San Francisco Bay Area Rapid Transit District,Oakland,CA,Alameda,0,0,0,0
