MSA,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Iowa City, IA",393344,40002,0,0,0,0,0,0,1603288,231985,0,0,0,0,0
"Ithaca, NY",305611,43870,0,0,0,0,0,0,1273189,335660,0,0,0,0,0
"Jackson, MI",86913,13889,0,0,0,0,0,0,379710,171458,0,0,0,0,0
"Jackson, MS",283990,49684,0,0,0,0,0,0,841256,378274,0,0,0,0,0
"Jackson, TN",100934,47422,0,0,0,0,0,0,436534,366904,0,0,0,0,0
"Jacksonville, FL",1287800,479320,0,1310671,0,0,750850,0,4016044,3432017,0,4229478,0,87615,0
"Johnson City, TN",0,156174,38962,0,0,0,0,0,0,1218605,0,0,501927,0,0
"Johnstown, PA",11978,63140,0,110774,0,0,69888,0,464190,375412,0,637971,0,1832,0
"Kahului-Wailuku-Lahaina, HI",335732,159210,0,0,0,0,0,0,1701786,1067475,0,0,0,0,0
"Kalamazoo-Portage, MI",331721,86427,0,0,0,0,0,0,1446252,932978,0,0,0,0,0
"Kankakee, IL",78347,232917,0,0,0,0,0,0,392307,1128684,0,0,0,0,0
"Kansas City, MO-KS",923791,188863,0,1456812,0,0,1080674,0,5177564,1583229,0,5693899,32869,107443,0
"Kennewick-Richland, WA",527914,304513,0,0,0,0,0,3038,2982159,2942102,0,0,0,0,129
"Kingston, NY",260799,47218,0,0,0,0,0,0,2043113,0,0,0,0,0,0
"Knoxville, TN",647804,336424,0,0,0,0,0,0,2629654,1711524,0,0,0,0,0
"Kokomo, IN",29673,62156,0,0,0,0,0,0,212714,364212,0,0,0,0,0
"La Crosse-Onalaska, WI-MN",144028,3838,0,0,0,0,0,0,861564,0,0,0,0,0,0
"Lafayette, LA",77171,18697,0,121526,0,0,0,0,297048,158683,0,416603,0,0,0
"Lafayette-West Lafayette, IN",89305,0,0,335196,0,0,0,0,362444,0,0,1318246,0,0,0
