MSA,Diesel (gal),Gasoline (gal),"Liquefied
Petroleum Gas (gal)",Compressed Natural Gas (gal),Bio-Diesel (gal),Other Fuel (gal),Electric Propulsion (gal),Electric Battery (gal)
"Salem, OR",0,143623,0,340009,205694,0,0,0
"Burlington-South Burlington, VT",394526,163345,0,0,0,0,0,20169
"Durham-Chapel Hill, NC",602937,97541,0,0,0,0,0,0
"St. Louis, MO-IL",765313,154885,0,0,0,0,0,0
"Minneapolis-St. Paul-Bloomington, MN-WI",0,27458,0,0,533371,0,0,0
"Stockton, CA",0,140183,0,0,0,0,0,0
"Dallas-Fort Worth-Arlington, TX",336338,146281,0,22296,0,0,0,0
"Champaign-Urbana, IL",2293,61361,0,0,629740,0,0,0
"Corpus Christi, TX",147941,28664,0,813599,0,0,0,0
"Cincinnati, OH-KY-IN",735859,56000,0,0,0,0,0,0
"Colorado Springs, CO",472810,75050,0,0,0,0,0,0
"Omaha-Council Bluffs, NE-IA",588017,1753,0,195325,0,0,0,0
"Sacramento-Roseville-Folsom, CA",0,338716,0,116620,0,0,0,0
"Harrisburg-Carlisle, PA",444761,215852,0,0,8846,0,0,0
"Stockton, CA",319923,132818,0,0,89299,0,0,652030
"Charlotte-Concord-Gastonia, NC-SC",0,57453,0,0,0,0,0,0
"Providence-Warwick, RI-MA",149348,214882,0,0,0,0,0,0
"Salinas, CA",607681,365468,0,0,0,0,0,11808
"Los Angeles-Long Beach-Anaheim, CA",25905,260534,0,337221,0,0,0,0
"Palm Bay-Melbourne-Titusville, FL",487522,42145,0,0,0,0,0,0
"State College, PA",341,73839,0,539333,0,0,0,0
"Lexington-Fayette, KY",364737,255074,0,187543,0,0,0,187920
"North Port-Sarasota-Bradenton, FL",556623,182145,0,0,0,0,0,0
"Kansas City, MO-KS",231390,54533,0,69067,0,0,0,0
"Erie, PA",305979,187707,0,133824,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",901878,38138,24977,0,0,0,0,0
"Santa Cruz-Watsonville, CA",133095,62960,0,545322,0,0,0,0
"Birmingham-Hoover, AL",4370,0,0,903948,0,0,0,0
"Cape Coral-Fort Myers, FL",560039,52908,233028,0,0,0,0,0
