msa,Node Count,Edge Count,Degree Average,Edge Length Total (km),Edge Length Average (km),Streets per Node Average,Intersection Count,Street Length Total (km),Street Segment Count,Street Length Average (km),Circuity Average,Self-loop Proportion,Node Density (/sq km),Intersection Density (/sq km),Edge Density (km/sq km),Street Density (km/sq km),Building Area (sq km),Area (sq km),Car Mode Share,Transit Mode Share,Bicycle Mode Share,Walking Mode Share,Working from Home Share,Median Household Income,Households,Employment Rate (%),Unemployment Rate (%),Population,Housing Units,No Vehicles Available,1 Vehicle Available,2 Vehicles Available,3 or More Vehicles Available,GDP ($),Transit Diesel (gal),Transit Gasoline Vehicle Fuel Use (gal),Transit Liquefied Petroleum Gas (GGE),Transit Compressed Natural Gas (GGE),Transit Bio-Diesel (gal),Transit Other Fuel (GGE),Transit Electric Propulsion Vehicle Fuel Use (kWh),Transit Electric Battery Vehicle Fuel Use (kWh),Transit Diesel Vehicle Miles,Transit Gasoline Vehicle Miles,Transit Compressed Natural Gas Vehicle Miles,Transit Other Fuel Vehicle Miles,Transit Electric Propulsion Vehicle Miles,Transit Electric Battery Vehicle Miles,Cooling Degree Days (°Df),Heating Degree Days (°Df),Palmer Z Index,Average Temperature (°F),Precipitation (in),Population Density (/sq km),Built-Up Area Proportion,Cluster
"Bakersfield, CA",41727.0,108328.0,5.192225657248304,35767.63507700043,0.3301790402942954,2.744002684113404,32222.0,18978.06701999985,57222.0,331.6568281430193,1.0763729852558854,0.0028485547516689,1.9747034222298163,1.5248854140266288,1.6926803123066594,0.8981248086778468,54.93725626128381,21130.76805877121,92.34932971691316,0.6666058700147972,0.272114046674178,1.082572639741595,4.519152416225645,54851,273556,0.524,0.091,892458,299179,17920,83360,103593,68683,54122694.0,0.0,15557.0,0.0,1392774.0,0.0,0.0,0.0,0.0,0.0,0.0,16217591.0,0.0,0.0,0.0,2036.0,2602.0,-1.05,63.4,6.05,42.235000522356685,6.654756119574097,4
"Baltimore-Columbia-Towson, MD",91320.0,218780.0,4.791502409110819,42454.62483899869,0.1940516721775239,2.663250109505037,68878.0,23469.613137000128,121763.0,192.74831547350288,1.0814034828480072,0.0195543802304476,11.327782353172497,8.543966194938845,5.2662806620868166,2.91128635051572,151.80662617506303,8061.595566799057,82.55462821216307,5.707111791495058,0.2620474574920165,2.3750808667636,7.85266983087904,83811,1062780,0.626,0.05,2800427,1164762,111407,346426,386804,218143,248316770.0,21883156.0,4223698.0,0.0,0.0,0.0,0.0,182449932.0,52714.0,6244069.0,25153609.0,0.0,0.0,5687284.0,20992.0,1218.3333333333333,4151.833333333333,0.5866666666666667,56.86666666666667,51.906666666666666,347.37875111637976,31.075770309700808,4
"Bangor, ME",9041.0,21349.0,4.7227076650812965,11606.909526999958,0.5436746230268377,2.4425395420860525,6178.0,6016.3683480000045,11001.0,546.8928595582224,1.09022333741624,0.0149077356603945,0.9821397226968388,0.6711269999802091,1.260878985091808,0.6535686694996973,10.063578935071568,9205.411196662008,88.27618743669086,0.4190544909598013,0.2650311515672915,3.484257704635964,6.3038561338754215,52128,63073,0.578,0.046,151696,76088,4501,21557,24525,12490,8386858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,7696.0,-0.55,44.6,40.34,16.479003138393946,5.531980025176425,1
"Barnstable Town, MA",23380.0,59937.0,5.127202737382378,9525.890585000052,0.1589317213907945,2.653421727972626,18474.0,4922.310030000028,31060.0,158.4774639407607,1.120357534377341,0.0584352865421764,8.34070988676913,6.590516443463341,3.3983186391185165,1.756011973180671,29.236382332577,2803.1187173993067,85.51144567875089,1.2668219710825743,0.4553243102751198,2.2929862728865444,9.4472574652009,76863,95859,0.569,0.0409999999999999,213505,164064,4436,33817,38286,19320,15677698.0,4403629.0,222605.0,0.0,619.0,90193.0,0.0,0.0,0.0,1484956.0,1826121.0,0.0,0.0,0.0,0.0,656.0,5029.0,-1.03,52.9,37.47,76.16694886119089,38.51031133565794,1
"Battle Creek, MI",6826.0,18810.0,5.511280398476414,6619.370204000018,0.3519069752259445,2.848666861998242,5621.0,3439.490942000014,9661.0,356.0181080633489,1.042991410343491,0.0067280819790911,3.669016105001818,3.0213213486983914,3.5579513453626186,1.848747093349828,2.746272716522151,1860.4442729739987,90.48329560266173,1.080469232352336,0.4287576318858476,2.91383686629622,4.00116622075873,50219,54124,0.5589999999999999,0.064,133943,60889,4399,19762,19400,10563,7855141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,6253.0,-0.14,49.7,35.0,71.99516908178414,17.140092201105855,5
"Bay City, MI",4978.0,13969.0,5.61229409401366,4711.197509999991,0.3372608998496664,2.904379268782644,3969.0,2461.823955000008,7179.0,342.9201776013383,1.0299771884450994,0.0061289873241398,4.240714915161481,3.3811565886452226,4.013428193838608,2.09720642114712,1.1113924281334322,1173.8586770364034,91.23021237625922,0.5538354193013825,0.8830840347128341,1.6549648946840525,4.962714229645458,48290,44627,0.55,0.059,103506,48340,3153,15798,17209,8467,4255806.0,100371.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,562705.0,0.0,0.0,0.0,0.0,0.0,709.0,6369.0,0.02,49.4,32.28,88.17586139186507,18.774599700889237,5
"Beaumont-Port Arthur, TX",28576.0,72659.0,5.085316349384098,19188.755617000137,0.2640933073260041,2.69138437849944,21535.0,10114.921832000004,38424.0,263.2448946491777,1.07307018788266,0.0045544451384551,4.210608380374783,3.173133100201951,2.827419345251416,1.4904106464394975,11.70227902745086,6786.667725545274,95.66982740643516,0.4587774929159357,0.0515204671189018,0.7556335177438942,2.160792924522516,54256,146770,0.537,0.052,394268,171941,9461,50264,57292,29753,23615808.0,21789.0,0.0,0.0,255286.0,0.0,0.0,0.0,0.0,137653.0,0.0,758108.0,0.0,0.0,0.0,2990.0,1210.3333333333333,-0.03,69.83333333333333,56.51666666666667,58.0944899535836,13.81761967091183,3
"Beckley, WV",10967.0,25596.0,4.6678216467584575,8739.234813000096,0.3414297082747342,2.387435032369837,7252.0,4548.089799000002,13054.0,348.405837214647,1.1807730435381223,0.0062815995097288,3.315569563731801,2.192441914487373,2.6420662857926955,1.3749893417236698,1.6899177748644525,3307.727311761247,91.97467884802673,0.1391272086444372,0.0463757362148124,2.444001298520614,4.18541019338682,43444,48504,0.461,0.07,117539,57613,4198,16976,18129,9201,4991241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.5,4824.0,1.245,53.6,57.515,35.53467046151838,8.337040051612762,5
"Bellingham, WA",9509.0,23068.0,4.851824587233147,6308.88512599995,0.273490771891796,2.5352823640761386,6590.0,3262.893231999994,12058.0,270.5998699618505,1.095053618684618,0.0080444518162215,1.467396782245734,1.0169465553685335,0.9735658569197916,0.5035186696233226,9.72430986936795,6480.183216326283,83.82265164515407,2.35395060807282,2.173020965455495,3.741699619488174,6.987241662314407,65420,88978,0.591,0.052,224538,98000,6494,24726,32972,24786,15603598.0,354935.0,82976.0,49438.0,0.0,0.0,0.0,0.0,0.0,1700907.0,556482.0,0.0,226111.0,0.0,0.0,33.0,7344.0,0.54,44.9,82.93,34.649946229034875,5.336678560058039,1
"Bend, OR",12623.0,32310.0,5.119226808207241,9682.531407999932,0.299675995295572,2.6916739285431355,9764.0,4949.627793999989,17008.0,291.0176266462835,1.1069313693630525,0.029574317968015,1.5961814690569656,1.2346602126176196,1.224358489028879,0.6258816575704738,14.779974804385038,7908.248682687534,81.52467627921052,0.5155753474999459,1.8926046823320868,2.033117879763938,12.93045677597873,68937,77040,0.6,0.0559999999999999,191749,90802,3316,17888,33583,22253,12267151.0,88431.0,63257.0,0.0,0.0,0.0,0.0,0.0,0.0,701946.0,481131.0,0.0,0.0,0.0,0.0,140.0,7164.0,-0.99,45.7,19.23,24.24670842986644,3.9486379225039943,1
