MSA,GDP
"Naples-Marco Island, FL ",23192083
"Nashville-Davidson--Murfreesboro--Franklin, TN ",158109688
"New Bern, NC ",8012754
"New Haven-Milford, CT ",59046292
"New Orleans-Metairie, LA ",83271604
"New York-Newark-Jersey City, NY-NJ-PA ",2025634058
"Niles, MI ",8736602
"North Port-Sarasota-Bradenton, FL ",43368616
"Norwich-New London, CT ",22806434
"Ocala, FL ",12773768
"Ocean City, NJ ",6640397
"Odessa, TX ",11712484
"Ogden-Clearfield, UT ",38564472
"Oklahoma City, OK ",90754370
"Olympia-Lacey-Tumwater, WA ",19475612
"Omaha-Council Bluffs, NE-IA ",77627880
"Orlando-Kissimmee-Sanford, FL ",161181830
"Oshkosh-Neenah, WI ",12148291
"Owensboro, KY ",6320481
"Oxnard-Thousand Oaks-Ventura, CA ",60649465
"Palm Bay-Melbourne-Titusville, FL ",31417639
"Panama City, FL ",10990634
"Parkersburg-Vienna, WV ",4500319
"Pensacola-Ferry Pass-Brent, FL ",27160806
"Peoria, IL ",23376711
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",485847524
"Phoenix-Mesa-Chandler, AZ ",317697392
"Pine Bluff, AR ",4177544
"Pittsburgh, PA ",167551668
"Pittsfield, MA ",8038399
"Pocatello, ID ",4274631
"Port St. Lucie, FL ",21649842
"Portland-South Portland, ME ",40140445
"Portland-Vancouver-Hillsboro, OR-WA ",193045911
"Poughkeepsie-Newburgh-Middletown, NY ",42037184
"Prescott Valley-Prescott, AZ ",9120159
"Providence-Warwick, RI-MA ",101637862
"Provo-Orem, UT ",35787405
"Pueblo, CO ",7629024
"Punta Gorda, FL ",7017252
"Racine, WI ",9801983
"Raleigh-Cary, NC ",106986704
"Rapid City, SD ",8432318
"Reading, PA ",22705393
"Redding, CA ",10097547
"Reno, NV ",35538918
"Richmond, VA  *",105264739
"Riverside-San Bernardino-Ontario, CA ",228740442
"Roanoke, VA  *",18813114
"Rochester, MN ",15628747
"Rochester, NY ",72325812
"Rockford, IL ",17040202
"Rocky Mount, NC ",7689265
"Rome, GA ",4633051
"Sacramento-Roseville-Folsom, CA ",183451816
"Saginaw, MI ",9713506
"Salem, OR ",25001326
"Salinas, CA ",33629435
"Salisbury, MD-DE ",25362339
"Salt Lake City, UT ",120025527
"San Angelo, TX ",8360379
"San Antonio-New Braunfels, TX ",156883687
"San Diego-Chula Vista-Carlsbad, CA ",293622693
"San Francisco-Oakland-Berkeley, CA ",660263176
"San Jose-Sunnyvale-Santa Clara, CA ",361287757
"San Luis Obispo-Paso Robles, CA ",20458266
"Santa Cruz-Watsonville, CA ",18507711
"Santa Fe, NM ",8904094
"Santa Maria-Santa Barbara, CA ",35513183
"Santa Rosa-Petaluma, CA ",34715634
"Savannah, GA ",26155853
"Scranton--Wilkes-Barre, PA ",30413097
"Seattle-Tacoma-Bellevue, WA ",481736232
"Sebastian-Vero Beach, FL ",7933467
"Sebring-Avon Park, FL ",2947975
"Sheboygan, WI ",7793537
"Sherman-Denison, TX ",5772885
"Shreveport-Bossier City, LA ",23257718
"Sierra Vista-Douglas, AZ ",7282079
"Sioux City, IA-NE-SD ",9871746
"Sioux Falls, SD ",24991123
"South Bend-Mishawaka, IN-MI ",17022562
"Spartanburg, SC ",19120459
"Spokane-Spokane Valley, WA ",34411428
"Springfield, IL ",13815743
"Springfield, MA ",41192172
"Springfield, MO ",24198665
"Springfield, OH ",5363333
"St. Cloud, MN ",12442996
"St. George, UT ",8487255
"St. Joseph, MO-KS ",6894704
"St. Louis, MO-IL ",191891956
"State College, PA ",12908455
"Staunton, VA  *",5969983
"Stockton, CA ",38177705
"Sumter, SC ",6625144
"Syracuse, NY ",48446096
"Tallahassee, FL ",23830845
"Tampa-St. Petersburg-Clearwater, FL ",192269410
"Terre Haute, IN ",8867854
"Texarkana, TX-AR ",6938427
"The Villages, FL ",4678542
"Toledo, OH ",40574704
"Topeka, KS ",14892058
"Trenton-Princeton, NJ ",44829460
"Tucson, AZ ",57168715
"Tulsa, OK ",57031176
"Tuscaloosa, AL ",14115777
"Twin Falls, ID ",5855510
"Tyler, TX ",13002892
United States (Metropolitan Portion) *,21534278580
"Urban Honolulu, HI ",79522075
"Utica-Rome, NY ",16406031
"Valdosta, GA ",7729599
"Vallejo, CA ",35970293
"Victoria, TX ",5286399
"Vineland-Bridgeton, NJ ",7946208
"Virginia Beach-Norfolk-Newport News, VA-NC  *",128224291
"Visalia, CA ",22358749
"Waco, TX ",15285963
"Walla Walla, WA ",4105998
"Warner Robins, GA ",12233930
"Washington-Arlington-Alexandria, DC-VA-MD-WV  *",705095015
"Waterloo-Cedar Falls, IA ",11356380
"Watertown-Fort Drum, NY ",9891009
"Wausau-Weston, WI ",11329867
"Weirton-Steubenville, WV-OH ",5681379
"Wenatchee, WA ",7846657
"Wheeling, WV-OH ",9584739
"Wichita Falls, TX ",8060202
"Wichita, KS ",40741180
"Williamsport, PA ",6529848
"Wilmington, NC ",18538077
"Winchester, VA-WV  *",8865743
"Winston-Salem, NC ",37184229
"Worcester, MA-CT ",57736191
"Yakima, WA ",12871827
"York-Hanover, PA ",24082525
"Youngstown-Warren-Boardman, OH-PA ",23410595
"Yuba City, CA ",9258388
"Yuma, AZ ",9961854
