Cluster,Cluster Name,Emissions per capita (MTCO2e),msa,Variable,Value
5,Auto Small,6.237848058151753,"Lima, OH",Population Density (/sq km),97.41814792000618
3,Sparse Auto,5.953505990401925,"Lincoln, NE",Population Density (/sq km),90.43918515905249
4,Auto Large,6.641361536174808,"Little Rock-North Little Rock-Conway, AR",Population Density (/sq km),68.12997627448073
1,Sparse Active,4.760631507499267,"Logan, UT-ID",Population Density (/sq km),29.4035508539632
3,Sparse Auto,7.516795211759245,"Longview, TX",Population Density (/sq km),40.50364659790372
5,Auto Small,7.547837891460836,"Longview, WA",Population Density (/sq km),36.116897709366725
6,Heavyweight Eco-Transit,4.052668537615863,"Los Angeles-Long Beach-Anaheim, CA",Population Density (/sq km),895.3893121874814
4,Auto Large,6.06952489168617,"Louisville/Jefferson County, KY-IN",Population Density (/sq km),148.1260377739728
3,Sparse Auto,5.466046556887146,"Lubbock, TX",Population Density (/sq km),45.80794341707495
3,Sparse Auto,9.410538545450617,"Macon-Bibb County, GA",Population Density (/sq km),50.976633060754935
1,Sparse Active,6.982162693562118,"Madera, CA",Population Density (/sq km),27.94858528773865
4,Auto Large,5.733491610720816,"Madison, WI",Population Density (/sq km),75.23702607448617
5,Auto Small,4.020706867580701,"Manchester-Nashua, NH",Population Density (/sq km),179.63767799580611
3,Sparse Auto,5.39096925929131,"Manhattan, KS",Population Density (/sq km),26.9012717004606
1,Sparse Active,6.559275842872304,"Mankato, MN",Population Density (/sq km),31.802695807805915
5,Auto Small,5.860390502849895,"Mansfield, OH",Population Density (/sq km),93.4559537945449
3,Sparse Auto,3.6532902397690146,"McAllen-Edinburg-Mission, TX",Population Density (/sq km),210.1074960562704
1,Sparse Active,4.996720404986703,"Medford, OR",Population Density (/sq km),30.174824672582208
4,Auto Large,6.340096563936063,"Memphis, TN-MS-AR",Population Density (/sq km),110.35622905616812
3,Sparse Auto,6.835252035406728,"Merced, CA",Population Density (/sq km),53.41889528534873
4,Auto Large,4.792419639857512,"Miami-Fort Lauderdale-Pompano Beach, FL",Population Density (/sq km),385.92874693399335
1,Sparse Active,5.309768590058087,"Midland, MI",Population Density (/sq km),35.6842275660915
3,Sparse Auto,8.34117814763209,"Midland, TX",Population Density (/sq km),37.53437530969369
4,Auto Large,5.017084947461276,"Minneapolis-St. Paul-Bloomington, MN-WI",Population Density (/sq km),185.40034149399168
1,Sparse Active,5.978612627735451,"Missoula, MT",Population Density (/sq km),17.56948355870034
3,Sparse Auto,7.43271774967463,"Mobile, AL",Population Density (/sq km),60.816957375739946
5,Auto Small,4.023324539527527,"Modesto, CA",Population Density (/sq km),139.1270787603302
5,Auto Small,5.690672745077784,"Monroe, MI",Population Density (/sq km),103.27281063121757
3,Sparse Auto,7.857778654373011,"Montgomery, AL",Population Density (/sq km),51.81653385076557
5,Auto Small,4.798734014289785,"Morgantown, WV",Population Density (/sq km),53.1109290736895
1,Sparse Active,8.018325790104306,"Morristown, TN",Population Density (/sq km),19.633359026750018
1,Sparse Active,6.643112041653492,"Mount Vernon-Anacortes, WA",Population Density (/sq km),25.804233155235803
5,Auto Small,6.913773708485843,"Muncie, IN",Population Density (/sq km),111.43382995906758
5,Auto Small,4.104826339346003,"Muskegon, MI",Population Density (/sq km),127.15469792196278
3,Sparse Auto,5.498726662778029,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Population Density (/sq km),83.57812972282876
1,Sparse Active,4.176548089478618,"Napa, CA",Population Density (/sq km),67.73958388080355
3,Sparse Auto,5.849616425108023,"Naples-Marco Island, FL",Population Density (/sq km),63.595293391067386
4,Auto Large,7.3189682700795915,"Nashville-Davidson--Murfreesboro--Franklin, TN",Population Density (/sq km),127.6136331230372
5,Auto Small,5.637274012279934,"New Bern, NC",Population Density (/sq km),26.57936786636737
7,Dense Active,4.244874329395097,"New Haven-Milford, CT",Population Density (/sq km),524.5625009247468
2,Heavyweight Transit,2.8499220122782414,"New York-Newark-Jersey City, NY-NJ-PA",Population Density (/sq km),813.7142865417046
5,Auto Small,6.483841676444908,"Niles, MI",Population Density (/sq km),102.40025392378784
