msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,MSA,Carbon Dioxide,Methane,Nitrous Oxide,_merge
"Blacksburg-Christiansburg, VA",9460,22150,4.6828752642706135,7508.689059999981,0.3389927340857779,2.50708245243129,6589,4031.526715999989,11835,340.6444204478233,1.1403021167260616,0.0082805238698774,3.352796176396882,2.33526152286248,2.661216064494824,1.4288464438104271,5.934730948336399,2821.525527437904,"Blacksburg-Christiansburg, VA",393754.589491568,25.590406810272,5.1250803454,both
"Bloomington, IL",9033,24503,5.425218642754345,9449.33703399995,0.3856400046524895,2.9479685597254512,7647,4997.883852000003,13257,376.9996116768502,1.043363873413884,0.0055819567021196,2.940565208381241,2.489372539410091,3.0760978328848276,1.6269902989839067,4.594963851216923,3071.8584217258685,"Bloomington, IL",1115636.31058864,84.9612112055,18.0546175245,both
"Bloomington, IN",7717,19047,4.9363742386937925,6274.297861000077,0.32941134357117013,2.593235713360114,5666,3223.6351250000157,9956,323.7881804941759,1.0841163463694474,0.0114503816793893,3.7305179891222897,2.739032645635207,3.0330933056333147,1.5583554262250923,10.209268767409933,2068.6135336974057,"Bloomington, IN",459149.74676122004,38.690829639428,6.230305011899999,both
"Bloomsburg-Berwick, PA",6107,16016,5.245128541018503,6281.489434000032,0.3922008887362657,2.732438185688554,4861,3226.3100059999892,8262,390.4998796901464,1.0819469158783177,0.0077463083999031,3.7745818830100606,3.004460870036336,3.882429378728613,1.994100425351505,2.202038481446424,1617.9275451642714,"Bloomsburg-Berwick, PA",306371.7303709675,25.75827078944605,5.111286221925,both
"Birmingham-Hoover, AL",78431,189591,4.834593464318956,47035.196514000665,0.24808770729623592,2.524945493491094,55084,24575.308492000222,98997,248.2429618271283,1.0926746375976344,0.0064143357879531,6.638502561209091,4.662381903604972,3.981120635018886,2.08008629708466,30.1243205090974,11814.56198545401,"Birmingham-Hoover, AL",1548987.9721931417,122.82899862027033,21.01825636625,both
"Boise City, ID",43821,111007,5.066383697314073,34176.71923499992,0.3078789556964869,2.631249857374318,33086,17426.396137999967,58009,300.40849071695715,1.127429861793831,0.0074815976831181,1.43122679946098,1.080613630153716,1.1162373402429304,0.5691591969769944,73.02067763343719,30617.788890274835,"Boise City, ID",781925.1590361818,93.6383556292678,13.934480741175202,both
"Boulder, CO",14392,36240,5.036131183991106,6702.837937000082,0.1849568967163378,2.743468593663146,11311,3553.0503990000025,19740,179.99242142857156,1.1195170550556912,0.0130699088145896,7.50168579802257,5.895745418387527,3.4937871149555595,1.8519919203610853,18.20133490965292,1918.5021057258496,"Boulder, CO",1342979.46793222,161.1863942537,24.755431274696,both
"Bowling Green, KY",11171,27250,4.878703786590278,11050.134449000047,0.4055095210642219,2.54372929907797,8105,5722.810554999992,14160,404.1532877824853,1.0986694956676253,0.0140536723163841,2.631664371044597,1.909376038610372,2.603190862473006,1.3481798084174594,6.751971606417863,4244.842208190039,"Bowling Green, KY",321902.47608574876,20.7132866362875,4.031831773425,both
"Bremerton-Silverdale-Port Orchard, WA",12374,28776,4.651042508485534,6541.792045999992,0.22733500298860135,2.385485695813803,7977,3379.4082850000214,14763,228.9106743209389,1.1049544594383085,0.0092122197385355,8.530875918369869,5.499498723196739,4.51003848619726,2.3298297039636577,3.989498285458119,1450.4958363483615,"Bremerton-Silverdale-Port Orchard, WA",1104276.75358511,121.535114846586,26.511047092099997,both
"Bridgeport-Stamford-Norwalk, CT",30857,77301,5.01027319570924,15506.861320000227,0.2006036315183533,2.634086268917912,23833,8163.304714999944,40624,200.94783170047128,1.091871271547315,0.0225728633320204,16.553302056655195,12.785262595724252,8.318688122002355,4.379221853320531,68.32242502141834,1864.099373912775,"Bridgeport-Stamford-Norwalk, CT",4258834.3812833,386.6483978928,65.453331217,both
