msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration,GDP,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Lebanon, PA",5405.0,14691.0,5.4360777058279375,4089.27224200001,0.27835220488734663,2.839222941720629,4461.0,2121.6233259999976,7635.0,277.8812476751798,1.0690150421471196,0.007727570399476,5.759934777309853,4.753944318516052,4.357805994557575,2.2609457871931893,2.99314214551833,938.378681177424,806066.7926427,70.7135788473,15.417122298599999,89.55870408807868,0.5926059621574467,0.1143097795024516,3.1705923051469487,0.7204524260746623,5.843335439039798,"61,632","53,857",0.602,0.049,"140,410","57,970","3,340","18,084","20,455","11,978","1,430","4,046","9,773","2,329","8,365","4,334",922,"2,963","5,035","16,379","6,051","3,253","2,401",6970289.0,57923.0,36353.0,0.0,40511.0,0.0,0.0,0.0,0.0,289960.0,258757.0,0.0,147171.0,0.0,0.0,0.0
"Lewiston, ID-WA",4204.0,10819.0,5.147002854424358,5102.4586530000015,0.47162017312136073,2.672930542340628,3134.0,2609.800922000006,5595.0,466.4523542448625,1.1599275988464273,0.0023235031277926,1.0837586943892823,0.8079209677012397,1.3153743881899571,0.6727864985353644,1.0740700252823872,3879.092294036017,197675.2319131915,19.4037531697115,3.9225771207999998,88.62305207482872,0.521813212168542,0.3194774768378829,2.914344538710021,1.206914912498669,6.414397784956161,"55,657","25,834",0.562,0.042,"63,104","27,998","1,413","6,733","9,080","8,608",999,"1,756","4,257",718,"3,452","1,118",525,"1,484","1,769","7,434","2,320","1,457","1,560",3428552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lewiston-Auburn, ME",6319.0,15316.0,4.847602468745055,4391.505032999994,0.286726627905458,2.5043519544231683,4444.0,2241.1157959999978,7869.0,284.8031256830598,1.060924953578394,0.0102935569958063,4.91041037125457,3.4533729529759944,3.412579816341164,1.741541105849158,2.208715210906314,1286.857822920724,518663.46347097,40.6681170516,7.554639381099999,88.50876034928238,0.1376761028233031,0.1640797389811968,3.3834373762329557,0.7072402542292967,7.098806178450862,"55,002","45,906",0.621,0.045,"107,958","50,053","4,183","15,542","17,030","9,151",787,"3,237","5,747","1,163","6,583","2,562","1,044","4,037","5,660","14,446","4,169","2,495","2,209",5807880.0,16465.0,50352.0,0.0,0.0,0.0,0.0,0.0,0.0,27972.0,448857.0,0.0,0.0,0.0,0.0,0.0
"Lexington-Fayette, KY",22248.0,53895.0,4.844929881337649,13200.518035999901,0.2449302910474052,2.63183207479324,16504.0,7164.69408200003,29306.0,244.47874435269333,1.085094341534045,0.0136149593939807,5.789224436791331,4.294559515677999,3.434949729967428,1.8643483486897159,34.16913967689948,3843.001811885345,578824.7195053537,41.06038959759342,7.437436672783332,87.7034435832662,1.1907462009525969,0.3398221506166853,3.0318079789771706,1.164545874035085,6.569634212152259,"60,769","203,965",0.632,0.049,"514,273","222,191","13,035","67,877","82,911","40,142","5,165","13,415","30,241","6,710","31,457","10,640","3,626","13,829","27,108","70,492","24,266","13,690","10,191",35972245.0,364737.0,255074.0,0.0,187543.0,0.0,0.0,0.0,187920.0,1397435.0,119782.0,0.0,466180.0,0.0,0.0,82545.0
"Lima, OH",5387.0,15034.0,5.581585297939484,4440.8764630000105,0.29538888273247377,2.894560980137368,4472.0,2327.932454999998,7729.0,301.1945212834775,1.0372522087736016,0.0128089015396558,5.10457904876151,4.237549193625668,4.208057351247071,2.205887365272867,3.469816985311318,1055.3269816258428,700107.83400118,59.187580591599996,10.5318856956,92.25702983000107,0.7206243985886881,0.1454078905164118,1.4754624184753555,1.890302576713354,3.511172885705122,"51,892","41,025",0.5820000000000001,0.0559999999999999,"102,808","45,126","3,439","12,866","15,212","9,508",547,"2,472","10,259","1,237","5,513","2,743",645,"1,947","3,190","11,325","4,132","2,076","1,582",8352629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lincoln, NE",16278.0,43411.0,5.3337019289839045,13222.088092999857,0.30457921017714074,2.989249293525003,13784.0,7082.717609000023,24257.0,291.9865444613935,1.023291205837848,0.0021437110937049,4.418367300690759,3.741416320968266,3.5888955447206787,1.9224749897796005,9.276848938881471,3684.16632031817,1082484.2756657857,96.81609664245998,16.85228879531402,89.02712773718532,0.9837592736006824,0.9091215192430722,3.094941468287372,0.6706174169725131,5.314432584711045,"62,883","133,432",0.6809999999999999,0.033,"333,193","140,312","6,884","42,332","52,816","31,400","2,679","11,653","16,366","3,817","19,039","8,374","3,546","13,553","17,536","49,706","15,140","8,678","10,642",25595311.0,178069.0,19792.0,0.0,237147.0,0.0,0.0,0.0,34944.0,882530.0,97584.0,0.0,1050220.0,0.0,0.0,0.0
"Little Rock-North Little Rock-Conway, AR",51686.0,127721.0,4.94218937429865,38173.57904799906,0.2988825568857045,2.5808536160662463,37792.0,19732.795007999972,66632.0,296.145920998919,1.0961481861502227,0.0079991595629727,4.754734599316246,3.4765880504848425,3.5116905366879787,1.8152730558710748,11.762849337210872,10870.427974556707,895864.7610266887,66.36207953116183,11.139966905383332,92.29520154217538,0.4361971252091257,0.1580382417811431,1.2602536716393715,1.1369491093705677,4.713360309824422,"55,983","289,808",0.59,0.045,"740,602","327,597","17,560","98,729","112,294","61,225","3,234","23,394","25,269","10,076","40,433","20,410","8,043","22,888","32,767","93,672","28,586","17,057","20,162",47478489.0,315451.0,125784.0,0.0,221510.0,0.0,0.0,203800.0,0.0,1195756.0,756050.0,0.0,884844.0,0.0,10917.0,0.0
"Logan, UT-ID",7233.0,18868.0,5.217198949260335,7199.934203999982,0.3815949864320533,2.649246509055717,5372.0,3607.2697129999933,9566.0,377.0927987664639,1.106375930780123,0.0058540664854693,1.5183325955702482,1.1276763035259745,1.5113915094558692,0.7572286998840349,9.832919861435895,4763.778384987819,363572.45438717195,35.792282055768,6.45468083975,85.32339800293862,1.6312333203394405,1.1829440163123333,3.944646016372305,0.6746828990374524,7.24309574499985,"60,466","44,013",0.667,0.027,"140,072","47,201","1,608","9,233","17,833","15,339","1,917","3,996","11,080","1,126","7,403","2,499",749,"2,796","7,963","17,569","6,138","2,670","2,005",7758260.0,208514.0,14125.0,0.0,0.0,0.0,0.0,0.0,0.0,1172329.0,93500.0,0.0,0.0,0.0,0.0,0.0
"Longview, TX",19291.0,49953.0,5.178891711160645,19136.20973200014,0.3830842938762465,2.696542429112021,15115.0,9881.38529899998,25923.0,381.1821663773475,1.0712264852913047,0.004281911815762,2.7362805161901447,2.143946918366805,2.7143247028873683,1.4015987800850849,16.56134822649945,7050.081263912148,586829.3579718,35.236599034392334,6.624332887028885,93.8511995241557,0.108221531954266,0.0875685678408565,1.3416165488070848,0.8517282400370101,3.759665587205076,"53,524","102,463",0.551,0.054,"285,554","119,880","5,386","32,860","41,459","22,758","7,490","9,425","14,134","3,534","14,569","7,120","1,308","5,870","10,659","27,447","10,587","6,423","4,251",15720648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Longview, WA",5456.0,13104.0,4.803519061583578,5105.958193000009,0.38964882425213737,2.503848973607038,3720.0,2651.254998999997,6820.0,388.7470673020524,1.1736802640464352,0.008357771260997,1.8178561970341505,1.239447407068739,1.7012275921815172,0.8833578317173598,4.112283746343966,3001.337514431293,891899.1882694614,81.893536582,17.2827653736,92.00317784587448,0.3677221654749744,0.397230734309386,2.0746793780501647,0.6628078538190898,4.49438202247191,"58,791","42,354",0.522,0.065,"108,399","44,970","2,788","12,172","14,842","12,552","1,210","3,257","7,212","1,111","5,688","3,057",473,"1,988","3,339","9,920","3,917","1,998","1,958",6282769.0,0.0,11094.0,15857.0,0.0,57617.0,0.0,0.0,0.0,254423.0,62134.0,0.0,0.0,40815.0,0.0,0.0
"Los Angeles-Long Beach-Anaheim, CA",250524.0,641962.0,5.124954096214335,101322.37916099728,0.15783236260245512,2.805328032443997,197890.0,56606.576454,352272.0,160.68996813257937,1.0603964143189517,0.0036193623109415,16.97949084855073,13.412173859668949,6.867215954230096,3.836561953619135,538.7671933500409,14754.50602344671,29275488.653415833,1019.1883681140001,391.16279321425503,82.6203695290593,4.505567796631558,0.6474677378239152,2.3997241341016187,1.554742849066271,8.272127953317332,"76,399","4,372,505",0.609,0.061,"13,211,027","4,661,034","339,628","1,383,075","1,596,128","1,053,674","31,646","384,598","632,942","216,806","657,803","366,944","251,311","433,470","880,716","1,350,929","712,598","364,668","217,272",1135421878.0,8938555.0,6737505.0,571619.0,52152542.0,0.0,702686.0,227158330.0,7177716.0,4213844.0,39084786.0,0.0,135824554.0,2379211.0,23378321.0,2634067.0
"Louisville/Jefferson County, KY-IN",58818.0,143283.0,4.872079975517699,35574.257453999526,0.24827968045057353,2.5678023734231017,42306.0,18743.16087799994,75541.0,248.11904631921655,1.085997196199856,0.0127745197971962,6.9021365900064975,4.964497102533491,4.174544935828514,2.1994603099123005,83.65510224149611,8521.709072689422,836882.4440269697,70.98958851073408,10.952870757520001,88.78764008736438,1.7375227443615142,0.2005084320956711,1.510160504395887,1.170012271376445,6.594155960406095,"60,891","497,106",0.619,0.049,"1,262,287","547,307","36,787","164,214","189,741","106,364","3,431","36,926","85,197","15,708","68,684","52,273","10,952","48,584","60,519","140,196","56,209","27,687","20,174",84457315.0,1472204.0,411193.0,0.0,0.0,0.0,16.0,0.0,535223.0,6935293.0,3287208.0,0.0,0.0,250764.0,0.0,179962.0
"Lubbock, TX",20004.0,55241.0,5.522995400919816,21259.959606999728,0.3848583408518986,2.961857628474305,16986.0,11189.535907999998,29556.0,378.5876271484639,1.036331969804433,0.0013195290296386,2.863291681478254,2.43130736360676,3.0430646616319748,1.6016249292630782,21.561359846575638,6986.364724697687,637204.1573273666,44.07170796963334,8.271384411966666,91.89386435906792,0.673122035135276,0.3173382682583537,1.9372621592034616,0.919433873742376,4.258979304592608,"53,003","120,841",0.619,0.043,"320,031","134,602","6,742","41,827","48,217","24,055","4,589","10,677","8,093","5,234","18,078","6,745","3,098","9,527","12,536","46,553","15,691","8,473","6,389",18609542.0,352774.0,106624.0,0.0,0.0,0.0,0.0,0.0,70400.0,1088144.0,700640.0,0.0,0.0,0.0,0.0,20050.0
"Macon-Bibb County, GA",13604.0,34105.0,5.013966480446928,11795.119148000049,0.3458472114939173,2.645692443399,10373.0,6206.274363999996,17955.0,345.65716313004714,1.0787910971741428,0.0068504594820384,3.0208704121207943,2.3034025863664365,2.619194828111789,1.37814985266917,12.55519206990783,4503.337827871056,471988.554598591,33.73687263821791,6.596938196168184,91.885056980665,0.8301677408340091,0.0906995603738956,2.0711511374791924,1.1140040121217296,4.008920568526186,"46,083","86,898",0.526,0.065,"229,565","102,887","8,451","29,227","29,238","19,982","1,369","5,245","8,111","2,224","10,727","5,823","1,357","7,762","8,144","24,399","9,444","4,364","6,869",11981608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Madera, CA",7740.0,20020.0,5.17312661498708,9325.102412000002,0.46578933126873134,2.733204134366925,5905.0,4798.574479999976,10567.0,454.1094426043319,1.1099268042602244,0.0028390271600264,1.3873468021619186,1.0584344789103526,1.67146653890447,0.8601145942847233,1.456670525218512,5578.994371082031,1190608.59695524,30.2360737418,16.7859874872,88.65862514834298,0.3967621375560161,0.2036948474059904,1.9147315656163095,3.886143436597764,4.940042864480933,"61,924","44,479",0.499,0.096,"155,925","50,480","1,955","10,588","16,948","14,988","8,757","5,161","4,943","1,189","5,790","2,718",670,"3,018","4,320","12,686","4,703","2,166","2,796",7604149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Madison, WI",35315.0,89323.0,5.05864363584879,28712.07152999949,0.32144096738801314,2.780433243664165,28081.0,15228.17943899995,49057.0,310.4180736490195,1.057942129800193,0.0083780092545406,4.024458167710492,3.200079564136438,3.2719957746225212,1.7353864115147761,60.61495890803019,8775.094317874511,1034208.6373459678,83.40895480182701,12.178542362013175,80.13468745498868,3.803371534637993,2.001831705905213,4.94941067444281,0.9147658867875302,8.19593274323777,"73,807","275,987",0.6920000000000001,0.025,"660,212","290,121","20,284","94,261","111,393","50,049","6,218","19,547","38,410","7,920","37,267","12,943","10,339","27,808","48,163","101,568","29,249","15,705","17,840",60778348.0,861616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4459753.0,0.0,0.0,0.0,0.0,0.0,0.0
"Manchester-Nashua, NH",16962.0,43691.0,5.151633062138899,10838.815488000078,0.248078906136277,2.746138427072279,13841.0,5652.822416000013,23302.0,242.5895809801739,1.1092795326382183,0.0446313621148399,7.336811004357914,5.986841239907905,4.688264399632352,2.4450943112480825,19.993016483242087,2311.903630872449,1819886.8938184998,201.7696019822,33.676280775399995,87.75410302965574,0.8290611983338674,0.2038164405995229,2.1236071059845494,0.8228310014596462,8.266581223966678,"82,099","162,843",0.672,0.04,"415,305","172,201","9,089","50,434","66,059","37,261","1,059","14,784","32,584","5,833","29,494","9,080","4,801","14,599","29,537","53,333","17,572","9,442","6,756",31311246.0,0.0,23720.0,0.0,71820.0,17476.0,0.0,0.0,0.0,117809.0,317748.0,0.0,274015.0,0.0,0.0,0.0
"Manhattan, KS",10770.0,27827.0,5.167502321262767,11146.939253999903,0.40057998540985024,2.711606313834726,8235.0,5740.120309999987,14537.0,394.8627853064585,1.0674546805314744,0.0105248675792804,2.202055895402183,1.683744688824232,2.2791256545924323,1.1736365616484008,7.773917514515208,4890.884024555139,258163.52041858752,21.072567454715333,3.7743724250666664,85.06455524645125,0.1911691276125258,0.992938155360582,6.743704971823954,0.7960624866252942,6.2115700121264,"54,488","48,627",0.581,0.043,"131,571","56,330","2,495","15,227","19,750","11,155","1,162","3,612","3,778","1,056","6,459","2,145",956,"2,850","5,577","20,845","5,856","2,469","4,067",10579529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mankato, MN",7220.0,18722.0,5.186149584487534,8604.900301000042,0.45961437351778883,2.776038781163435,5636.0,4477.425920999991,9962.0,449.4505040152571,1.0446083046727883,0.0093354748042561,2.2612410751236776,1.7651460802488983,2.694979779496592,1.4022907760926095,2.1172194739592918,3192.936869681224,363834.087689599,35.622799941290495,4.16002138105,85.76513098464318,1.3170731707317074,0.4643179765130985,2.822041553748871,1.074977416440831,8.556458897922314,"63,288","39,211",0.693,0.034,"101,544","42,391","2,499","10,869","16,436","9,407","1,511","3,284","8,316","1,629","6,402","2,310","1,356","2,182","3,322","17,960","4,999","2,423","1,697",6562180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mansfield, OH",6250.0,16393.0,5.24576,5195.810338999989,0.3169529884096864,2.70944,4881.0,2691.2660139999994,8401.0,320.3506742054517,1.0411848904554306,0.005475538626354,4.825555473806049,3.768565802823572,4.011627363555113,2.0778965512521417,8.806960875853944,1295.1876802424265,774859.97794823,61.050862333806,10.5013665664,93.7601585728444,0.6600594648166502,0.2695738354806739,1.026759167492567,0.9454905847373638,3.3379583746283448,"49,186","48,967",0.526,0.057,"121,043","54,149","4,496","15,816","18,279","10,376",844,"2,720","10,853","1,060","6,215","2,251",794,"1,661","3,386","11,958","4,847","2,327","2,586",5354476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"McAllen-Edinburg-Mission, TX",28609.0,77010.0,5.383620538991226,18772.762948000207,0.24377045770679398,2.826627984200776,23476.0,9822.70156699996,40411.0,243.06999497661425,1.068435899350195,0.0030932171933384,6.980266037429398,5.727873239004948,4.580337643211536,2.3966258919897356,9.554986910767695,4098.554388413504,3433746.1477139,222.6659592371,59.7711933464,88.42141099642531,0.2488355178657093,0.140511598396806,1.1593754352300336,3.735318240200554,6.294548211881587,"41,846","243,878",0.541,0.073,"861,137","281,380","15,376","85,691","88,930","53,881","10,254","29,992","17,153","8,861","41,984","16,041","4,276","13,013","28,969","96,736","30,264","18,669","14,316",28254927.0,120658.0,114440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Medford, OR",10432.0,26058.0,4.995782208588957,10121.782916999988,0.3884328389362187,2.595763036809816,7637.0,5211.5914390000025,13539.0,384.9317851392276,1.1794175211894902,0.0070167663786099,1.438807624905168,1.0533142092983865,1.396021706155527,0.718795772653729,9.844718858007903,7250.448092869659,1186636.7232504,162.7237752808,35.5708491699,85.55521027553345,0.7157654858089911,1.1549616739175472,2.478765278640978,1.3320903252537808,8.763206960845245,"56,327","89,690",0.551,0.051,"218,781","96,318","5,300","27,715","33,146","23,529","3,592","5,881","8,499","2,190","13,644","4,830","2,181","5,555","7,782","24,231","11,086","4,883","4,197",11247244.0,60700.0,35102.0,0.0,213904.0,0.0,0.0,0.0,0.0,319944.0,413049.0,0.0,456061.0,0.0,0.0,0.0
"Memphis, TN-MS-AR",64824.0,161924.0,4.995804023201283,41930.305560999615,0.25895052963735843,2.64938911514254,48729.0,22327.85117100025,85904.0,259.9163155499191,1.0699602349208317,0.0053780964797913,5.326085837275839,4.003684387952215,3.445088340754789,1.834506539224164,86.25113580472656,12171.039292366318,1163458.9615058354,76.80696412157538,14.630776890862501,93.1961633916797,0.6719798176710051,0.1190953991825501,0.9250780181346088,0.952271740643967,4.135411632688165,"53,896","505,544",0.591,0.069,"1,343,150","569,954","37,780","178,661","182,944","106,159","3,652","32,538","62,276","21,476","65,523","79,854","7,139","31,812","59,796","138,981","55,281","31,990","29,094",90066296.0,1343674.0,117332.0,0.0,0.0,0.0,0.0,739700.0,0.0,5192128.0,932117.0,0.0,0.0,0.0,55163.0,0.0
"Merced, CA",10563.0,27378.0,5.183754615166146,9719.876124999988,0.3550250611805094,2.701315914039572,7913.0,5111.188956999989,14233.0,359.1083367526164,1.0516996680614392,0.0018969999297407,2.061907947786271,1.5446253517781654,1.897329341440452,0.9977090914584587,8.012288683256944,5122.925109891918,2045192.2372646101,62.176955063,29.5097190905,88.26671865860791,0.924156755702866,0.3762916747904075,2.365958276467148,4.231819068044453,3.8350555663872097,"56,330","81,306",0.53,0.107,"273,661","86,691","5,792","22,613","27,932","24,969","12,772","7,439","11,801","3,619","12,184","7,242","1,039","3,207","6,731","23,372","8,035","4,548","5,070",11428445.0,230818.0,176117.0,0.0,0.0,0.0,0.0,0.0,0.0,1189331.0,1515972.0,0.0,0.0,0.0,0.0,0.0
"Miami-Fort Lauderdale-Pompano Beach, FL",162184.0,408488.0,5.037340304838948,59662.184364998764,0.146056149421767,2.9374414245548266,137548.0,35052.06451199942,238621.0,146.89429895943533,1.0715948429471995,0.00864131824106,10.21091645071432,8.659862476957365,3.756261898942661,2.206837309210985,369.4424193678885,15883.393109993978,10699764.31020329,898.6623548679621,129.2641986417,85.87409258191694,3.0235771602492822,0.5154216676547972,1.5284376699060958,1.9409594247167437,7.117511495556145,"59,030","2,172,740",0.594,0.0559999999999999,"6,129,858","2,548,767","172,751","860,682","791,523","347,784","17,396","233,598","133,186","98,623","354,624","208,291","59,471","231,755","422,396","616,546","327,679","173,551","110,214",412900083.0,13350999.0,3022656.0,957651.0,3744434.0,0.0,445566.0,77275061.0,0.0,33204510.0,22226806.0,0.0,9872936.0,5303785.0,1596861.0,0.0
"Midland, MI",7383.0,20630.0,5.588514154137885,5103.740023999998,0.24739408744546768,2.976296898279832,6224.0,2753.3616339999926,10971.0,250.96724400692668,1.0404371341564225,0.0008203445447087,3.1572491116358505,2.661617021647235,2.182551626275813,1.1774412261897211,2.719362573955181,2338.428086903374,483933.55926325097,36.016835000905196,6.9131870771,91.76542326148626,0.76088973726769,0.1723269439804872,1.0047986425939182,0.7449826347464144,5.5515787799252365,"64,078","34,253",0.5660000000000001,0.045,"83,445","37,065","2,072","10,098","14,632","7,451",234,"2,612","7,509",726,"3,811","1,491",452,"1,788","2,992","9,746","4,071","1,718","1,078",6160501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Midland, TX",8203.0,22982.0,5.603315860051201,7617.100237000011,0.33143765716647855,2.976593929050348,6906.0,4046.016996000012,12182.0,332.1307663766222,1.0408484034708176,0.0010671482515186,1.7403624397470938,1.4651887125311995,1.6160569489532493,0.8584098513247332,2.943735698255958,4713.386023885947,807175.9577875,41.96085562515,8.66901819085,93.19598776083004,0.152989624312697,0.1357351554052499,1.3078887431844848,0.8788276163526353,4.328571099914878,"82,768","59,639",0.674,0.034,"176,914","64,303","2,008","18,532","22,814","16,285","16,724","6,574","4,158","2,843","10,158","5,534",820,"4,429","7,099","14,945","6,656","5,651","2,477",23859990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Minneapolis-St. Paul-Bloomington, MN-WI",153099.0,387218.0,5.058400120183672,93563.08740600068,0.2416289723256685,2.771572642538488,120191.0,50620.6226759996,212396.0,238.33133710615832,1.066864281644271,0.0084653194975423,7.872694637947728,6.180491324107769,4.811224217865931,2.60302617725078,150.66944525386623,19446.835809182383,1316939.7869766536,117.56227395623986,17.824005114773332,82.80706789921246,4.20981148871605,0.6985847354425548,2.147699584124993,0.943492372505036,9.193343919998918,"82,887","1,390,448",0.687,0.037,"3,605,450","1,456,697","95,033","423,533","567,910","303,972","14,892","108,472","263,958","56,998","208,749","91,125","33,865","169,994","237,276","463,851","156,319","83,556","68,290",302072844.0,672674.0,3839009.0,0.0,0.0,5906921.0,0.0,31871652.0,519156.0,30517605.0,25183636.0,0.0,0.0,0.0,4153269.0,162692.0
"Missoula, MT",7997.0,19418.0,4.856321120420158,9608.121352999997,0.4948048899474711,2.5438289358509443,5576.0,4933.875463000004,10149.0,486.1440006897236,1.2757082746374788,0.0046309981278943,1.18008399001299,0.8228271012020048,1.4178304592693811,0.72807145712195,9.52197116205761,6776.636296804579,774535.2544217799,88.3290436382,18.3974091631,81.90399926082202,1.9264825908187937,3.57577344195143,4.541324668524878,0.828495310839737,7.223924727043133,"56,247","49,700",0.6659999999999999,0.049,"119,062","54,731","2,685","14,744","19,781","12,490","1,626","4,060","2,661","1,397","8,459","4,154","1,467","3,482","7,400","17,360","8,848","3,216","2,209",7107095.0,152214.0,12897.0,0.0,0.0,0.0,0.0,0.0,315747.0,722747.0,157159.0,0.0,0.0,0.0,0.0,31517.0
"Mobile, AL",40634.0,97715.0,4.809519121917606,20631.278456000236,0.2111372712070842,2.5220504995816317,29025.0,10730.103073000071,51268.0,209.2943565772036,1.0967269796440695,0.0192712803308106,5.742880754255198,4.102158632973794,2.9158579509928546,1.5165059415540352,47.13724000045693,7075.543048650656,1746167.1513248791,133.2437392011435,26.381494709800002,92.61653756885994,0.5011045552417438,0.0816531976175162,0.9792791029333632,0.9524342160454126,4.868991359302033,"49,370","163,387",0.531,0.057,"430,313","192,924","11,448","54,140","60,160","37,639","2,264","13,662","22,830","4,922","20,536","10,984","2,854","10,131","17,575","41,401","16,984","9,634","7,382",24926602.0,174986.0,155465.0,0.0,0.0,0.0,0.0,0.0,0.0,707250.0,889058.0,0.0,0.0,0.0,0.0,0.0
"Modesto, CA",16932.0,44655.0,5.2746279234585405,10201.720166000014,0.22845639157989056,2.77793527049374,13478.0,5341.935508,23495.0,227.3647800808682,1.0547813422957852,0.001361991913173,4.312612149660698,3.4328718729699315,2.598397255807359,1.360600990698363,5.652725941238383,3926.158766985841,2403429.4593799,66.1860451298,33.387931582,90.9270922264785,0.7562991404472535,0.3879832469906714,1.25602871433616,1.0539913553041511,5.618605316443249,"62,873","174,826",0.5579999999999999,0.088,"546,235","182,239","9,973","48,172","65,564","51,117","12,019","19,911","27,461","7,458","28,098","16,087","2,073","7,036","20,761","50,271","19,532","11,137","9,199",27120256.0,508132.0,36880.0,0.0,35074.0,0.0,0.0,0.0,690.0,2448598.0,262516.0,0.0,107435.0,0.0,0.0,99231.0
"Monroe, LA",1657.0,4018.0,4.849728424864212,1670.885364000001,0.4158500159283228,2.4417622208811105,1117.0,836.0910810000017,2013.0,415.3457928464986,1.073647214294628,0.0079483358171882,2.4040095392541327,1.620566478785073,2.4241547097502205,1.2130180654250475,0.2009603200032693,689.2651517988986,413443.6102228619,30.80842430334434,6.154049799333333,93.7347158368385,0.9671818448596304,0.2506602758485767,1.0955688154162182,0.9463953829599924,3.005477844077081,"43,212","75,093",0.523,0.053,"202,138","93,531","6,602","29,917","25,911","12,663","1,664","5,366","6,268","2,679","10,802","3,620","3,095","4,918","6,269","23,842","6,781","3,691","3,870",9413766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Monroe, MI",6023.0,16022.0,5.3202722895567,5740.790575999985,0.3583067392335529,2.7937904698655154,4913.0,3018.5115759999967,8374.0,360.4623329352754,1.035323702092975,0.0142106520181514,4.146747589545489,3.3825287908744794,3.952450520191499,2.078201162509238,5.123228078129182,1452.463616349545,932062.8712784201,74.557126235,13.745572226783,92.56544350924972,0.2274406408900607,0.1202393197062104,1.1864578655347753,0.7533065812919207,5.147112083327297,"65,453","60,804",0.5760000000000001,0.05,"150,000","64,760","3,298","17,120","24,160","16,226",740,"5,114","14,571","1,320","7,429","5,774",793,"2,487","5,159","16,334","5,597","3,288","1,745",6376529.0,97894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216248.0,0.0,0.0,0.0,0.0,0.0,0.0
"Montgomery, AL",26773.0,64609.0,4.82642961192246,19169.338291000182,0.29669764724729036,2.5573152056176,19260.0,10045.14590299999,34235.0,293.41743546078544,1.0832119704790883,0.009434788958668,3.713764243764045,2.671613167552964,2.6590372062052605,1.3933927343948849,8.547925049868585,7209.127516631082,801327.7581785945,59.2513179652425,12.043681497000001,92.83702932350748,0.3401255753482898,0.0881122414398649,1.4399881695452053,0.7264638647384669,4.56828082542069,"54,250","145,077",0.5479999999999999,0.055,"373,552","168,343","9,989","50,128","51,079","33,881","1,195","8,148","18,025","4,072","18,443","8,498","1,876","8,900","16,771","36,687","14,733","8,012","17,370",23747629.0,69423.0,182426.0,0.0,0.0,0.0,0.0,0.0,0.0,452247.0,965545.0,0.0,0.0,0.0,0.0,0.0
