msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration,GDP,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal equivalent),Compressed Natural Gas (gal equivalent),Bio-Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kwh),Electric Battery (kwh),Diesel (miles),Gasoline (miles),Liquefied Petroleum Gas (miles),Compressed Natural Gas (miles),Other Fuel (miles),Electric Propulsion (miles),Electric Battery (miles)
"Bakersfield, CA",41727.0,108328.0,5.192225657248304,35767.63507700043,0.3301790402942954,2.744002684113404,32222.0,18978.06701999985,57222.0,331.6568281430193,1.0763729852558854,0.0028485547516689,1.9747034222298163,1.5248854140266288,1.6926803123066594,0.8981248086778468,54.93725626128381,21130.76805877121,6398810.2863844,168.0524482195,91.023109474,92.34932971691316,0.6666058700147972,0.272114046674178,1.082572639741595,1.1102253104306463,4.519152416225645,"54,851","273,556",0.524,0.091,"892,458","299,179","17,920","83,360","103,593","68,683","50,819","24,779","18,663","9,194","36,250","21,163","3,351","12,571","27,651","73,883","29,302","15,744","23,417",54122694.0,0.0,15557.0,0.0,1392774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16217591.0,0.0,0.0,0.0
"Baltimore-Columbia-Towson, MD",91320.0,218780.0,4.791502409110819,42454.62483899869,0.19405167217752395,2.663250109505037,68878.0,23469.613137000128,121763.0,192.74831547350288,1.0814034828480072,0.0195543802304476,11.327782353172497,8.543966194938845,5.2662806620868166,2.91128635051572,151.80662617506303,8061.595566799057,3085013.5210580346,228.30811063503,43.185643620696396,82.55462821216307,5.707111791495058,0.2620474574920165,2.3750808667636,1.2484618412072117,7.85266983087904,"83,811","1,062,780",0.626,0.05,"2,800,427","1,164,762","111,407","346,426","386,804","218,143","5,544","87,136","75,272","29,854","135,505","69,964","24,341","96,842","209,099","362,560","108,180","69,093","138,591",248316770.0,21883156.0,4223698.0,0.0,0.0,0.0,0.0,182449932.0,52714.0,6244069.0,25153609.0,0.0,0.0,0.0,5687284.0,20992.0
"Bangor, ME",9041.0,21349.0,4.7227076650812965,11606.909526999958,0.5436746230268377,2.4425395420860525,6178.0,6016.3683480000045,11001.0,546.8928595582224,1.09022333741624,0.0149077356603945,0.9821397226968388,0.6711269999802091,1.260878985091808,0.6535686694996973,10.063578935071568,9205.411196662008,959459.23616652,80.3198021763,11.327950942700001,88.27618743669086,0.4190544909598013,0.2650311515672915,3.484257704635964,1.2516130822706648,6.3038561338754215,"52,128","63,073",0.578,0.046,"151,696","76,088","4,501","21,557","24,525","12,490","1,171","5,607","3,333","1,643","10,700","3,519",881,"2,913","4,577","25,814","6,510","3,799","3,381",8386858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barnstable Town, MA",23380.0,59937.0,5.127202737382378,9525.890585000052,0.15893172139079456,2.653421727972626,18474.0,4922.310030000028,31060.0,158.4774639407607,1.120357534377341,0.0584352865421764,8.34070988676913,6.590516443463341,3.3983186391185165,1.756011973180671,29.236382332577,2803.1187173993067,1528388.48148904,173.7943299745582,18.974291320187,85.51144567875089,1.2668219710825743,0.4553243102751198,2.2929862728865444,1.02616430180397,9.4472574652009,"76,863","95,859",0.569,0.0409999999999999,"213,505","164,064","4,436","33,817","38,286","19,320",931,"10,814","4,402","2,365","12,505","3,980","2,193","5,927","13,786","26,631","11,865","5,116","5,283",15677698.0,4403629.0,222605.0,0.0,619.0,90193.0,0.0,0.0,0.0,1484956.0,1826121.0,0.0,0.0,0.0,0.0,0.0
"Battle Creek, MI",6826.0,18810.0,5.511280398476414,6619.370204000018,0.35190697522594455,2.848666861998242,5621.0,3439.490942000014,9661.0,356.0181080633489,1.042991410343491,0.0067280819790911,3.669016105001818,3.0213213486983914,3.5579513453626186,1.848747093349828,2.746272716522151,1860.4442729739987,837131.2675415201,57.434377007500004,10.4942710993,90.48329560266173,1.080469232352336,0.4287576318858476,2.91383686629622,1.0924744460451397,4.00116622075873,"50,219","54,124",0.5589999999999999,0.064,"133,943","60,889","4,399","19,762","19,400","10,563","1,015","2,515","13,454",770,"7,186","2,538",598,"2,564","4,074","13,451","6,106","2,796","2,752",7855141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bay City, MI",4978.0,13969.0,5.61229409401366,4711.197509999991,0.33726089984966645,2.904379268782644,3969.0,2461.8239550000076,7179.0,342.9201776013383,1.0299771884450994,0.0061289873241398,4.240714915161481,3.3811565886452226,4.013428193838608,2.0972064211471197,1.1113924281334322,1173.8586770364034,656686.090037189,46.899405221756105,8.7241655595,91.23021237625922,0.5538354193013825,0.8830840347128341,1.6549648946840525,0.7151890453970607,4.962714229645458,"48,290","44,627",0.55,0.059,"103,506","48,340","3,153","15,798","17,209","8,467",609,"2,980","7,904","1,346","5,682","2,242",546,"2,210","2,791","12,031","4,456","2,718","1,455",4255806.0,100371.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,562705.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beaumont-Port Arthur, TX",28576.0,72659.0,5.085316349384098,19188.755617000137,0.2640933073260041,2.69138437849944,21535.0,10114.921832000005,38424.0,263.2448946491777,1.07307018788266,0.0045544451384551,4.210608380374783,3.173133100201951,2.827419345251416,1.4904106464394975,11.70227902745086,6786.667725545274,1040863.2717243194,56.8101211131,10.1969398539,95.66982740643516,0.4587774929159357,0.0515204671189018,0.7556335177438942,0.9034481912636008,2.160792924522516,"54,256","146,770",0.537,0.052,"394,268","171,941","9,461","50,264","57,292","29,753","2,442","21,247","21,408","3,619","19,753","8,605","1,094","6,544","14,233","35,640","15,149","8,348","7,672",23615808.0,21789.0,0.0,0.0,255286.0,0.0,0.0,0.0,0.0,137653.0,0.0,0.0,758108.0,0.0,0.0,0.0
"Beckley, WV",10967.0,25596.0,4.6678216467584575,8739.234813000096,0.3414297082747342,2.387435032369837,7252.0,4548.089799000002,13054.0,348.405837214647,1.1807730435381223,0.0062815995097288,3.315569563731801,2.192441914487373,2.6420662857926955,1.3749893417236698,1.6899177748644525,3307.727311761247,408045.5530151195,28.2303762616515,5.5327777982,91.97467884802673,0.1391272086444372,0.0463757362148124,2.444001298520614,1.2104067152066038,4.18541019338682,"43,444","48,504",0.461,0.07,"117,539","57,613","4,198","16,976","18,129","9,201","2,244","2,688","1,573",886,"5,985","2,353",970,"1,318","2,951","12,714","4,950","2,399","3,233",4991241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bellingham, WA",9509.0,23068.0,4.851824587233147,6308.88512599995,0.273490771891796,2.5352823640761386,6590.0,3262.893231999994,12058.0,270.5998699618505,1.095053618684618,0.0080444518162215,1.467396782245734,1.0169465553685335,0.9735658569197916,0.5035186696233226,9.72430986936795,6480.183216326283,1017067.814491978,108.2494664966,23.1919713817,83.82265164515407,2.35395060807282,2.173020965455495,3.741699619488174,0.921435499515034,6.987241662314407,"65,420","88,978",0.591,0.052,"224,538","98,000","6,494","24,726","32,972","24,786","2,930","9,363","12,296","2,925","12,771","4,253","1,950","5,318","10,211","25,296","10,643","6,509","5,222",15603598.0,354935.0,82976.0,49438.0,0.0,0.0,0.0,0.0,0.0,1700907.0,556482.0,0.0,0.0,226111.0,0.0,0.0
"Bend, OR",12623.0,32310.0,5.119226808207241,9682.531407999932,0.29967599529557204,2.6916739285431355,9764.0,4949.627793999989,17008.0,291.0176266462835,1.1069313693630525,0.029574317968015,1.5961814690569656,1.2346602126176196,1.224358489028879,0.6258816575704738,14.779974804385038,7908.248682687534,880151.88511571,143.8857273276,35.7296048888,81.52467627921052,0.5155753474999459,1.8926046823320868,2.033117879763938,1.1035690352147691,12.93045677597873,"68,937","77,040",0.6,0.0559999999999999,"191,749","90,802","3,316","17,888","33,583","22,253","2,185","8,092","7,419","2,342","12,848","2,574","1,672","5,112","11,121","21,695","11,727","4,395","3,323",12267151.0,88431.0,63257.0,0.0,0.0,0.0,0.0,0.0,0.0,701946.0,481131.0,0.0,0.0,0.0,0.0,0.0
