msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Income,Employment Rate,Unemployment Rate,    Total population,Total housing units
"Beaumont-Port Arthur, TX",28576,72659,5.085316349384098,19188.755617000137,0.2640933073260041,2.69138437849944,21535,10114.921832000005,38424,263.2448946491777,1.07307018788266,0.0045544451384551,4.210608380374783,3.173133100201951,2.827419345251416,1.4904106464394975,11.70227902745086,6786.667725545274,1040863.2717243194,56.8101211131,10.1969398539,95.66982740643516,0.4587774929159357,0.0515204671189018,0.7556335177438942,0.9034481912636008,2.160792924522516,"54,256",0.537,0.052,"394,268","171,941"
"Beckley, WV",10967,25596,4.6678216467584575,8739.234813000096,0.3414297082747342,2.387435032369837,7252,4548.089799000002,13054,348.405837214647,1.1807730435381223,0.0062815995097288,3.315569563731801,2.192441914487373,2.6420662857926955,1.3749893417236698,1.6899177748644525,3307.727311761247,408045.5530151195,28.2303762616515,5.5327777982,91.97467884802673,0.1391272086444372,0.0463757362148124,2.444001298520614,1.2104067152066038,4.18541019338682,"43,444",0.461,0.07,"117,539","57,613"
"Bellingham, WA",9509,23068,4.851824587233147,6308.88512599995,0.273490771891796,2.5352823640761386,6590,3262.893231999994,12058,270.5998699618505,1.095053618684618,0.0080444518162215,1.467396782245734,1.0169465553685335,0.9735658569197916,0.5035186696233226,9.72430986936795,6480.183216326283,1017067.814491978,108.2494664966,23.1919713817,83.82265164515407,2.35395060807282,2.173020965455495,3.741699619488174,0.921435499515034,6.987241662314407,"65,420",0.591,0.052,"224,538","98,000"
"Bend, OR",12623,32310,5.119226808207241,9682.531407999932,0.29967599529557204,2.6916739285431355,9764,4949.627793999989,17008,291.0176266462835,1.1069313693630525,0.029574317968015,1.5961814690569656,1.2346602126176196,1.224358489028879,0.6258816575704738,14.779974804385038,7908.248682687534,880151.88511571,143.8857273276,35.7296048888,81.52467627921052,0.5155753474999459,1.8926046823320868,2.033117879763938,1.1035690352147691,12.93045677597873,"68,937",0.6,0.0559999999999999,"191,749","90,802"
"Billings, MT",13038,33362,5.1176560822212,16933.092497999933,0.5075562765421717,2.6675870532290227,9776,8766.506810000035,17353,505.1868155362206,1.0996543066764728,0.0040915115541981,0.772427427237835,0.579172459631621,1.0031895285634584,0.5193657233556748,17.541709356325928,16879.25563003801,447200.235459188,48.09830431907833,9.285983672866665,89.6067727403857,0.8732219337372122,0.4637951312606795,2.6440760712779885,0.8610167987040366,5.551117324634401,"62,722",0.636,0.035,"180,641","83,956"
"Binghamton, NY",10477,26912,5.137348477617639,10415.024979999964,0.38700300906658613,2.6803474276987687,8245,5483.928640000017,13961,392.80342668863386,1.0716749194213036,0.0052288518014468,3.268159337759143,2.5719169361290577,3.248827063222451,1.7106378345347766,8.83843013998542,3205.780048405992,739479.646148745,50.301805704452,8.5533791071415,88.49638908788167,2.488915564676954,0.3591550659257682,3.3534047125791404,0.8218939379271623,4.480241631009313,"54,695",0.531,0.072,"240,473","113,726"
"Baltimore-Columbia-Towson, MD",91320,218780,4.791502409110819,42454.62483899869,0.19405167217752395,2.663250109505037,68878,23469.613137000128,121763,192.74831547350288,1.0814034828480072,0.0195543802304476,11.327782353172497,8.543966194938845,5.2662806620868166,2.91128635051572,151.80662617506303,8061.595566799057,3085013.5210580346,228.30811063503,43.185643620696396,82.55462821216307,5.707111791495058,0.2620474574920165,2.3750808667636,1.2484618412072117,7.85266983087904,"83,811",0.626,0.05,"2,800,427","1,164,762"
"Bismarck, ND",6859,19081,5.56378480828109,12557.89011899997,0.6581358481735744,2.9026097098702435,5742,6520.616621000009,9904,658.3821305533128,1.0617589804335392,0.002827140549273,0.6095733935912887,0.5103033133111503,1.1160454433861096,0.5795005688833268,10.456106027305044,11252.131526919748,403736.659341024,32.404799660836666,5.053268149333333,92.57561061634776,0.1690033212826617,0.216030332422185,1.294712400435,0.6833612556211974,5.061282073891191,"72,886",0.677,0.024,"128,589","59,232"
"Blacksburg-Christiansburg, VA",9460,22150,4.6828752642706135,7508.689059999981,0.3389927340857779,2.50708245243129,6589,4031.526715999989,11835,340.6444204478233,1.1403021167260616,0.0082805238698774,3.352796176396882,2.33526152286248,2.661216064494824,1.4288464438104271,5.934730948336399,2821.525527437904,393754.589491568,25.590406810272,5.1250803454,87.04865727200213,1.9968093592129756,0.6899760701940972,4.655676681733581,0.8800850837543207,4.728795533102899,"55,475",0.534,0.042,"167,201","72,845"
"Bloomington, IL",9033,24503,5.425218642754345,9449.33703399995,0.3856400046524895,2.9479685597254512,7647,4997.883852000003,13257,376.9996116768502,1.043363873413884,0.0055819567021196,2.940565208381241,2.489372539410091,3.0760978328848276,1.6269902989839067,4.594963851216923,3071.8584217258685,1115636.31058864,84.9612112055,18.0546175245,86.74299806235688,1.1261816687217423,0.4556397158123422,4.246374258704715,0.6811109153895837,6.747695379014738,"68,037",0.621,0.033,"172,164","72,580"
