msa,Node count,Edge count,Degree average,Edge length total (km),Edge length average (km),Streets per node average,Intersection count,Street length total (km),Street segment count,Street length average (km),Circuity average,Self-loop proportion,Node density (per sq km),Intersection density (per sq km),Edge density (km/sq km),Street density (km/sq km),Building area (sq km),Area (sq km),Carbon Dioxide (Ton),Methane (Ton),Nitrous Oxide (Ton),"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Income,Employment Rate,Unemployment Rate,    Total population,Total housing units
"Dallas-Fort Worth-Arlington, TX",306229,762195,4.977941344549341,141165.5920449943,0.18520928639651837,2.837203530691084,251068,80187.1024009992,434864,184.39581662542588,1.0692543779827168,0.0043530851024688,13.131556621679884,10.766170603998724,6.0533913018421055,3.438542644580245,703.9591168151902,23320.083735878143,3453554.848224482,233.50631355480908,46.18439124185918,87.88439739541002,1.1762168748424695,0.144543691309452,1.2470060828578784,1.1649757858316452,8.38286016974853,"72,882",0.657,0.046,"7,451,858","2,821,032"
"Des Moines-West Des Moines, IA",32219,86749,5.38495918557373,30190.729559999727,0.3480239490945109,2.8803190663893976,26345,15998.990148000012,46316,345.4311716901289,1.0461696775757916,0.004749978409189,3.414488832371883,2.7919770411507887,3.1995378169334483,1.6955328591692422,24.020330760963407,9435.965844884313,676953.67364704,58.758469105806945,10.063734977459001,89.07057085411506,0.9025471268453618,0.1930062317407773,1.7878764315785964,0.8800528753762927,7.165946480343913,"71,734",0.682,0.042,"690,585","291,476"
"Detroit-Warren-Dearborn, MI",146391,386138,5.275433599060052,71488.1920310033,0.1851363813740251,2.904714087614676,124094,38576.989565000105,212881,181.2138686167394,1.0567736009494784,0.0097707169733325,13.463069510294142,11.412492214756654,6.574519598053522,3.5477911347793802,168.92206296519845,10873.523299279292,3131636.760905633,271.70299793419935,48.39102358111666,89.85234541309566,1.324663952452606,0.2233439184326671,1.371214904356666,0.9996628201321544,6.228768991530243,"62,768",0.584,0.065,"4,317,384","1,910,964"
"Dothan, AL",12672,33332,5.260732323232324,12721.966378000001,0.3816742583103324,2.794270833333333,10373,6554.041934000014,17654,371.2496847173453,1.0557697262996624,0.0082134360484875,2.828938075762226,2.315701914447725,2.8400927308468322,1.4631454211833126,8.589296021024984,4479.419365369343,371950.039593785,30.463459207426666,6.6958783601333325,95.04931127231234,0.0374928682044176,0.078245985817915,0.7270356182247942,0.9976363191784172,3.110277936262124,"47,608",0.522,0.053,"148,825","69,902"
"Dover, DE",8018,19869,4.956098777750063,5535.471314999995,0.2785983851728821,2.714018458468446,6271,2941.284628999995,10857,270.9113593994653,1.070956152034814,0.008842221608179,3.8795604633776737,3.0342633656574445,2.678373117963981,1.4231593362694999,3.922292185304984,2066.728969863577,943826.6751694201,107.75712503560001,14.54079589641,90.70883966218484,0.8184181395290986,0.289804599559696,2.12067314270078,1.072152638714412,4.99011181731116,"60,117",0.56,0.062,"179,124","73,073"
"Dubuque, IA",5437,13784,5.070443259150267,4594.720732999966,0.3333372557312801,2.6952363435718225,4122,2450.8743480000053,7296,335.9202779605271,1.0622299027511208,0.0041118421052631,3.409677477261341,2.5850083798549286,2.881463269747232,1.5370040581153561,4.178573826110598,1594.5789700810672,553709.09084122,53.917293973408,8.5527750281,88.91383215409593,0.8719007436210939,0.2224850173377963,3.0125673969252973,0.6293720310276403,6.349842656992243,"64,493",0.65,0.0409999999999999,"97,193","41,518"
"Duluth, MN-WI",28903,71903,4.97546967442826,36662.40782899959,0.5098870398870643,2.5695256547763208,20073,18848.106965000065,37074,508.3915133247036,1.0725604698667943,0.0068241894589199,0.9924373578627826,0.6892431610690806,1.258870814749339,0.647184218837483,8.146157436492848,29123.248707850653,607938.7490332945,68.92692704545249,8.140651889699999,87.81298071020532,1.4812193519033416,0.5098687773982248,4.077505831714415,0.7286934793127604,5.389731849465938,"58,729",0.588,0.047,"289,276","152,311"
"Durham-Chapel Hill, NC",32806,76735,4.678107663232336,22182.97586000006,0.2890855002280584,2.50268243613973,22928,11684.310672999956,41017,284.8650723602398,1.072837750040004,0.0094838725406538,5.393155488282181,3.769257728322071,3.64677918691064,1.920846925345479,40.13910270028983,6082.895268137228,743527.3030219155,59.330422258852366,12.172849181988614,82.01361958792512,3.082004901501771,0.643523915001889,2.6709632839416084,1.3600214400340973,10.229866871595506,"64,745",0.607,0.046,"636,256","274,384"
"East Stroudsburg, PA",12393,30460,4.915678205438554,8053.570425999956,0.26439824116874444,2.5343338981683208,9000,4182.698774000016,15674,266.8558615541671,1.1075828513659605,0.0082301901237718,7.752217707371451,5.629787732295898,5.037765776163955,2.6164118050838203,4.47333745361677,1598.6393142978568,888318.516124754,95.80305557486331,18.563276848999998,88.08545290293029,3.486315575178451,0.0,1.5408496939931036,1.3678062931813264,5.519575534716832,"68,734",0.5720000000000001,0.062,"168,824","81,648"
"Eau Claire, WI",11281,29158,5.169399875897527,12205.034133999956,0.418582692022771,2.798244836450669,8991,6422.2593659999775,15721,408.51468519814114,1.0553096168631508,0.0062973093314674,2.583438416172636,2.05901026503042,2.795049556996172,1.470748299330632,4.936017032504212,4366.661086008314,712256.9553165049,54.9087018688015,8.3343729482,88.02483669182651,0.4835768529418554,0.6370749948064538,2.63485908178104,0.7097846409528425,7.509867737691296,"62,031",0.6459999999999999,0.034,"168,307","73,045"
"El Centro, CA",8682,24590,5.6645934116563,10563.91263200002,0.4296019777145189,2.9349228288412808,7203,5633.911167999993,12728,442.639155248271,1.0395437387745634,0.0019641734758013,0.7478631974235002,0.6204628669709136,0.9099702232515592,0.48530232896803055,2.804135231507997,11609.075068690076,1785310.8337036802,40.4257139339,25.1828610526,88.53406274040516,0.743653303701171,0.4034532866056928,2.836139841012052,1.6291990768441746,5.853491751431746,"46,222",0.442,0.1369999999999999,"180,580","57,855"
"Elizabethtown-Fort Knox, KY",9789,23366,4.77392992134028,8848.936064000007,0.37870992313618107,2.500255388701604,6822,4643.347918000022,12207,380.384035225692,1.0888678119430135,0.012124191037929,3.109947092763118,2.1673367112912443,2.811290528785732,1.4751829970652617,2.8226586483798632,3147.6419720384038,376891.85959378834,24.445343141832335,4.9220289186,92.39718147828587,0.2861662352602818,0.1639344262295081,1.7644521138912856,1.1691113028472822,4.219154443485763,"56,680",0.557,0.06,"152,275","65,903"
"Elkhart-Goshen, IN",8987,23967,5.333704239456994,6075.715036000022,0.25350336028706233,2.766440413931234,7078,3150.9727869999842,12389,254.3363295665497,1.048368062175748,0.0074259423682298,7.427976354558543,5.850140941088835,5.02172778729765,2.604356443272873,14.399989080850016,1209.8853807584735,1558138.28965041,140.6260794575,20.2080783778,91.69887570592198,0.2891041914926688,1.1626340604113776,1.7802186415211647,1.0548676234392,4.014299777213616,"58,509",0.637,0.044,"205,184","79,389"
"Elmira, NY",4060,10714,5.277832512315271,3643.9543709999816,0.3401114775994009,2.774137931034483,3262,1904.6286559999983,5590,340.7206898032197,1.07694694993006,0.0076923076923076,3.814104917288192,3.064436019752237,3.4232572130061163,1.789274266615171,9.168683254876523,1064.469931489624,469129.69794501,36.841843346429,5.895294292899999,90.21523725641308,1.4422547616426291,0.4293735549928438,3.217549267863041,1.0459099416492348,3.649675217439172,"54,883",0.5479999999999999,0.059,"84,115","38,983"
"El Paso, TX",36058,94407,5.2363969160796495,27296.01337999995,0.2891312442933252,2.901575239891286,30026,14781.606420000096,52297,282.64731093561954,1.0669891709963886,0.0018739124615178,2.495141926027811,2.077739516082729,1.8888298684856055,1.0228577822559235,15.667358756910556,14451.28215908873,2459361.0624238504,165.05547301640001,34.45297256265,90.58021412338108,1.29322855343501,0.1388242381095808,1.4260288601078832,2.150817337969935,4.410886886996523,"48,193",0.5579999999999999,0.062,"841,602","300,662"
"Enid, OK",4996,14594,5.842273819055245,7038.374335000004,0.48227863060161735,3.0384307445956766,4200,3620.384007999998,7525,481.1141538870429,1.0164512673910464,0.0030564784053156,1.820527652717586,1.530467602364664,2.5647628316743907,1.319257245800745,1.5629311900262297,2744.2593319262355,373603.0917882,40.4626731932,8.0813300844,92.40115025161754,0.3666427030913012,0.5463695183321351,1.1250898634076203,1.588785046728972,3.9719626168224296,"55,435",0.573,0.051,"61,555","26,776"
"Erie, PA",10375,28802,5.5521927710843375,8667.464752999946,0.3009327391500572,2.9624096385542167,9018,4579.331558999989,15415,297.0698384041511,1.0461211813043014,0.0112228349010703,2.578015946788234,2.240823885121571,2.153721672429765,1.1378881720224192,13.180903809326756,4024.4126545941153,1276314.8374467702,164.6522753818,24.9781312101,89.24749393140267,1.4903345994725763,0.3233897047556835,3.197606432309938,1.1588803135509158,4.582295018508214,"52,863",0.569,0.054,"272,046","121,613"
"Eugene-Springfield, OR",19981,48470,4.8516090285771485,18086.616894999912,0.3731507508768292,2.496671838246334,13768,9223.722685999996,24933,369.9403475714914,1.215594056734668,0.0045722536397545,1.6349956089866675,1.1266012484124135,1.4799829440342789,0.7547543211110906,22.565859745450943,12220.827927717652,2063600.6304765,252.9684871996,56.405607045,79.90935860863163,2.876253795895831,3.303579644796172,4.37448237784117,1.0392702677831969,8.497055305051992,"54,942",0.5579999999999999,0.071,"377,749","163,617"
"Evansville, IN-KY",17940,46366,5.169007803790413,14054.670461000016,0.3031244977138424,2.692586399108138,13613,7387.666107,24107,306.4531508275605,1.0672652342216498,0.0061807773675695,4.585646871960378,3.479621564548307,3.5925170365617975,1.8883627633585425,5.695687476452109,3912.207045356416,612976.1883148872,46.280850390060294,7.683806666674999,92.52729023972604,0.8922838184931506,0.1170537243150684,2.1317155393835616,1.0501391267123288,3.2815175513698627,"55,553",0.601,0.044,"315,186","142,916"
"Fargo, ND-MN",11470,32019,5.58308631211857,16722.478055999894,0.5222673430150815,3.062772449869224,10011,8791.460622999992,17517,501.881636296169,1.0326496250228017,0.0033681566478278,1.5672025078137894,1.3678521626611897,2.284874415538282,1.2012205000620548,20.91615428873188,7318.773383026537,1068453.076647568,82.9900063898415,11.935706947749999,89.48411114578269,0.9259729610089912,0.4564553232559996,2.5377174331100645,1.2779297682890545,5.317813368553203,"65,995",0.722,0.031,"243,966","110,404"
"Farmington, NM",15227,36902,4.846916661193932,19478.288104000152,0.5278382771665533,2.51796151572864,10724,10051.603546999955,19159,524.6413459470723,1.1048708104874274,0.0065765436609426,1.0572708805941986,0.7446097670908377,1.3524546408474252,0.6979226199199065,6.130189814553781,14402.174768534482,867006.199333149,72.14321051979,13.935897412,93.67045575268246,0.3420801019866142,0.0701157973016041,2.2798257728673117,0.526930840327207,3.1105917348348027,"47,643",0.498,0.0819999999999999,"125,608","51,299"
"Fayetteville, NC",28238,67345,4.769813726184574,17358.309256999783,0.2577520121315582,2.516077625894185,19787,9147.12094599997,35489,257.7452434838956,1.0669379118327516,0.0083969680746146,6.586184242052586,4.615087031570739,4.048623234546622,2.133459304295423,21.41226171990703,4287.459773703448,824282.7389861406,65.24869203894566,14.246502376530401,89.85227589459917,0.4716879998284771,0.0990544799639802,3.872558478591797,1.498681417636843,4.205741729379731,"50,133",0.497,0.075,"523,480","220,640"
"Fayetteville-Springdale-Rogers, AR",33165,81981,4.943826322930801,24540.541436000705,0.29934425581538043,2.5343283582089557,23962,12564.657411999944,42007,299.1086583664614,1.1168054958859968,0.0091889446996929,4.796263445605359,3.465341917189676,3.5490095529882044,1.8170784577635983,23.323080301797315,6914.7577851228925,942097.5788136435,68.54491160988434,13.897503606899997,90.8256807633314,0.3629409772713691,0.4127407820561343,1.3991753152327642,0.535447501045796,6.464014661062528,"61,761",0.623,0.035,"526,101","211,669"
"Flagstaff, AZ",13528,33471,4.948403311649911,26433.157605000113,0.7897331303217744,2.56785925487877,9897,13537.895313000037,17351,780.2371801625287,1.1344376227701558,0.0087603019998847,0.2801509281128372,0.2049566628868088,0.5474034325838026,0.2803558498396946,9.565052256143382,48288.25694466837,2027572.68696005,212.185403917,27.4058204144,80.57761508872069,1.6472267030648964,1.5898374488149896,8.442424618439013,0.8515324481945651,6.891363692765852,"59,000",0.565,0.081,"142,254","66,807"
"Flint, MI",15691,41778,5.325090816391562,9751.182480000012,0.2334047221025423,2.800395130966796,12516,5125.07681100002,21930,233.7016329685372,1.054887953049439,0.0067487460100319,9.323495708183843,7.436930232848702,5.794092664712102,3.045289124432556,10.821735258213392,1682.952455936348,1943227.3909518002,160.5767141832,31.2838273666,92.1437463887681,1.4629584403052198,0.1036460784255326,1.11151484104623,0.6909738561702178,4.4871603952847,"50,269",0.525,0.089,"406,770","192,583"
"Florence, SC",16532,41184,4.982337285264941,13118.633103000035,0.31853712856934824,2.570529881442052,12123,6751.4390170000215,21200,318.4641045754728,1.0655815308998535,0.0056603773584905,4.65589146215412,3.4141889786894746,3.694588184090871,1.9014013595756476,3.412404333596416,3550.770058619712,753429.65904996,56.997956957844494,11.767668997912,93.49563449900678,0.2448376218413637,0.1732341663971913,0.9678015429389756,0.7460618099505706,4.372430359865109,"45,037",0.537,0.059,"205,095","92,248"
"Florence-Muscle Shoals, AL",13582,34548,5.087321454866736,10566.23833899984,0.3058422582783328,2.6568988366956265,10233,5457.207193999982,18026,302.7408850549197,1.0781526480737442,0.0120381670919782,3.9077865098937976,2.9442187715905783,3.040097455563704,1.570136994139929,16.480357988110427,3475.6248750060604,532716.2473593266,53.67862287186385,9.6901814067,94.20548739403624,0.0297716980836428,0.0955828201632742,1.007536940409596,0.6988514392265627,3.962769708080666,"48,244",0.534,0.044,"147,827","71,999"
"Fond du Lac, WI",5686,14590,5.131902919451284,5834.5340209999795,0.3998995216586689,2.750791417516708,4480,3044.2463699999994,7751,392.75530512191966,1.0428264972065802,0.0117404205908914,2.86657132774034,2.2585718516139157,2.941454086409444,1.534743116218714,10.04463915753906,1983.5543406771455,838799.61308592,70.1364455748,10.3113234523,91.20592986790838,0.1672526845956476,0.439038297063575,2.6912477430390576,0.8685736006842155,4.627957806709113,"64,147",0.64,0.036,"102,654","45,338"
"Fort Collins, CO",19068,47497,4.98185441577512,11747.32097800008,0.24732764128260906,2.6660373400461506,14490,6134.766297000034,25440,241.14647393868057,1.1387130124673095,0.0135613207547169,2.796143632199371,2.1248228042043675,1.7226346102389873,0.8996060266618396,21.84953203709301,6819.392172998505,1760679.1300382998,187.16997088517002,29.5637545405,80.34269890437048,1.4037411205849195,2.6991232774755645,2.8041986362094065,1.0923459168372318,11.6578921445224,"76,366",0.638,0.051,"350,523","144,583"
"Fort Smith, AR-OK",19351,49116,5.076326804816288,17781.111195000245,0.3620227867701003,2.604206500956023,14118,9191.93322200002,25115,365.9937575950634,1.1011775429624866,0.0057734421660362,3.008420184637297,2.194867250618023,2.764356044872045,1.4290319591185472,4.617606217463537,6432.279672506254,508754.520568408,35.25586405393338,6.0475207459249996,93.53904769090036,0.1942718107830285,0.0518686873449833,1.424974301423088,1.358959608438564,3.430877901109989,"46,424",0.545,0.051,"250,260","111,454"
"Fort Wayne, IN",18120,46048,5.082560706401766,12251.092841999924,0.26605048736101294,2.7421633554083886,14008,6538.892762000005,24791,263.7607503529509,1.0478737541015914,0.0101649792263321,7.011609966605328,5.420454327384516,4.7406117369080505,2.5302519680244306,18.500301577538007,2584.2852192722294,1471415.5005955198,133.96618705625,19.706527363057,91.88715834788611,0.7614831661454737,0.318299963448808,1.2275108638265035,0.6249238516833854,5.180623807009707,"57,693",0.632,0.05,"409,419","174,335"
"Fresno, CA",35959,95037,5.285853332962541,29716.78612800047,0.3126864918715918,2.9045301593481465,29919,15804.664874999899,52211,302.7075688073376,1.0616815934556532,0.0024707437130106,2.308557529564021,1.9207912546796615,1.9078091818526415,1.0146549709229131,11.421791111822245,15576.393284334124,5736494.8160248995,209.2556586042,80.28104164599999,90.2451373040942,0.942060745285918,0.4057914065924101,1.545584153228447,1.2277016236694025,5.633724767129636,"57,109",0.5529999999999999,0.089,"990,204","333,357"
"Gadsden, AL",7800,20157,5.168461538461538,6137.888248999969,0.304504055613433,2.6964102564102563,6013,3176.710941999987,10470,303.4107872015269,1.0840144122931237,0.0054441260744985,5.49071837366803,4.232780715495624,4.3206943313211825,2.236208350906616,0.7558703464167963,1420.5791426868016,724030.26622887,58.4522871436,13.0445519039,95.58924715875388,0.0545709065888438,0.0189811849004674,0.7521294516810212,0.5077466960875032,3.077324601988279,"44,934",0.517,0.057,"102,721","47,805"
"Gainesville, FL",22560,55964,4.961347517730497,16833.001658000037,0.3007826756128946,2.691932624113475,17239,8895.23161500005,30399,292.6159286489704,1.0657254802452036,0.0057238724958057,3.1833505923102448,2.432525747377496,2.375236959146886,1.2551702495721289,13.202703040700046,7086.872572093163,820572.8361625875,64.874685441517,9.06716831,84.95137034817196,2.7168582793003866,1.7136163025118512,2.578597504495178,1.5140576472511305,6.525499918269492,"47,848",0.5479999999999999,0.051,"327,329","147,228"
"Gainesville, GA",9523,21807,4.579859288039484,5672.624003999963,0.26012858274865697,2.472330148062585,6572,3008.765959000008,11737,256.34880795774114,1.1011332082025729,0.0089460679901167,8.557506529704918,5.905694939958072,5.097502567971285,2.7037209220304996,13.346600718551818,1112.8241581754744,1349137.995336,129.4656464993,23.74793351892,91.24492213947192,0.4760494245091402,0.0761679079214624,1.1605027081922816,1.6354942450914016,5.406863574813812,"63,651",0.612,0.035,"201,434","74,544"
"Gettysburg, PA",5081,13177,5.186774257036016,5183.975177000023,0.39341088085300324,2.6762448336941547,3941,2659.4799680000087,6749,394.05541087568656,1.0645903555357228,0.004296932878945,3.759587635919913,2.9160666941862576,3.835782125637674,1.9678307430957525,2.2642108076949885,1351.478005580992,563116.208411262,52.4614827198241,12.6812299803,89.48922409464318,0.3715829433386225,0.3133348062747303,3.213690320766465,0.5061562255207183,6.106011609456283,"68,411",0.606,0.039,"102,627","42,525"
"Glens Falls, NY",9435,23446,4.970005299417064,9944.977489000039,0.42416520894822307,2.5225225225225225,6867,5047.17959600001,11870,425.2046837405232,1.085326395612382,0.0152485256950294,2.050563435286036,1.4924450567153371,2.1613998096116815,1.0969329020539869,3.710902716089719,4601.174407795826,378389.7580227231,39.8413880409383,4.56796965582535,90.07515473032714,0.5645106440862409,0.5951166428620009,3.060599877576005,0.8654696320478814,4.839148473100727,"62,284",0.573,0.048,"125,491","69,681"
"Goldsboro, NC",7027,17508,4.983065319481998,5292.363476000013,0.3022825837331513,2.5918599686921877,5082,2778.924612000001,9060,306.72457086092726,1.0587110669958777,0.0059602649006622,4.86451166198291,3.5180657842887646,3.6636920234032253,1.9237386057841663,2.725438508610268,1444.5437668322086,621268.88183231,57.22602487029,12.9821917286,94.59691252144084,0.3996204518083281,0.0729900368599686,1.6878946023867742,0.2737126382248823,2.9688697492792238,"47,221",0.542,0.054,"123,785","54,507"
"Grand Forks, ND-MN",8330,24585,5.902761104441777,18925.59348100008,0.769802460077286,3.0837935174069626,7231,9741.103157000001,12740,764.607783124019,1.023379889848359,0.0040816326530612,0.936303708318854,0.8127745636078791,2.1272633083307926,1.0949136865564941,7.550687359332644,8896.685900087514,549276.637933098,41.96028424394299,5.227270367,89.1297074240678,0.944273021301907,0.806721439458716,3.773374474887542,0.6561582214952228,4.689765418788803,"55,122",0.659,0.037,"101,627","48,287"
"Grand Island, NE",6648,19555,5.882972322503009,10495.036793000014,0.5366932647916142,3.0934115523465704,5742,5364.118911000001,10204,525.6878587808703,1.025671836402576,0.0032340258722069,1.5811828534233687,1.365696742532639,2.4961751238175403,1.2758202234953724,5.736013751179852,4204.447313355711,294102.685573319,23.07897074703,4.4880008519666665,94.35102816566798,0.2771691787873188,0.0290367711110524,1.3937650133305175,1.0347649341393237,2.91423593696381,"57,938",0.669,0.037,"75,592","31,965"
"Grand Junction, CO",9597,23405,4.877565906012295,7739.5675439999295,0.330680091604355,2.6064395123476087,6991,4084.635461000001,12518,326.3009634925708,1.1452348159154229,0.0065505671832561,1.1080179793758886,0.8071432420357235,0.8935688226889666,0.47159003125813515,16.351048409629524,8661.411798936408,786447.6816630999,87.7351404097,17.0291843486,85.26878484314315,0.460036974934434,1.140777046877911,3.128538056952864,1.8229502558149533,8.178912822276681,"57,157",0.5760000000000001,0.069,"152,962","64,244"
"Grand Rapids-Kentwood, MI",41944,107024,5.10318519931337,32135.68093799998,0.3002661173007921,2.671848178523746,31834,16702.068583999902,55934,298.6031498551847,1.048117841857874,0.0104587549612042,5.891117929886476,4.471148392618875,4.513520078270139,2.345838634879731,32.66899142685971,7119.871049807397,1346289.2149406977,122.2633782287905,20.210541819225,89.06422238872958,1.4253280226249698,0.4086315912031534,2.228131355526385,0.6736036386239481,6.200083003291963,"66,297",0.644,0.044,"1,069,696","421,432"
"Grants Pass, OR",4109,9556,4.651253346312972,4238.863337999988,0.4435813455420666,2.392796300803115,2656,2178.707334999996,4907,443.9998644793144,1.1974960273504276,0.0050947625840635,0.9674748184302244,0.6253621605623452,0.9980514816943475,0.5129823517502359,0.6352964756462866,4247.138966021932,524743.0487916,63.547498804300005,16.308266523,86.09265354281811,0.3726013786251009,0.9159783891200398,3.089486431099795,1.450040365149351,8.079239893187605,"47,733",0.4529999999999999,0.075,"87,097","39,362"
"Great Falls, MT",5315,14237,5.357290686735654,7669.220701999953,0.5386823559738676,2.8421448730009407,4193,3997.783119000011,7527,531.1256966919107,1.103694774089626,0.0042513617643151,0.7569548888937244,0.5971612133831395,1.0922397186046708,0.5693586973967752,7.778645124130766,7021.554491533537,497859.02472416,65.27499587070001,12.3540847887,90.52822371828069,0.7845675815639565,0.5541170378042465,2.4262040393578457,0.6784049715173485,5.028482651475919,"52,049",0.5710000000000001,0.037,"81,576","39,012"
"Greeley, CO",16341,43636,5.3406768251636985,17376.604663000002,0.39821717533687784,2.7972584297166634,12939,8990.50550099997,22773,394.7879287313912,1.0411843205024556,0.004127695077504,1.5716070505109505,1.2444173322661518,1.6712070498936575,0.8646681251471168,7.562240653788544,10397.637243156503,2165596.210139,174.2641244415,30.1492349014,88.78224316093599,0.441187953876988,0.2427184466019417,2.0243889742054715,1.01121840755876,7.4982430568208445,"74,332",0.6459999999999999,0.051,"315,389","106,044"
"Green Bay, WI",17131,43524,5.081314575915008,16453.309239999886,0.37802842661519814,2.7656879341544567,13376,8662.86999800004,23605,366.9930098707918,1.0527878802298478,0.0047447574666384,3.47316765471789,2.7118726606448247,3.3357714941006704,1.7563247839635616,41.59181210213494,4932.38498773002,645642.6059697465,63.593741982579665,9.609868760991176,90.48052574460388,0.5679488725431087,0.1742433377547329,1.859399493548776,0.7807789702158446,6.137103581333655,"64,951",0.66,0.027,"320,827","144,200"
"Greensboro-High Point, NC",38566,92562,4.80018669294197,25100.065053000206,0.27117029723860986,2.5608048540164914,27809,13458.374257999965,49325,272.8509732995432,1.0652980260673564,0.0089812468322351,7.37473187929401,5.317738910731918,4.7997264408731555,2.5735596557574603,41.19352117518597,5229.478255105318,1486760.0018494197,145.656987498904,29.410548716449,90.439667187566,1.0758682828624122,0.1759795019076178,1.4568287085920233,0.9584547591896496,5.893201559882305,"52,233",0.586,0.057,"767,467","336,980"
"Greenville, NC",8731,21628,4.954300767380598,5788.576553999923,0.26764271102274473,2.5997022105142595,6419,3058.9440040000027,11337,269.8195293287468,1.0565192085809465,0.0063508864779042,5.1416361293055886,3.7801125087633225,3.408859735115937,1.8013946865753192,3.3772731725086524,1698.0976055921676,809670.44294336,65.9290355739,14.2129195027,89.66552982708072,0.9716986776760606,0.1735176210135822,1.836893436247233,0.9501585592054088,6.402201878777,"49,337",0.5770000000000001,0.081,"179,961","80,255"
"Greenville-Anderson, SC",53689,133955,4.9900352027417165,35497.65014900005,0.2649968284050618,2.573041032613757,39798,18289.621239999848,69080,264.7600063694245,1.0866922036718476,0.0077156919513607,7.433369907083325,5.510127876512921,4.91473419862074,2.5322416162969485,37.09230470063409,7222.699888625113,1315683.7147516226,115.43968418333975,23.038845530575003,90.75117769784852,0.3981515572044899,0.1675682309515043,1.4288141833526864,1.3160006419515329,5.938287688691268,"57,432",0.593,0.046,"908,680","390,288"
"Gulfport-Biloxi, MS",31469,77164,4.904127871873908,19493.610652999858,0.2526257147503999,2.59286917283676,23037,10355.69474800001,40805,253.78494664869527,1.0761575265358918,0.0065433157701262,4.005528900273618,2.932262521071637,2.481242519345153,1.3181236961938978,44.57920086258668,7856.390699827517,851943.7358046419,53.24249162474925,9.6519839853,92.43211509022971,0.1602133251397751,0.157469946284642,2.452032020717997,1.446858008197216,3.351311609430639,"51,058",0.539,0.086,"414,662","189,521"
"Hagerstown-Martinsburg, MD-WV",14569,34277,4.705470519596403,10447.942099999964,0.3048091169005445,2.4911112636419794,10147,5483.989767999978,18096,303.0498324491588,1.1039051580096944,0.0075707338638373,5.521856964818115,3.845856450134492,3.959917760512129,2.078509650313814,8.965994288701829,2638.4240107675246,643515.7621548107,41.768147014413664,7.530327720033334,90.19530051126964,1.0554761245312114,0.089827755279252,1.4686837988157708,1.014305070028221,6.176406740075905,"64,118",0.588,0.057,"285,990","121,091"
"Hanford-Corcoran, CA",6862,18396,5.361702127659575,8266.13166900001,0.4493439698303985,2.838239580297289,5458,4261.316529999993,9701,439.26569735078783,1.0462373954003164,0.0067003401711163,1.9019880125293087,1.51283161940906,2.2911809012572006,1.1811385831613201,1.4684433356945097,3607.804021264439,1048764.4148025198,25.511894380999998,14.8632060656,91.09794908062234,0.2634370579915134,0.5127298444130127,1.768033946251768,1.2093352192362092,5.148514851485149,"61,556",0.47,0.084,"151,090","46,267"
"Harrisburg-Carlisle, PA",26930,70171,5.211362792424805,18787.131945000412,0.2677335643642019,2.7662086891942077,21559,9933.869201000061,37229,266.83148086169547,1.089729371313603,0.008246259636305,6.23831442709987,4.994126280499298,4.3520251116347906,2.3011733959718432,24.9837767500686,4316.871218131191,1246728.5765614533,110.60369756723333,22.453507560833334,86.15246523565423,1.1858095551986985,0.3415075419170704,3.2103111435243297,1.4007419198754585,7.709164603830214,"67,219",0.621,0.039,"574,691","252,832"
"Harrisonburg, VA",6267,15186,4.8463379607467685,5555.084104999987,0.3658029833399175,2.5254507738950056,4384,2898.894484000005,7882,367.78666379091663,1.1029443450910985,0.0102765795483379,2.7909777197517416,1.9523929030463756,2.4739294667946403,1.2910084437139355,3.990995424052873,2245.449670073845,661407.61580561,44.263862795499996,10.3200175373,87.55622655605535,0.728416006474809,0.8933991190524366,4.482560039844978,0.989898675465766,5.349499603106663,"59,261",0.596,0.038,"134,696","54,100"
"Denver-Aurora-Lakewood, CO",95402,234440,4.914781660761829,55081.15590400115,0.234947773008024,2.690939393304124,73093,29614.294976999932,128377,230.68224819866435,1.1059379574354984,0.0053903736650646,3.0041977525474017,2.3016899679980214,1.7344991171517716,0.9325506636462444,140.3628023410565,31756.23173244974,1438634.311334367,144.38383166065842,24.608591153425998,80.62977869120641,3.782547512936416,0.7959111715357566,2.236911905314016,1.10924401780127,11.445606701206128,"83,289",0.6809999999999999,0.0409999999999999,"2,928,437","1,156,748"
"Hartford-East Hartford-Middletown, CT",39460,100168,5.076938672072985,24164.236155999777,0.2412370832601208,2.675798276735935,31262,12837.578618000112,52798,243.14516871851416,1.088179100814639,0.0227849539755293,9.726955447281428,7.706134850301876,5.956524290597994,3.1644844213953314,100.61024139606496,4056.767835924304,2003101.8468640565,152.44998925993335,30.195175775566668,86.33556240886145,2.629435409619586,0.1743556224296646,2.380095256896669,0.8916855095713108,7.588865792621322,"78,631",0.618,0.055,"1,205,842","516,829"
"Hattiesburg, MS",15780,39159,4.963117870722433,13789.039692999853,0.3521295153859867,2.6287072243346006,11956,7236.546661000047,20686,349.8282249347407,1.0833623465252462,0.0175481001643623,2.991202195971048,2.2663379882781904,2.6138026495584983,1.3717347442097778,3.2692628301354945,5275.470852908112,344524.5061957785,18.0257363296375,3.9876070652749998,91.13718808398372,0.3146641750027481,0.2171045399582279,1.304001319116192,5.361657689348136,1.665384192590964,"48,231",0.555,0.078,"168,646","72,186"
