MSA,carbon dioxide equivalent (Ton),Auto + Scale,Transit Propensity,Density,Sustainable Transit,Warm Weather,Remote + Active,Network Connectivity,Network Sprawl,Cluster
"Bend, OR",894396.4505557624,-0.3406727010161304,-0.0780887009911292,-1.1755138502041589,-0.069401375566314,-1.152183138725779,1.7487023500641266,0.0105122333990094,-1.2520135270702395,1
"Billings, MT",1353509.7486050376,0.1532166794636199,-0.110839966119002,-1.4117383389243945,-0.1300324596144399,-1.2379538841148787,0.0064382090356787,-0.2024954489411118,1.1178431690650783,3
"Binghamton, NY",1486572.1965305689,-0.3808958671619105,0.0748317699327063,-0.0571714371106205,-0.0225527386712694,-0.9507760047596128,-0.2017009377228099,-0.1092534745381065,0.5485688929902689,5
"Birmingham-Hoover, AL",9349932.825334746,1.2081273555929213,-0.5508258322882642,0.4360457376853295,-0.465730956158898,0.3475614497475926,-1.418476273695788,-1.1877951892943253,-0.3572025266382853,4
"Bismarck, ND",1218157.9597231387,0.140771834496881,-0.1049337089284962,-1.3589048318493788,-0.0619917487168232,-1.2897020094702951,-0.3241363722757794,1.3206537110467025,2.822893554048566,1
"Bloomington, IL",1123140.6168910784,-0.425918862571597,-0.0141031331062372,-0.1465515933175702,-0.0590600706807924,-0.4511123774851956,0.4013220799040343,1.3075422285705616,0.4412496388851002,3
"Bloomington, IN",923947.296791504,-0.6654579231879479,0.0710147704435864,0.0131527952876096,0.0012693109957405,-0.1864097703881514,1.1816411020337187,-0.6911801620828942,0.3185489150677344,5
"Bloomsburg-Berwick, PA",617077.7008696746,-0.584218051292514,0.0687273100756579,0.2981000244377869,0.0151158508171822,-0.6250956243637283,-0.3422128384558636,0.1983447972459691,0.8070902445140996,5
"Boise City, ID",3942092.965938919,0.7887907570534661,-0.4184339240208802,-1.461570875621035,-0.2911007203154899,-0.9737459432016802,0.4105981666291711,-0.3356902580847523,-1.2269765584351768,4
"Boston-Cambridge-Newton, MA-NH",21426826.911790576,2.121804044092953,0.6937788201368719,2.461147695674069,-0.3015757471041025,-0.764176147323627,3.277854915697416,0.0540751154889999,0.7904913411606145,4
"Bowling Green, KY",1294487.1764805464,-0.2467459055688523,0.0605293953514982,-0.4051318888732771,-0.0450577888844417,0.1695375455512742,-0.7438239240221106,-1.0810670900476895,0.8841166248415657,3
"Bremerton-Silverdale-Port Orchard, WA",1115215.4234897206,-1.0490823317795828,0.1087671429805714,1.3661598968782984,0.0763848257274128,-0.4000536798455968,2.275526121799374,-1.974274763898992,0.1890276961623083,4
"Bridgeport-Stamford-Norwalk, CT",4288005.683933286,-0.9905143512183264,-0.0896721862702836,4.260505837154111,-0.0039825549219495,-0.3795830457675128,1.974779969912294,-0.3424358180363661,1.5375035598252464,7
"Brownsville-Harlingen, TX",1879781.2730300608,-0.3219160995973089,0.0035256899397945,-0.156499203408253,-0.1580937244983627,2.4752740790814283,-0.0370812116530692,1.1111429310189525,-0.2644709073722869,3
"Brunswick, GA",1289922.8354348957,-0.3217868686840922,0.0593825475717441,-0.525624829983456,-0.0915214301428249,1.5156850301583336,-0.4287188939935631,-0.5200086634752568,0.3548288178396019,3
"Buffalo-Cheektowaga, NY",4532195.980539998,0.0091045424009384,0.0906048335476034,0.07854328990494,0.1437408594936036,-0.9062367329192276,0.1205104732178215,1.1733952488088322,-1.1029453136056038,1
"Burlington, NC",880557.235634109,-0.7975727176677485,0.1617462986991205,1.1765079249817154,0.0775352423577304,0.1956283671545955,-1.2104822490262646,-0.8760500499369474,-0.2633459605285438,5
"Burlington-South Burlington, VT",1413251.2262315524,-0.4710696609039386,0.0143804482988759,-0.4371215987403298,-0.0262125829726153,-0.9644247764683672,1.539998944824208,-1.199346828699746,0.2473980552612691,1
