MSA,carbon dioxide equivalent (Ton),Size--Auto,Public Transportation,Transit Alternative Fuel,Density,Active Mobility,Network Connectivity,Network Compactness,Cluster,Total population,Emissions per capita,carbon dioxide equivalent (MMTCO2e),Emissions per capita (MTCO2e)
"Athens-Clarke County, GA",1244162.534546942,-0.5673665413220426,-0.0227000676355579,-0.1692316270750051,0.4536119314175257,0.8255126285370784,-0.765327724610976,-0.5161822607465072,Moderate Auto,210810,5.901819337540639,1.1286852663672133,5.370655597161981
"Atlanta-Sandy Springs-Alpharetta, GA",37835772.79788506,5.180810836277166,-0.7415862305338192,-0.0174133511019132,1.2074569244662945,0.1309650132499348,-1.6141001126399117,-0.8522568066251319,Large Auto,5947008,6.362152665320958,34.32403573713224,5.789558925442073
"Atlantic City-Hammonton, NJ",1311634.544169578,-0.739978008001101,-0.0147124938608501,-0.282661522085605,0.6268269131622366,0.9993504510135324,1.3345784762243948,1.1501888250544892,Moderate Auto,264650,4.956110123444466,1.1898948439253316,4.510060212334464
"Auburn-Opelika, AL",1129843.922483407,-0.7122333535821093,0.072942277024713,0.17895371581084,0.4950627884620584,-0.8431362512232743,-1.4421315165326785,0.3925491641445653,Moderate Auto,163461,6.912009118281468,1.0249771659182259,6.289928297636136
"Augusta-Richmond County, GA-SC",3970996.1926719686,0.536923827236836,-0.1794150791728684,-0.6150926004861395,0.0945998618794303,-0.7427273890395805,-0.4857633251476065,-0.0940132629720084,Small Compact,605303,6.560344476521624,3.6024271516110713,5.969913473634678
"Austin-Round Rock-Georgetown, TX",10346328.444829453,1.303407529066369,-0.4748548156256178,-0.1262559860195403,0.7629211396468092,1.3979586072480006,0.0075088379892572,0.2474519917530013,Moderate Compact,2173804,4.759549823640702,9.38603128804825,4.331190339513039
"Bakersfield, CA",6430136.48421314,0.8663748271600638,-0.1909769405935343,-0.3387754931852078,-1.1613084790007884,-0.8264982456017378,0.2705656821675161,0.4281290638112843,Moderate Compact,892458,7.204973773794554,5.83332169948718,6.556526134153044
"Baltimore-Columbia-Towson, MD",15517952.728114389,0.4718357371241843,0.3753248905793028,1.080265832510202,1.446885931046682,0.8626899305295465,-0.335452787493557,0.1987944484138352,Large Auto,2800427,5.541280928984897,14.077649922792126,5.042565645376257
"Bangor, ME",964842.9606018522,-0.1023666926536969,0.0227978035605504,0.2686145975363872,-1.0773117111248798,-0.0553107844517049,-1.7576849667379029,-2.3202556203766345,Moderate Auto,151696,6.3603718001915155,0.8752908110884321,5.787938338174279
"Barnstable Town, MA",1538387.6785518196,-0.3484517994877487,-0.069644164172383,-0.6065603189271043,0.3104466766598251,0.7462984862879583,-0.247510582300938,1.6958829394323476,Small Compact,213505,7.20539415260448,1.3956018273565747,6.5569086788700774
"Battle Creek, MI",841694.4197542989,-0.5769203741916288,0.0157517001783765,6.5261281530504e-05,0.2706971129918136,-0.3346702294321607,1.0043998011341149,-0.3471028427456626,Moderate Auto,133943,6.283974673960557,0.763572333984579,5.718416953304107
"Bay City, MI",660458.3765044638,-0.7024411342932878,0.0203316794177286,0.024836885108574,0.5664067686707552,-0.4794376063420335,1.3803205029953651,-0.2571837907169558,Moderate Auto,103506,6.380870447166965,0.5991577610724722,5.806592106921938
"Beaumont-Port Arthur, TX",3135966.638485827,0.2171050967531359,-0.0608332413321363,-0.3113762730232606,-0.2912164712236745,-1.6374093997041246,-0.0420755509672956,0.9750895147729276,Small Compact,394268,7.953895924817198,2.8449010819691463,7.23804529158365
