# Title: January - December 2020 Contiguous U.S. County Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
KY-217,Taylor County,Kentucky,1243,78,78,1165
KY-219,Todd County,Kentucky,1363,-48,48,1411
KY-221,Trigg County,Kentucky,1422,-62,48,1484
KY-223,Trimble County,Kentucky,1190,90,79,1100
KY-225,Union County,Kentucky,1364,-94,41,1458
KY-227,Warren County,Kentucky,1444,28,69,1416
KY-229,Washington County,Kentucky,1162,22,66,1140
KY-231,Wayne County,Kentucky,1233,160,101,1073
KY-233,Webster County,Kentucky,1375,-70,51,1445
KY-235,Whitley County,Kentucky,1060,22,73,1038
KY-237,Wolfe County,Kentucky,1098,6,66,1092
KY-239,Woodford County,Kentucky,1222,129,89,1093
LA-001,Acadia Parish,Louisiana,2820,83,84,2737
LA-003,Allen Parish,Louisiana,2663,73,79,2590
LA-005,Ascension Parish,Louisiana,3039,435,124,2604
LA-007,Assumption Parish,Louisiana,3180,521,124,2659
LA-009,Avoyelles Parish,Louisiana,2536,13,59,2523
LA-011,Beauregard Parish,Louisiana,2757,264,117,2493
LA-013,Bienville Parish,Louisiana,2353,177,96,2176
LA-015,Bossier Parish,Louisiana,2365,103,82,2262
LA-017,Caddo Parish,Louisiana,2371,41,68,2330
LA-019,Calcasieu Parish,Louisiana,2947,291,117,2656
LA-021,Caldwell Parish,Louisiana,2337,66,75,2271
LA-023,Cameron Parish,Louisiana,3054,274,114,2780
LA-025,Catahoula Parish,Louisiana,2495,80,76,2415
LA-027,Claiborne Parish,Louisiana,2034,-67,41,2101
LA-029,Concordia Parish,Louisiana,2550,113,85,2437
LA-031,De Soto Parish,Louisiana,2393,91,81,2302
LA-033,East Baton Rouge Parish,Louisiana,2917,383,122,2534
LA-035,East Carroll Parish,Louisiana,2270,55,72,2215
LA-037,East Feliciana Parish,Louisiana,2742,352,122,2390
LA-039,Evangeline Parish,Louisiana,2607,7,58,2600
LA-041,Franklin Parish,Louisiana,2361,40,64,2321
LA-043,Grant Parish,Louisiana,2404,25,63,2379
LA-045,Iberia Parish,Louisiana,3024,317,121,2707
LA-047,Iberville Parish,Louisiana,2986,377,122,2609
LA-049,Jackson Parish,Louisiana,2226,95,79,2131
LA-051,Jefferson Parish,Louisiana,3229,436,122,2793
LA-053,Jefferson Davis Parish,Louisiana,2837,74,83,2763
LA-055,Lafayette Parish,Louisiana,2867,185,103,2682
LA-057,Lafourche Parish,Louisiana,3343,550,126,2793
LA-059,La Salle Parish,Louisiana,2449,73,78,2376
LA-061,Lincoln Parish,Louisiana,2127,36,71,2091
LA-063,Livingston Parish,Louisiana,2932,405,123,2527
LA-065,Madison Parish,Louisiana,2333,64,74,2269
LA-067,Morehouse Parish,Louisiana,2171,14,59,2157
LA-069,Natchitoches Parish,Louisiana,2470,125,89,2345
LA-071,Orleans Parish,Louisiana,3084,410,122,2674
LA-073,Ouachita Parish,Louisiana,2221,23,64,2198
LA-075,Plaquemines Parish,Louisiana,3218,419,123,2799
LA-077,Pointe Coupee Parish,Louisiana,2826,274,116,2552
LA-079,Rapides Parish,Louisiana,2514,39,68,2475
LA-081,Red River Parish,Louisiana,2485,190,102,2295
LA-083,Richland Parish,Louisiana,2271,16,59,2255
LA-085,Sabine Parish,Louisiana,2509,230,108,2279
LA-087,St. Bernard Parish,Louisiana,3097,411,123,2686
LA-089,St. Charles Parish,Louisiana,3248,505,125,2743
LA-091,St. Helena Parish,Louisiana,2711,372,123,2339
LA-093,St. James Parish,Louisiana,3148,485,124,2663
LA-095,St. John the Baptist Parish,Louisiana,3154,486,124,2668
LA-097,St. Landry Parish,Louisiana,2697,100,81,2597
LA-099,St. Martin Parish,Louisiana,2978,327,120,2651
LA-101,St. Mary Parish,Louisiana,3197,495,124,2702
LA-103,St. Tammany Parish,Louisiana,2866,417,123,2449
LA-105,Tangipahoa Parish,Louisiana,2812,406,123,2406
LA-107,Tensas Parish,Louisiana,2433,78,75,2355
LA-109,Terrebonne Parish,Louisiana,3442,654,126,2788
LA-111,Union Parish,Louisiana,2116,3,57,2113
LA-113,Vermilion Parish,Louisiana,2990,216,111,2774
LA-115,Vernon Parish,Louisiana,2608,263,116,2345
LA-117,Washington Parish,Louisiana,2689,367,123,2322
LA-119,Webster Parish,Louisiana,2267,60,73,2207
LA-121,West Baton Rouge Parish,Louisiana,2961,366,122,2595
LA-123,West Carroll Parish,Louisiana,2206,12,56,2194
LA-125,West Feliciana Parish,Louisiana,2770,312,119,2458
LA-127,Winn Parish,Louisiana,2343,86,79,2257
ME-001,Androscoggin County,Maine,375,153,122,222
ME-003,Aroostook County,Maine,204,100,123,104
ME-005,Cumberland County,Maine,432,203,128,229
ME-007,Franklin County,Maine,155,71,119,84
ME-009,Hancock County,Maine,314,144,123,170
ME-011,Kennebec County,Maine,366,141,121,225
ME-013,Knox County,Maine,274,123,120,151
ME-015,Lincoln County,Maine,325,143,122,182
ME-017,Oxford County,Maine,244,111,122,133
ME-019,Penobscot County,Maine,310,137,125,173
ME-021,Piscataquis County,Maine,195,93,124,102
ME-023,Sagadahoc County,Maine,372,161,123,211
ME-025,Somerset County,Maine,185,84,121,101
ME-027,Waldo County,Maine,308,132,121,176
ME-029,Washington County,Maine,272,146,126,126
ME-031,York County,Maine,444,189,126,255
MD-001,Allegany County,Maryland,850,167,106,683
MD-003,Anne Arundel County,Maryland,1459,336,116,1123
MD-005,Baltimore County,Maryland,1223,357,121,866
MD-009,Calvert County,Maryland,1372,263,115,1109
MD-011,Caroline County,Maryland,1359,362,122,997
MD-013,Carroll County,Maryland,1037,303,123,734
MD-015,Cecil County,Maryland,1205,288,119,917
MD-017,Charles County,Maryland,1445,314,117,1131
MD-019,Dorchester County,Maryland,1460,353,121,1107
MD-021,Frederick County,Maryland,1058,247,118,811
MD-023,Garrett County,Maryland,463,174,123,289
MD-025,Harford County,Maryland,1229,305,119,924
MD-027,Howard County,Maryland,1139,311,118,828
MD-029,Kent County,Maryland,1363,326,120,1037
MD-031,Montgomery County,Maryland,1164,279,115,885
MD-033,Prince George&#039;s County,Maryland,1340,289,114,1051
MD-035,Queen Anne&#039;s County,Maryland,1340,309,119,1031
MD-037,St. Mary&#039;s County,Maryland,1411,264,115,1147
MD-039,Somerset County,Maryland,1516,384,120,1132
MD-041,Talbot County,Maryland,1404,291,118,1113
MD-043,Washington County,Maryland,1042,250,117,792
MD-045,Wicomico County,Maryland,1451,412,123,1039
MD-047,Worcester County,Maryland,1404,375,121,1029
MD-510,Baltimore City,Maryland,1522,439,122,1083
MD-511,Washington, D.C.,District of Columbia,1382,303,114,1079
MA-001,Barnstable County,Massachusetts,656,325,127,331
MA-003,Berkshire County,Massachusetts,417,218,127,199
MA-005,Bristol County,Massachusetts,813,381,129,432
MA-007,Dukes County,Massachusetts,699,337,127,362
MA-009,Essex County,Massachusetts,637,266,127,371
MA-011,Franklin County,Massachusetts,579,281,128,298
MA-013,Hampden County,Massachusetts,654,280,126,374
MA-015,Hampshire County,Massachusetts,605,249,127,356
MA-017,Middlesex County,Massachusetts,766,342,127,424
MA-019,Nantucket County,Massachusetts,521,287,127,234
MA-021,Norfolk County,Massachusetts,790,368,127,422
MA-023,Plymouth County,Massachusetts,796,380,128,416
MA-025,Suffolk County,Massachusetts,828,389,126,439
MA-027,Worcester County,Massachusetts,632,312,128,320
MI-001,Alcona County,Michigan,426,196,121,230
MI-003,Alger County,Michigan,255,91,106,164
MI-005,Allegan County,Michigan,705,128,98,577
MI-007,Alpena County,Michigan,431,196,120,235
MI-009,Antrim County,Michigan,435,167,116,268
MI-011,Arenac County,Michigan,603,256,125,347
MI-013,Baraga County,Michigan,260,116,119,144
MI-015,Barry County,Michigan,693,141,105,552
MI-017,Bay County,Michigan,709,274,124,435
MI-019,Benzie County,Michigan,498,251,122,247
MI-021,Berrien County,Michigan,831,172,106,659
MI-023,Branch County,Michigan,699,112,99,587
MI-025,Calhoun County,Michigan,710,152,107,558
MI-027,Cass County,Michigan,764,152,104,612
MI-029,Charlevoix County,Michigan,418,149,115,269
MI-031,Cheboygan County,Michigan,343,108,107,235
MI-033,Chippewa County,Michigan,258,119,118,139
MI-035,Clare County,Michigan,541,228,126,313
MI-037,Clinton County,Michigan,729,201,116,528
MI-039,Crawford County,Michigan,402,163,118,239
MI-041,Delta County,Michigan,318,133,115,185
MI-043,Dickinson County,Michigan,331,142,118,189
MI-045,Eaton County,Michigan,698,161,110,537
MI-047,Emmet County,Michigan,340,129,115,211
MI-049,Genesee County,Michigan,725,235,120,490
MI-051,Gladwin County,Michigan,602,237,124,365
MI-053,Gogebic County,Michigan,265,87,108,178
MI-055,Grand Traverse County,Michigan,502,237,124,265
MI-057,Gratiot County,Michigan,741,255,125,486
MI-059,Hillsdale County,Michigan,671,131,102,540
MI-061,Houghton County,Michigan,325,149,122,176
MI-063,Huron County,Michigan,598,255,126,343
MI-065,Ingham County,Michigan,675,168,111,507
MI-067,Ionia County,Michigan,677,169,110,508
MI-069,Iosco County,Michigan,525,246,127,279
MI-071,Iron County,Michigan,246,98,114,148
MI-073,Isabella County,Michigan,662,264,126,398
MI-075,Jackson County,Michigan,652,133,103,519
MI-077,Kalamazoo County,Michigan,758,162,106,596
MI-079,Kalkaska County,Michigan,434,187,119,247
MI-081,Kent County,Michigan,654,161,106,493
MI-083,Keweenaw County,Michigan,254,138,123,116
MI-085,Lake County,Michigan,501,169,116,332
MI-087,Lapeer County,Michigan,701,246,120,455
MI-089,Leelanau County,Michigan,476,223,120,253
MI-091,Lenawee County,Michigan,777,175,108,602
MI-093,Livingston County,Michigan,661,193,112,468
MI-095,Luce County,Michigan,245,110,117,135
MI-097,Mackinac County,Michigan,268,113,117,155
MI-099,Macomb County,Michigan,829,260,116,569
MI-101,Manistee County,Michigan,480,197,119,283
MI-103,Marquette County,Michigan,265,110,116,155
MI-105,Mason County,Michigan,472,149,116,323
MI-107,Mecosta County,Michigan,545,184,120,361
MI-109,Menominee County,Michigan,384,144,117,240
MI-111,Midland County,Michigan,728,276,125,452
MI-113,Missaukee County,Michigan,468,212,125,256
MI-115,Monroe County,Michigan,933,267,120,666
MI-117,Montcalm County,Michigan,627,205,117,422
MI-119,Montmorency County,Michigan,381,138,114,243
MI-121,Muskegon County,Michigan,649,225,120,424
MI-123,Newaygo County,Michigan,557,171,119,386
MI-125,Oakland County,Michigan,727,224,115,503
MI-127,Oceana County,Michigan,546,191,120,355
MI-129,Ogemaw County,Michigan,503,229,125,274
MI-131,Ontonagon County,Michigan,321,131,118,190
MI-133,Osceola County,Michigan,493,201,124,292
MI-135,Oscoda County,Michigan,420,181,121,239
MI-137,Otsego County,Michigan,337,116,111,221
MI-139,Ottawa County,Michigan,682,173,108,509
MI-141,Presque Isle County,Michigan,370,132,112,238
MI-143,Roscommon County,Michigan,477,216,125,261
MI-145,Saginaw County,Michigan,755,258,121,497
MI-147,St. Clair County,Michigan,775,268,119,507
MI-149,St. Joseph County,Michigan,757,131,100,626
MI-151,Sanilac County,Michigan,645,245,124,400
MI-153,Schoolcraft County,Michigan,287,104,111,183
MI-155,Shiawassee County,Michigan,712,201,117,511
MI-157,Tuscola County,Michigan,686,249,122,437
MI-159,Van Buren County,Michigan,745,143,99,602
MI-161,Washtenaw County,Michigan,683,174,105,509
MI-163,Wayne County,Michigan,884,265,118,619
MI-165,Wexford County,Michigan,473,215,123,258
MN-001,Aitkin County,Minnesota,385,144,122,241
MN-003,Anoka County,Minnesota,697,125,105,572
MN-005,Becker County,Minnesota,468,99,110,369
MN-007,Beltrami County,Minnesota,365,98,115,267
MN-009,Benton County,Minnesota,595,157,115,438
MN-011,Big Stone County,Minnesota,780,210,116,570
MN-013,Blue Earth County,Minnesota,784,102,100,682
MN-015,Brown County,Minnesota,842,145,106,697
MN-017,Carlton County,Minnesota,303,110,117,193
MN-019,Carver County,Minnesota,735,119,103,616
MN-021,Cass County,Minnesota,424,132,115,292
MN-023,Chippewa County,Minnesota,803,198,115,605
MN-025,Chisago County,Minnesota,615,112,98,503
MN-027,Clay County,Minnesota,620,131,114,489
MN-029,Clearwater County,Minnesota,366,66,90,300
MN-031,Cook County,Minnesota,140,72,116,68
MN-033,Cottonwood County,Minnesota,808,192,116,616
MN-035,Crow Wing County,Minnesota,508,185,122,323
MN-037,Dakota County,Minnesota,769,126,99,643
MN-039,Dodge County,Minnesota,626,112,105,514
MN-041,Douglas County,Minnesota,550,127,108,423
MN-043,Faribault County,Minnesota,763,86,100,677
MN-045,Fillmore County,Minnesota,570,57,85,513
MN-047,Freeborn County,Minnesota,684,91,100,593
MN-049,Goodhue County,Minnesota,703,131,106,572
MN-051,Grant County,Minnesota,676,180,118,496
MN-053,Hennepin County,Minnesota,752,133,107,619
MN-055,Houston County,Minnesota,693,101,93,592
MN-057,Hubbard County,Minnesota,406,97,109,309
MN-059,Isanti County,Minnesota,616,127,108,489
MN-061,Itasca County,Minnesota,345,131,121,214
MN-063,Jackson County,Minnesota,810,206,120,604
MN-065,Kanabec County,Minnesota,521,153,118,368
MN-067,Kandiyohi County,Minnesota,674,145,108,529
MN-069,Kittson County,Minnesota,488,169,118,319
MN-071,Koochiching County,Minnesota,317,105,117,212
MN-073,Lac qui Parle County,Minnesota,789,164,111,625
MN-075,Lake County,Minnesota,204,87,118,117
MN-077,Lake of the Woods County,Minnesota,354,125,118,229
MN-079,Le Sueur County,Minnesota,723,86,91,637
MN-081,Lincoln County,Minnesota,697,132,107,565
MN-083,Lyon County,Minnesota,781,136,108,645
MN-085,McLeod County,Minnesota,741,152,114,589
MN-087,Mahnomen County,Minnesota,432,86,104,346
MN-089,Marshall County,Minnesota,469,141,118,328
MN-091,Martin County,Minnesota,773,125,103,648
MN-093,Meeker County,Minnesota,642,117,102,525
MN-095,Mille Lacs County,Minnesota,557,180,119,377
MN-097,Morrison County,Minnesota,557,157,116,400
MN-099,Mower County,Minnesota,609,96,103,513
MN-101,Murray County,Minnesota,686,105,101,581
MN-103,Nicollet County,Minnesota,795,114,101,681
MN-105,Nobles County,Minnesota,754,151,114,603
MN-107,Norman County,Minnesota,534,80,96,454
MN-109,Olmsted County,Minnesota,624,112,102,512
MN-111,Otter Tail County,Minnesota,546,113,112,433
MN-113,Pennington County,Minnesota,435,88,105,347
MN-115,Pine County,Minnesota,436,144,119,292
MN-117,Pipestone County,Minnesota,708,120,105,588
MN-119,Polk County,Minnesota,497,95,107,402
MN-121,Pope County,Minnesota,649,182,117,467
MN-123,Ramsey County,Minnesota,770,131,102,639
MN-125,Red Lake County,Minnesota,451,73,98,378
MN-127,Redwood County,Minnesota,807,127,104,680
MN-129,Renville County,Minnesota,767,137,108,630
MN-131,Rice County,Minnesota,705,107,100,598
MN-133,Rock County,Minnesota,814,162,112,652
MN-135,Roseau County,Minnesota,387,139,118,248
MN-137,St. Louis County,Minnesota,283,118,121,165
MN-139,Scott County,Minnesota,763,114,99,649
MN-141,Sherburne County,Minnesota,635,132,108,503
MN-143,Sibley County,Minnesota,797,155,110,642
MN-145,Stearns County,Minnesota,592,129,106,463
MN-147,Steele County,Minnesota,682,118,107,564
MN-149,Stevens County,Minnesota,734,215,119,519
MN-151,Swift County,Minnesota,774,221,119,553
MN-153,Todd County,Minnesota,505,104,105,401
MN-155,Traverse County,Minnesota,750,200,119,550
MN-157,Wabasha County,Minnesota,719,155,110,564
MN-159,Wadena County,Minnesota,481,109,112,372
MN-161,Waseca County,Minnesota,705,91,96,614
MN-163,Washington County,Minnesota,728,122,101,606
MN-165,Watonwan County,Minnesota,858,183,113,675
MN-167,Wilkin County,Minnesota,693,166,119,527
MN-169,Winona County,Minnesota,654,106,100,548
MN-171,Wright County,Minnesota,667,122,107,545
MN-173,Yellow Medicine County,Minnesota,801,150,110,651
MS-001,Adams County,Mississippi,2544,214,110,2330
MS-003,Alcorn County,Mississippi,1691,-1,62,1692
MS-005,Amite County,Mississippi,2581,337,120,2244
MS-007,Attala County,Mississippi,2161,202,108,1959
MS-009,Benton County,Mississippi,1693,-44,54,1737
MS-011,Bolivar County,Mississippi,2055,-70,42,2125
MS-013,Calhoun County,Mississippi,1969,7,62,1962
MS-015,Carroll County,Mississippi,2311,316,117,1995
MS-017,Chickasaw County,Mississippi,2002,25,64,1977
MS-019,Choctaw County,Mississippi,2001,123,90,1878
MS-021,Claiborne County,Mississippi,2474,190,104,2284
MS-023,Clarke County,Mississippi,2278,166,103,2112
MS-025,Clay County,Mississippi,2039,11,60,2028
MS-027,Coahoma County,Mississippi,1989,-81,38,2070
MS-029,Copiah County,Mississippi,2430,210,107,2220
MS-031,Covington County,Mississippi,2369,180,102,2189
MS-033,DeSoto County,Mississippi,1889,-99,36,1988
MS-035,Forrest County,Mississippi,2462,175,105,2287
MS-037,Franklin County,Mississippi,2520,286,120,2234
MS-039,George County,Mississippi,2617,306,120,2311
MS-041,Greene County,Mississippi,2491,203,107,2288
MS-043,Grenada County,Mississippi,2183,157,94,2026
MS-045,Hancock County,Mississippi,2739,388,123,2351
MS-047,Harrison County,Mississippi,2661,325,124,2336
MS-049,Hinds County,Mississippi,2405,176,99,2229
MS-051,Holmes County,Mississippi,2360,242,112,2118
MS-053,Humphreys County,Mississippi,2446,213,107,2233
MS-055,Issaquena County,Mississippi,2350,126,89,2224
MS-057,Itawamba County,Mississippi,1891,12,61,1879
MS-059,Jackson County,Mississippi,2823,451,127,2372
MS-061,Jasper County,Mississippi,2253,171,102,2082
MS-063,Jefferson County,Mississippi,2488,220,111,2268
MS-065,Jefferson Davis County,Mississippi,2429,234,109,2195
MS-067,Jones County,Mississippi,2367,125,94,2242
MS-069,Kemper County,Mississippi,2083,55,77,2028
MS-071,Lafayette County,Mississippi,1831,-110,40,1941
MS-073,Lamar County,Mississippi,2457,190,106,2267
MS-075,Lauderdale County,Mississippi,2204,168,100,2036
MS-077,Lawrence County,Mississippi,2525,277,113,2248
MS-079,Leake County,Mississippi,2143,140,97,2003
MS-081,Lee County,Mississippi,2007,60,71,1947
MS-083,Leflore County,Mississippi,2421,280,114,2141
MS-085,Lincoln County,Mississippi,2451,261,115,2190
MS-087,Lowndes County,Mississippi,2079,1,58,2078
MS-089,Madison County,Mississippi,2299,107,89,2192
MS-091,Marion County,Mississippi,2590,269,114,2321
MS-093,Marshall County,Mississippi,1749,-99,34,1848
MS-095,Monroe County,Mississippi,2003,1,59,2002
MS-097,Montgomery County,Mississippi,2136,206,107,1930
MS-099,Neshoba County,Mississippi,2084,149,96,1935
MS-101,Newton County,Mississippi,2201,215,112,1986
MS-103,Noxubee County,Mississippi,2092,25,64,2067
MS-105,Oktibbeha County,Mississippi,2028,29,65,1999
MS-107,Panola County,Mississippi,1891,-132,30,2023
MS-109,Pearl River County,Mississippi,2574,300,118,2274
MS-111,Perry County,Mississippi,2484,194,106,2290
MS-113,Pike County,Mississippi,2595,358,123,2237
MS-115,Pontotoc County,Mississippi,1933,10,60,1923
MS-117,Prentiss County,Mississippi,1815,17,69,1798
MS-119,Quitman County,Mississippi,1985,-105,36,2090
MS-121,Rankin County,Mississippi,2306,160,97,2146
MS-123,Scott County,Mississippi,2175,166,103,2009
MS-125,Sharkey County,Mississippi,2393,159,94,2234
MS-127,Simpson County,Mississippi,2355,193,106,2162
MS-129,Smith County,Mississippi,2271,175,102,2096
MS-131,Stone County,Mississippi,2511,248,116,2263
MS-133,Sunflower County,Mississippi,2282,116,88,2166
MS-135,Tallahatchie County,Mississippi,2179,77,83,2102
MS-137,Tate County,Mississippi,1851,-142,25,1993
MS-139,Tippah County,Mississippi,1718,-9,63,1727
MS-141,Tishomingo County,Mississippi,1694,1,65,1693
MS-143,Tunica County,Mississippi,1942,-99,34,2041
MS-145,Union County,Mississippi,1860,-5,60,1865
MS-147,Walthall County,Mississippi,2590,333,122,2257
MS-149,Warren County,Mississippi,2427,169,98,2258
MS-151,Washington County,Mississippi,2238,30,63,2208
MS-153,Wayne County,Mississippi,2316,109,90,2207
MS-155,Webster County,Mississippi,1989,76,78,1913
MS-157,Wilkinson County,Mississippi,2645,298,121,2347
MS-159,Winston County,Mississippi,2003,94,88,1909
MS-161,Yalobusha County,Mississippi,1973,-19,61,1992
MS-163,Yazoo County,Mississippi,2399,155,96,2244
MO-001,Adair County,Missouri,1067,6,68,1061
MO-003,Andrew County,Missouri,1193,-13,63,1206
MO-005,Atchison County,Missouri,1165,1,69,1164
MO-007,Audrain County,Missouri,1128,-102,41,1230
MO-009,Barry County,Missouri,1316,-7,64,1323
MO-011,Barton County,Missouri,1443,-109,44,1552
MO-013,Bates County,Missouri,1405,-69,51,1474
MO-015,Benton County,Missouri,1288,-72,51,1360
MO-017,Bollinger County,Missouri,1309,-58,48,1367
MO-019,Boone County,Missouri,1252,-56,52,1308
MO-021,Buchanan County,Missouri,1228,-25,56,1253
MO-023,Butler County,Missouri,1537,-49,50,1586
MO-025,Caldwell County,Missouri,1179,8,69,1171
MO-027,Callaway County,Missouri,1289,-22,60,1311
MO-029,Camden County,Missouri,1440,92,80,1348
MO-031,Cape Girardeau County,Missouri,1375,2,59,1373
MO-033,Carroll County,Missouri,1173,-111,39,1284
MO-035,Carter County,Missouri,1318,17,67,1301
MO-037,Cass County,Missouri,1321,-12,64,1333
MO-039,Cedar County,Missouri,1426,-62,55,1488
MO-041,Chariton County,Missouri,1187,-89,42,1276
MO-043,Christian County,Missouri,1227,-11,62,1238
MO-045,Clark County,Missouri,1063,-72,48,1135
MO-047,Clay County,Missouri,1229,-55,49,1284
MO-049,Clinton County,Missouri,1141,-24,53,1165
MO-051,Cole County,Missouri,1401,32,68,1369
MO-053,Cooper County,Missouri,1279,-20,65,1299
MO-055,Crawford County,Missouri,1090,-60,49,1150
MO-057,Dade County,Missouri,1378,-68,49,1446
MO-059,Dallas County,Missouri,1281,-15,63,1296
MO-061,Daviess County,Missouri,1130,-18,61,1148
MO-063,DeKalb County,Missouri,1138,-11,63,1149
MO-065,Dent County,Missouri,1088,-65,48,1153
MO-067,Douglas County,Missouri,1239,16,69,1223
MO-069,Dunklin County,Missouri,1692,-47,51,1739
MO-071,Franklin County,Missouri,1204,-23,59,1227
MO-073,Gasconade County,Missouri,1202,-25,57,1227
MO-075,Gentry County,Missouri,1148,37,78,1111
MO-077,Greene County,Missouri,1280,4,67,1276
MO-079,Grundy County,Missouri,1085,-73,45,1158
MO-081,Harrison County,Missouri,1091,32,78,1059
MO-083,Henry County,Missouri,1365,-79,49,1444
MO-085,Hickory County,Missouri,1323,-56,54,1379
MO-087,Holt County,Missouri,1213,-30,57,1243
MO-089,Howard County,Missouri,1251,-31,60,1282
MO-091,Howell County,Missouri,1315,117,88,1198
MO-093,Iron County,Missouri,1051,-60,48,1111
MO-095,Jackson County,Missouri,1296,-23,58,1319
MO-097,Jasper County,Missouri,1484,-36,60,1520
MO-099,Jefferson County,Missouri,1357,41,69,1316
MO-101,Johnson County,Missouri,1296,-9,62,1305
MO-103,Knox County,Missouri,1048,-46,52,1094
MO-105,Laclede County,Missouri,1331,64,77,1267
MO-107,Lafayette County,Missouri,1252,-40,57,1292
MO-109,Lawrence County,Missouri,1318,-27,57,1345
MO-111,Lewis County,Missouri,1078,-110,41,1188
MO-113,Lincoln County,Missouri,1205,-11,62,1216
MO-115,Linn County,Missouri,1106,-99,42,1205
MO-117,Livingston County,Missouri,1164,-73,45,1237
MO-119,McDonald County,Missouri,1513,56,74,1457
MO-121,Macon County,Missouri,1084,-71,45,1155
MO-123,Madison County,Missouri,1160,-63,48,1223
MO-125,Maries County,Missouri,1333,35,67,1298
MO-127,Marion County,Missouri,1135,-89,44,1224
MO-129,Mercer County,Missouri,994,-70,46,1064
MO-131,Miller County,Missouri,1453,115,86,1338
MO-133,Mississippi County,Missouri,1504,-77,42,1581
MO-135,Moniteau County,Missouri,1330,18,67,1312
MO-137,Monroe County,Missouri,1100,-114,37,1214
MO-139,Montgomery County,Missouri,1188,-32,59,1220
MO-141,Morgan County,Missouri,1297,17,68,1280
MO-143,New Madrid County,Missouri,1570,-114,35,1684
MO-145,Newton County,Missouri,1497,56,73,1441
MO-147,Nodaway County,Missouri,1146,45,80,1101
MO-149,Oregon County,Missouri,1397,121,85,1276
MO-151,Osage County,Missouri,1346,14,66,1332
MO-153,Ozark County,Missouri,1290,-12,58,1302
MO-155,Pemiscot County,Missouri,1712,-48,48,1760
MO-157,Perry County,Missouri,1280,-21,57,1301
MO-159,Pettis County,Missouri,1247,-63,53,1310
MO-161,Phelps County,Missouri,1276,14,64,1262
MO-163,Pike County,Missouri,1121,-60,48,1181
MO-165,Platte County,Missouri,1280,-17,56,1297
MO-167,Polk County,Missouri,1348,3,66,1345
MO-169,Pulaski County,Missouri,1437,144,92,1293
MO-171,Putnam County,Missouri,1009,-52,52,1061
MO-173,Ralls County,Missouri,1125,-84,46,1209
MO-175,Randolph County,Missouri,1158,-62,50,1220
MO-177,Ray County,Missouri,1207,-53,52,1260
MO-179,Reynolds County,Missouri,1114,-40,54,1154
MO-181,Ripley County,Missouri,1455,13,63,1442
MO-183,St. Charles County,Missouri,1332,-2,66,1334
MO-185,St. Clair County,Missouri,1400,-94,49,1494
MO-186,Ste. Genevieve County,Missouri,1262,-19,61,1281
MO-187,St. Francois County,Missouri,1147,-27,58,1174
MO-189,St. Louis County,Missouri,1401,11,67,1390
MO-195,Saline County,Missouri,1243,-53,54,1296
MO-197,Schuyler County,Missouri,1045,10,70,1035
MO-199,Scotland County,Missouri,1051,-16,63,1067
MO-201,Scott County,Missouri,1475,-47,46,1522
MO-203,Shannon County,Missouri,1261,53,71,1208
MO-205,Shelby County,Missouri,1046,-103,38,1149
MO-207,Stoddard County,Missouri,1515,-91,42,1606
MO-209,Stone County,Missouri,1309,-33,55,1342
MO-211,Sullivan County,Missouri,1024,-87,41,1111
MO-213,Taney County,Missouri,1267,-94,36,1361
MO-215,Texas County,Missouri,1186,-6,63,1192
MO-217,Vernon County,Missouri,1444,-105,47,1549
MO-219,Warren County,Missouri,1226,18,67,1208
MO-221,Washington County,Missouri,1105,-39,56,1144
MO-223,Wayne County,Missouri,1318,-41,53,1359
MO-225,Webster County,Missouri,1156,-12,63,1168
MO-227,Worth County,Missouri,1112,85,86,1027
MO-229,Wright County,Missouri,1181,-3,65,1184
MO-510,St. Louis City,Missouri,1443,13,65,1430
MT-001,Beaverhead County,Montana,41,16,99,25
MT-003,Big Horn County,Montana,523,127,109,396
MT-005,Blaine County,Montana,351,33,80,318
MT-007,Broadwater County,Montana,210,48,102,162
MT-009,Carbon County,Montana,287,105,115,182
MT-011,Carter County,Montana,610,128,104,482
MT-013,Cascade County,Montana,230,17,80,213
MT-015,Chouteau County,Montana,360,19,77,341
MT-017,Custer County,Montana,735,134,104,601
MT-019,Daniels County,Montana,312,16,74,296
MT-021,Dawson County,Montana,594,90,100,504
MT-023,Deer Lodge County,Montana,39,14,101,25
MT-025,Fallon County,Montana,612,95,100,517
MT-027,Fergus County,Montana,354,35,87,319
MT-029,Flathead County,Montana,64,24,105,40
MT-031,Gallatin County,Montana,86,25,96,61
MT-033,Garfield County,Montana,590,95,102,495
MT-035,Glacier County,Montana,92,37,106,55
MT-037,Golden Valley County,Montana,340,27,84,313
MT-039,Granite County,Montana,39,11,92,28
MT-041,Hill County,Montana,326,34,82,292
MT-043,Jefferson County,Montana,138,52,110,86
MT-045,Judith Basin County,Montana,176,26,91,150
MT-047,Lake County,Montana,200,59,104,141
MT-049,Lewis and Clark County,Montana,119,37,99,82
MT-051,Liberty County,Montana,243,-11,52,254
MT-053,Lincoln County,Montana,108,45,107,63
MT-055,McCone County,Montana,570,82,99,488
MT-057,Madison County,Montana,83,25,100,58
MT-059,Meagher County,Montana,95,25,97,70
